id,name,affiliation,pubs_count,est_cits,h_index,rank,ranked_by,in_field_pubs_count,in_field_est_cits,in_field_h_index
2466384568,H.J. Zimmermann,,92,314,3,1,pubs_count,19,5,2
2715897419,G.G. Harvey,,89,21,2,2,pubs_count,19,5,2
2162319355,Robert T. Craig,University of Colorado Boulder,58,4528,19,3,pubs_count,15,2798,7
2944830413,Jenny Donley,,193,0,0,4,pubs_count,12,0,0
1993486354,Loet Leydesdorff,University of Amsterdam,737,48750,101,5,pubs_count,11,439,5
2627203919,Diane Duesterhoeft,,629,0,0,6,pubs_count,11,0,0
2131876097,Sandra Braman,Texas A&M University,109,2527,16,7,pubs_count,10,29,2
2630406839,Athena Hoeppner Ucf,,20,0,0,8,pubs_count,10,0,0
2629782454,William Stephenson,University of Missouri,119,4157,19,9,pubs_count,9,522,7
340118294,Roman F. Nalewajski,Jagiellonian University,198,5430,32,10,pubs_count,8,306,7
2145462135,Philip R. Cohen,Oregon Health & Science University,130,16551,48,11,pubs_count,8,1917,5
618331537,Kenneth N. Cissna,University of South Florida,57,1484,16,12,pubs_count,7,194,4
1974652783,Michael L. Hecht,Pennsylvania State University,166,8841,51,13,pubs_count,7,1062,7
2133777343,Luis Mauro Sá Martino,Faculdade Cásper Líbero,67,23,2,14,pubs_count,7,4,1
2638029023,W.B. Davenport,,13,2,1,15,pubs_count,7,2,1
2750580995,Jacob Galindo,,598,0,0,16,pubs_count,7,0,0
1127144014,Arthur P. Bochner,University of South Florida,191,14972,34,17,pubs_count,6,7,2
1935463788,Carl L. Fales,Langley Research Center,50,514,11,18,pubs_count,6,58,2
2116450831,Friedrich O. Huck,Langley Research Center,81,1188,18,19,pubs_count,6,58,2
2127573250,Eleanor Sandry,Curtin University,19,48,3,20,pubs_count,6,32,2
2190124773,Christian Fuchs,University of Westminster,301,10801,37,21,pubs_count,6,47,4
2262593158,Klaus Bruhn Jensen,University of Copenhagen,106,5232,22,22,pubs_count,6,153,3
2408891669,Neil J. A. Sloane,AT&T,300,46565,72,23,pubs_count,6,257,3
2484889278,Lynn H. Turner,Marquette University,43,484,11,24,pubs_count,6,88,1
2595277131,Nancy Weiner,,336,0,0,25,pubs_count,6,0,0
79893321,Klaus Krippendorff,University of Pennsylvania,143,80041,33,26,pubs_count,5,457,5
113721321,Dariush Divsalar,California Institute of Technology,245,19489,60,27,pubs_count,5,106,2
325530817,Paul M. B. Vitányi,University of Amsterdam,254,16270,44,28,pubs_count,5,18,3
2099015460,Mirela Teodorescu,University of Craiova,58,339,11,29,pubs_count,5,41,3
2118056403,Zia-ur Rahman,Old Dominion University,123,6375,22,30,pubs_count,5,58,2
2127306298,Terje Rasmussen,University of Oslo,31,452,9,31,pubs_count,5,8,1
