Title,Authors,Platform,Cited_url,Cited_count,Year
New software for searching the Cambridge Structural Database and visualizing crystal structures,"IJ Bruno, JC Cole, PR Edgington, M Kessler, CF Macrae, P McCabe, ...","Acta Crystallographica Section B: Structural Science 58 (3), 389-397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3197821483968656313,3038,2002
Improved protein–ligand docking using GOLD,"ML Verdonk, JC Cole, MJ Hartshorn, CW Murray, RD Taylor","Proteins: Structure, Function, and Bioinformatics 52 (4), 609-623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=919630228015117137,2264,2003
Retrieval of crystallographically-derived molecular geometry information,"IJ Bruno, JC Cole, M Kessler, J Luo, WDS Motherwell, LH Purkis, ...","Journal of chemical information and computer sciences 44 (6), 2133-2144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4465230915031401948,639,2004
A new test set for validating predictions of protein–ligand interaction,"JWM Nissink, C Murray, M Hartshorn, ML Verdonk, JC Cole, R Taylor","Proteins: Structure, Function, and Bioinformatics 49 (4), 457-471",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8092153937249490154,464,2002
DASH: a program for crystal structure determination from powder diffraction data,"WIF David, K Shankland, J Van De Streek, E Pidcock, WDS Motherwell, ...","Journal of Applied Crystallography 39 (6), 910-915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7484834448400922373,451,2006
Modeling water molecules in protein− ligand docking using GOLD,"ML Verdonk, G Chessari, JC Cole, MJ Hartshorn, CW Murray, ...","Journal of medicinal chemistry 48 (20), 6504-6515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5046591811429220738,370,2005
IsoStar: a library of information about nonbonded interactions,"IJ Bruno, JC Cole, JPM Lommerse, RS Rowland, R Taylor, ML Verdonk","Journal of computer-aided molecular design 11 (6), 525-537",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14930667561225105385,337,1997
Comparing protein–ligand docking programs is difficult,"JC Cole, CW Murray, JWM Nissink, RD Taylor, R Taylor","Proteins: Structure, Function, and Bioinformatics 60 (3), 325-332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15858646461206018309,290,2005
Report on the sixth blind test of organic crystal structure prediction methods,"AM Reilly, RI Cooper, CS Adjiman, S Bhattacharya, AD Boese, ...","Acta Crystallographica Section B: Structural Science, Crystal Engineering …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13866880196738448092,232,2016
SuperStar: a knowledge-based approach for identifying interaction sites in proteins,"ML Verdonk, JC Cole, R Taylor","Journal of molecular biology 289 (4), 1093-1108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11871278055178370691,224,1999
Virtual screening in drug discovery,"J Alvarez, B Shoichet",CRC press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7468164442585326109,9444246808542455775",169,2005
WebCSD: the online portal to the Cambridge Structural Database,"IR Thomas, IJ Bruno, JC Cole, CF Macrae, E Pidcock, PA Wood","Journal of applied crystallography 43 (2), 362-366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16597554055895026369,118,2010
Potential and limitations of ensemble docking,"O Korb, TSG Olsson, SJ Bowden, RJ Hall, ML Verdonk, JW Liebeschuetz, ...","Journal of chemical information and modeling 52 (5), 1262-1274",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11313216678416205741,116,2012
SuperStar: improved knowledge-based interaction fields for protein binding sites,"ML Verdonk, JC Cole, P Watson, V Gillet, P Willett","Journal of molecular biology 307 (3), 841-859",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7738866888570148312,112,2001
Pose prediction and virtual screening performance of GOLD scoring functions in a standardized test,"JW Liebeschuetz, JC Cole, O Korb","Journal of computer-aided molecular design 26 (6), 737-748",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3550813338884714901,101,2012
Impact of resolving the diurnal cycle in an ocean–atmosphere GCM. Part 2: A diurnally coupled CGCM,"DJ Bernie, E Guilyardi, G Madec, JM Slingo, SJ Woolnough, J Cole","Climate Dynamics 31 (7-8), 909-925",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4658312458031713844,98,2008
Tropical and subtropical cloud transitions in weather and climate prediction models: The GCSS/WGNE Pacific Cross-Section Intercomparison (GPCI),"J Teixeira, S Cardoso, M Bonazzola, J Cole, A DelGenio, C DeMott, ...","Journal of Climate 24 (20), 5223-5256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2187016447014604162,97,2011
A database survey of molecular and crystallographic symmetry,"E Pidcock, WDS Motherwell, JC Cole","Acta Crystallographica Section B: Structural Science 59 (5), 634-640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7581440632758604758,81,2003
CSDSymmetry: the definitive database of point-group and space-group symmetry relationships in small-molecule crystal structures,"JW Yao, JC Cole, E Pidcock, FH Allen, JAK Howard, WDS Motherwell","Acta Crystallographica Section B: Structural Science 58 (4), 640-646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16376745424395730237,66,2002
DASH user manual,"WIF David, K Shankland, J Cole, S Maginn, WDS Motherwell, R Taylor","Cambridge Crystallographic Data Centre, Cambridge, UK 6, 171568-171571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6841050015638493116,66,2001
Protein–ligand docking and virtual screening with GOLD,"JC Cole, JWM Nissink, R Taylor","Virtual screening in drug discovery, 388-424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1486619229190115596,61,2005
Evaluation of molecular crystal structures using Full Interaction Maps,"PA Wood, TSG Olsson, JC Cole, SJ Cottrell, N Feeder, PTA Galek, ...","CrystEngComm 15 (1), 65-72",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16114141137436971370,52,2013
Structure solution and refinement of tetracaine hydrochloride from X-ray powder diffraction data,"H Nowell, JP Attfield, JC Cole, PJ Cox, K Shankland, SJ Maginn, ...","New Journal of Chemistry 26 (4), 469-472",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18260329542713267136,51,2002
SuperStar: comparison of CSD and PDB-based interaction fields as a basis for the prediction of protein-ligand interactions,"DR Boer, J Kroon, JC Cole, B Smith, ML Verdonk","Journal of molecular biology 312 (1), 275-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4123977414226485360,42,2001
Functionalised Trimethyltetrathiafulvalene (TriMe-TTF) Derivatives via Reactions of Trimethyltetrathiafulvalenyllithium with Electrophiles: X-ray Crystal Structures of Benzoyl …,"AJ Moore, MR Bryce, AS Batsanov, JC Cole, JAK Howard","Synthesis 1995 (06), 675-682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=268884273447194034,39,1995
Testing assumptions and hypotheses for rescoring success in protein− ligand docking,"NM O’Boyle, JW Liebeschuetz, JC Cole","Journal of chemical information and modeling 49 (8), 1871-1878",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16992205910878913266,36,2009
Vertical structure and physical processes of the Madden‐Julian Oscillation: Biases and uncertainties at short range,"PK Xavier, JC Petch, NP Klingaman, SJ Woolnough, X Jiang, DE Waliser, ...","Journal of Geophysical Research: Atmospheres 120 (10), 4749-4763",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13055923117068207237,26,2015
The Fddd four-circle diffractometer for single-crystal X-ray studies at temperatures down to 9 K,"RCB Copley, AE Goeta, CW Lehmann, JC Cole, DS Yufit, JAK Howard, ...","Journal of applied crystallography 30 (3), 413-417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=668126358904335164,22,1997
High Efficient Advanced Thermoelectric Devices from Different Multilayer Thin Films,"S Budak, Z Xiao, B Johnson, J Cole, M Drabo, A Tramble, C Casselberry",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1104526310993683923,19,2016
Knowledge-based libraries for predicting the geometric preferences of druglike molecules,"R Taylor, J Cole, O Korb, P McCabe","Journal of chemical information and modeling 54 (9), 2500-2514",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1144805416712476015,18,2014
Directional preferences of intermolecular contacts to hydrophobic groups,"JC Cole, R Taylor, ML Verdonk","Acta Crystallographica Section D: Biological Crystallography 54 (6), 1183-1193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16664786392034603903,18,1998
Structural studies of a series of organic non-linear optical materials,"JC Cole, JM Cole, GH Cross, M Farsari, JAK Howard, M Szablewski","Acta Crystallographica Section B: Structural Science 53 (5), 812-821",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18033937917760324560,17,1997
A systematic study of coordinate precision in X-ray structure analyses. I. Descriptive statistics and predictive estimates of esd's for C atoms,"FH Allen, JC Cole, JAK Howard","Acta Crystallographica Section A: Foundations of Crystallography 51 (2), 95-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=882356466011194292,17,1995
Molecular Interactions in Crystal Structures with ,"R Taylor, JC Cole, CR Groom","Crystal Growth & Design 16 (5), 2988-3001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2834795537132112230,16,2016
The use of restraints in Rietveld refinement of molecular compounds; a case study using the crystal structure determination of tryptamine free base,"H Nowell, JP Attfield, JC Cole","Acta Crystallographica Section B: Structural Science 58 (5), 835-840",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3911041540330293389,16,2002
Hydrogen bonding to thiocyanate anions: Statistical and quantum-chemical analyses,"JPM Lommerse, JC Cole","Acta Crystallographica Section B: Structural Science 54 (3), 316-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3991169049253324588,16,1998
Validating and understanding ring conformations using small molecule crystallographic data,"SJ Cottrell, TSG Olsson, R Taylor, JC Cole, JW Liebeschuetz","Journal of chemical information and modeling 52 (4), 956-962",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2094301226658707111,15,2012
GDASH: a grid-enabled program for structure solution from powder diffraction data,"TAN Griffin, K Shankland, J Van De Streek, J Cole","Journal of Applied Crystallography 42 (2), 356-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14706325264491364782,15,2009
Automatic detection of molecular symmetry in the Cambridge Structural Database,"JC Cole, JW Yao, GP Shields, WDS Motherwell, FH Allen, JAK Howard","Acta Crystallographica Section B: Structural Science 57 (1), 88-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6434217779081721627,15,2001
Modification of the atmospheric boundary layer by a small island: Observations from Nauru,"S Matthews, JM Hacker, J Cole, J Hare, CN Long, RM Reynolds","Monthly weather review 135 (3), 891-905",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16947719173444959250,14,2007
A systematic study of coordinate precision in X-ray structure analyses. II. Predictive estimates of esd's for the general-atom case,"FH Allen, JC Cole, JAK Howard","Acta Crystallographica Section A: Foundations of Crystallography 51 (2), 112-121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10833912720849434349,14,1995
Development and validation of an improved algorithm for overlaying flexible molecules,"R Taylor, JC Cole, DA Cosgrove, EJ Gardiner, VJ Gillet, O Korb","Journal of computer-aided molecular design 26 (4), 451-472",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5521218302259247866,13,2012
"(Z)-{4-[1-Cyano-3-(diethyliminio)-1-propenyl] phenyl} dicyanomethanide, a NovelBlue Window'Zwitterionic Molecule for Non-Linear Optics","JC Cole, JAK Howard, GH Cross, M Szablewski",Acta Crystallographica Section C: Crystal Structure Communications 51 (4 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14421595168031126737,13,1995
Interactive and versatile navigation of structural databases,"O Korb, B Kuhn, J Hert, N Taylor, J Cole, C Groom, M Stahl","Journal of medicinal chemistry 59 (9), 4257-4266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4499241956207917946,12,2016
The use of small-molecule structures to complement protein–ligand crystal structures in drug discovery,"CR Groom, JC Cole","Acta Crystallographica Section D: Structural Biology 73 (3), 240-245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17005656900509686454,11,2017
"Condensation products from the reactions of glyoxal with 2-substituted benzylamines. The formation and crystal structures of 2, 2′-bi (1, 2, 3, 4-tetrahydroquinazoline), and 2 …","A Batsanov, JC Cole, MR Crampton, J Hamid, JAK Howard, R Millar","Journal of the Chemical Society, Perkin Transactions 2, 421-424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10493682378552990158,11,1994
Knowledge-based conformer generation using the cambridge structural database,"JC Cole, O Korb, P McCabe, MG Read, R Taylor","Journal of chemical information and modeling 58 (3), 615-629",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4807874304397797451,10,2018
New active leads for tuberculosis booster drugs by structure-based drug discovery,"NJ Tatum, JW Liebeschuetz, JC Cole, R Frita, A Herledan, AR Baulard, ...","Organic & biomolecular chemistry 15 (48), 10245-10255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14605892260141928983,10,2017
The Basis for Target‐Based Virtual Screening: Protein Structures,"JC Cole, O Korb, TSG Olsson, J Liebeschuetz","Virtual Screening: Principles, Challenges, and Practical Guidelines, 87-114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13955541120887353065,10,2011
Secbase: database module to retrieve secondary structure elements with ligand binding motifs,"O Koch, J Cole, P Block, G Klebe","Journal of chemical information and modeling 49 (10), 2388-2402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13782326058087124753,10,2009
MDASH: a multi-core-enabled program for structure solution from powder diffraction data,"TAN Griffin, K Shankland, J Van De Streek, J Cole","Journal of Applied Crystallography 42 (2), 360-361",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8243831919840409756,10,2009
Mining the Cambridge Structural Database for Matched Molecular Crystal Structures: A Systematic Exploration of Isostructurality,"I Giangreco, JC Cole, E Thomas","Crystal Growth & Design 17 (6), 3192-3203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14845558358647703617,9,2017
Knowledge-based optimization of molecular geometries using crystal structures,"JC Cole, CR Groom, O Korb, P McCabe, GP Shields","Journal of chemical information and modeling 56 (4), 652-661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16802003424690843498,9,2016
Improved performance of crystal structure solution from powder diffraction data through parameter tuning of a simulated annealing algorithm,"EA Kabova, JC Cole, O Korb, M López-Ibáñez, AC Williams, K Shankland","Journal of Applied Crystallography 50 (5), 1411-1420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12790968839530286695,8,2017
Generation of crystal structures using known crystal structures as analogues,"JC Cole, CR Groom, MG Read, I Giangreco, P McCabe, AM Reilly, ...","Acta Crystallographica Section B: Structural Science, Crystal Engineering …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5639107832384070165,8,2016
Quantifying the symmetry preferences of intermolecular interactions in organic crystal structures,"R Taylor, FH Allen, JC Cole","CrystEngComm 17 (13), 2651-2666",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13502367276367827627,8,2015
"Kernel Density Estimation Applied to Bond Length, Bond Angle, and Torsion Angle Distributions","P McCabe, O Korb, J Cole","Journal of chemical information and modeling 54 (5), 1284-1288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3196914112785583992,8,2014
Cambridge Structural Database,"I Bruno, J Cole",The Cambridge Crystallographic Data Center 2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14056235758068751870,8,2004
Improved crystal structure solution from powder diffraction data by the use of conformational information,"EA Kabova, JC Cole, O Korb, AC Williams, K Shankland","Journal of Applied Crystallography 50 (5), 1421-1427",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14558716942815717016,7,2017
The ensemble performance index: an improved measure for assessing ensemble pose prediction performance,"O Korb, P McCabe, J Cole","Journal of chemical information and modeling 51 (11), 2915-2919",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18076151890053888498,7,2011
Assessment of a cambridge structural database-driven overlay program,"I Giangreco, TSG Olsson, JC Cole, MJ Packer","Journal of chemical information and modeling 54 (11), 3091-3098",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3574131489547435229,5,2014
An automated method for consistent helix assignment using turn information,"O Koch, J Cole","Proteins: Structure, Function, and Bioinformatics 79 (5), 1416-1426",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5770057205638486410,4,2011
Ensemble docking revisited.,"O Korb, S Bowden, TSG Olsson, D Frenkel, JW Liebeschuetz, JC Cole","J. Cheminformatics 2 (S-1), 25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13630148829893482793,4,2010
Use of the Cambridge Structural Database to Study Non-Covalent Interactions: Towards a Knowledge Base of Intermolecular Interactions,"JC Cole, JPM Lommerse, RS Rowland, R Taylor, FH Allen","Structure-Based Drug Design, 113-124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8948279682233941582,4,1998
Molecular Docking—A Solved Problem?,"J Cole, E Davis, G Jones, CR Sage",Elsevier,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=68255668217882939,3,2017
Thermoelectric generators from SiO2/SiO2+ Ge nanolayer thin films modified by MeV Si ions,"S Budak, E Gulduren, B Allen, J Cole, J Lassiter, T Colon, C Muntele, ...","Solid-State Electronics 103, 131-139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17071414558945918416,3,2015
Utilizing organic and organometallic structural data in powder diffraction,"JC Cole, EA Kabova, K Shankland","Powder Diffraction 29 (S2), S19-S30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11953573165496580840,3,2014
Kernel density estimation of CSD distributions-an application to knowledge based molecular optimisation,"P McCabe, O Korb, J Cole, R Taylor","Journal of cheminformatics 6 (S1), P10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5775504341201191979,3,2014
Ant colony optimisation for ligand docking,"O Korb, J Cole","International Conference on Swarm Intelligence, 72-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14699143976219467537,3,2010
Crystal structure evaluation: calculating relative stabilities and other criteria: general discussion,"M Addicoat, CS Adjiman, M Arhangelskis, GJO Beran, D Bowskill, ...","Faraday discussions 211, 325-381",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10597307704656487007,2,2018
Using more than 801 296 small-molecule crystal structures to aid in protein structure refinement and analysis,"JC Cole, I Giangreco, CR Groom","Acta Crystallographica Section D: Structural Biology 73 (3), 234-239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1403922051759936774,2,2017
CDASH: a cloud-enabled program for structure solution from powder diffraction data,"MJ Spillman, K Shankland, AC Williams, JC Cole","Journal of Applied Crystallography 48 (6), 2033-2039",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10224548675296371942,2,2015
Solubility sorted: Solid form disruption to improve solubility,"C Groom, E Davis, J Cole",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 251,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10306369107431711250,1,2016
"High Energy Radiation Effects on the Seebeck Coefficient, van der Pauw-Hall Effect Parameters and Optical Properties of Si/Si+ Sb Multi-Nanolayered Thin Films","S Budak, E Gulduren, B Allen, J Cole, J Lassiter, T Colon, C Muntele, ...","American Journal of Materials Science 5 (3A), 39-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6221075920594044217,1,2015
