Title,Authors,Platform,Cited_url,Cited_count,Year
Foundation for a general strain theory of crime and delinquency,R Agnew,"Criminology 30 (1), 47-88","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9787873220198064545,4881087030101607284",4569,1992
Excellence in problem-oriented policing,H Goldstein,New York NY,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8779660918323857254,16425070842764646488",2742,1990
Hot spots of predatory crime: Routine activities and the criminology of place,"LW Sherman, PR Gartin, ME Buerger","Criminology 27 (1), 27-56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15305623655647173497,2162,1989
The specific deterrent effects of arrest for domestic assault,"LW Sherman, RA Berk","American sociological review, 261-272",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7246497574446541281,1716,1984
What Works?,"LW Sherman, DC Gottfredson, DL MacKenzie, J Eck, P Reuter, ...",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5425784702620197416,4567048276541757416,7329780047139804662,14730006478151752612,16183479123654136935,14809518500720844990",1466,1998
"Defiance, deterrence, and irrelevance: A theory of the criminal sanction",LW Sherman,"Journal of research in Crime and Delinquency 30 (4), 445-473",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14378135841669911382,1318,1993
"Preventing crime: What works, what doesn't, what's promising","LW Sherman, D Gottfredson, D MacKenzie, J Eck, P Reuter, S Bushway","US Department of Justice 22030, 309-334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7766401235084973819,1144,1997
"General deterrent effects of police patrol in crime “hot spots”: A randomized, controlled trial","LW Sherman, D Weisburd","Justice quarterly 12 (4), 625-648",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13241194390016157456,1036,1995
Policing domestic violence: Experiments and dilemmas.,"LW Sherman, JD Schmidt, DP Rogan",Free Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8941259347432865794,952,1992
Do fair procedures matter? The effect of procedural justice on spouse assault,"R Paternoster, R Brame, R Bachman, LW Sherman","Law and society review, 163-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13589016710051169280,790,1997
Restorative justice: The evidence,"L Sherman, H Strang",Smith Institute,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=262955081255863047,9042025967647596955",739,2007
Police crackdowns: Initial and residual deterrence,LW Sherman,"Crime and justice 12, 1-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7825394038017233747,712,1990
Evidence-based crime prevention,"LW Sherman, DL MacKenzie, DP Farrington, BC Welsh",Routledge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18378370672513032386,670,2002
"Crime, punishment, and stake in conformity: Legal and informal control of domestic violence","LW Sherman, DA Smith, JD Schmidt, DP Rogan","American Sociological Review, 680-690","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10052844657265278197,3922312565876120358",551,1992
Evidence-based policing,LW Sherman,Police Foundation,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1090299562383798960,509,1998
Preventing crime at places,JE Eck,"Evidence-based crime prevention, 255-308",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16265294443541287089,489,2003
Policing for crime prevention,"LW Sherman, JE Eck","Evidence-based crime prevention, 309-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2329355997999908609,459,2003
Scandal and reform: Controlling police corruption,LW Sherman,Univ of California Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13384542727402625688,458,1978
Causes of police behavior: The current state of quantitative research,LW Sherman,"Journal of research in crime and delinquency 17 (1), 69-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5266387312277814668,444,1980
Understanding crime prevention,G Hughes,McGraw-Hill Education (UK),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9037080376897225273,16594751535827492498",424,1998
