Title,Authors,Platform,Cited_url,Cited_count,Year
Performance measurement system design: a literature review and research agenda,"A Neely, M Gregory, K Platts","International journal of operations & production management 15 (4), 80-116","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3071216845416705418,3132514011763874523,16483064845563451003",3733,1995
State-of-the-art in product-service systems,"TS Baines, HW Lightfoot, S Evans, A Neely, R Greenough, J Peppard, ...","Proceedings of the Institution of Mechanical Engineers, Part B: journal of …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3201178296264317272,2078,2007
The performance prism: The scorecard for measuring and managing business success,"AD Neely, C Adams, M Kennerley",Prentice Hall Financial Times,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3638774501395926028,1893,2002
The performance measurement revolution: why now and what next?,A Neely,"International journal of operations & production management 19 (2), 205-228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18031941124097873817,1786,1999
Networking and innovation: a systematic review of the evidence,"L Pittaway, M Robertson, K Munir, D Denyer, A Neely","International journal of management reviews 5 (3‐4), 137-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9795133847806363248,1751,2004
"Designing, implementing and updating performance measurement systems","M Bourne, J Mills, M Wilcox, A Neely, K Platts","International journal of operations & production management 20 (7), 754-771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10049365029925975637,1496,2000
Performance measurement system design: A literature review and research agenda,"A Neely, M Gregory, K Platts","International journal of operations & production management 25 (12), 1228-1263","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17819621551987523037,10838680459282375876",1364,2005
Exploring the financial consequences of the servitization of manufacturing,A Neely,"Operations management research 1 (2), 103-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3954339809799925832,1295,2008
Performance measurement system design: developing and testing a process-based approach,"A Neely, J Mills, K Platts, H Richards, M Gregory, M Bourne, M Kennerley","International journal of operations & production management 20 (10), 1119-1145","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1840800916155631100,11666010853108125295",1229,2000
Business performance measurement: Unifying theory and integrating practice,A Neely,Cambridge University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2485132814201908550,313645877777420982",1083,2007
The performance prism in practice,"A Neely, C Adams, P Crowe","Measuring business excellence 5 (2), 6-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8327923289057454365,1017,2001
Measuring business performance,AD Neely,Profile books,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10025061842730254798,1010,1998
The evolution of performance measurement research: developments in the last decade and a research agenda for the next,A Neely,"International Journal of Operations & Production Management 25 (12), 1264-1277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18109779092946598819,998,2005
Designing performance measures: a structured approach,"A Neely, H Richards, J Mills, K Platts, M Bourne","International journal of operations & Production management 17 (11), 1131-1152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5439363771393569539,880,1997
A framework of the factors affecting the evolution of performance measurement systems,"M Kennerley, A Neely","International journal of operations & production management 22 (11), 1222-1245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7328193729481311826,827,2002
Measuring performance in a changing business environment,"M Kennerley, A Neely","International Journal of Operations & Production Management 23 (2), 213-229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11411957475645249625,779,2003
Implementing performance measurement systems: a literature review,"M Bourne, A Neely, J Mills, K Platts","International Journal of Business Performance Management 5 (1), 1-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17429376220342629161,638,2003
Why do firms measure their intellectual capital?,"B Marr, D Gray, A Neely","Journal of intellectual capital 4 (4), 441-464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10318609124502911026,589,2003
The success and failure of performance measurement initiatives: Perceptions of participating managers,"M Bourne, A Neely, K Platts, J Mills","International journal of operations & production management 22 (11), 1288-1310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=965820892979716390,568,2002
Why measurement initiatives fail,"A Neely, M Bourne","Measuring business excellence 4 (4), 3-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13885000387252306940,504,2000
Towards an operations strategy for product-centric servitization,"T Baines, H Lightfoot, J Peppard, M Johnson, A Tiwari, E Shehab, ...","International Journal of Operations & Production Management 29 (5), 494-519",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9788586617830117080,477,2009
The dynamics of value creation: mapping your intellectual performance drivers,"B Marr, G Schiuma, A Neely","Journal of intellectual capital 5 (2), 312-325",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6230688496726079678,470,2004
Intellectual capital–defining key performance indicators for organizational knowledge assets,"B Marr, G Schiuma, A Neely","Business Process Management Journal 10 (5), 551-569",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3600481641222947988,437,2004
Performance measurement frameworks: a review,"M Kennerley, A Neely","Business performance measurement: Theory and practice, 145-155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3901303116375006642,404,2002
Strategy and performance: getting the measure of your business,"A Neely, M Bourne, J Mills, K Platts, H Richards",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4263600135435140643,386,2002
Strategy and performance,"J Mills, M Bourne",Cambridge University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12701574809709151360,13885641305289988291",385,2002
"Service, services and products: rethinking operations strategy","M Spring, L Araujo","International Journal of Operations & Production Management 29 (5), 444-467",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4897975574421626140,349,2009
The servitization of manufacturing: an analysis of global trends,A Neely,"14th European Operations Management Association Conference, 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3320881867819234621,332,2007
Innovation and business performance: a literature review,"A Neely, J Hii","The Judge Institute of Management Studies, University of Cambridge, 0-65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16243857244735472595,332,1998
Developing integrated solution offerings for remote diagnostics: a comparative case study of two manufacturers,"SA Brax, K Jonsson","International Journal of Operations & Production Management 29 (5), 539-560",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4360947776627691846,325,2009
The forces that shape organisational performance measurement systems:: An interdisciplinary review,"DB Waggoner, AD Neely, MP Kennerley","International journal of production economics 60, 53-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10275795121972572585,319,1999
Some moderating effects on the service quality-customer retention link,"C Ranaweera, A Neely","International journal of operations & Production management 23 (2), 230-248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7573290988284147017,317,2003
Performance measurement system design: should process based approaches be adopted?,"A Neely, J Mills, K Platts, M Gregory, H Richards","International journal of production economics 46, 423-431",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10185766274555687604,306,1996
Realizing strategy through measurement,"A Neely, J Mills, K Platts, M Gregory, H Richards","International Journal of Operations & Production Management 14 (3), 140-152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18377088844564083857,305,1994
How should firms evaluate success in university–industry alliances? A performance measurement system,"M Perkmann, A Neely, K Walsh","R&D Management 41 (2), 202-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5567200374169704529,295,2011
"The PSO triangle: designing product, service and organisation to create value","KS Pawar, A Beltagui, JCKH Riedel","International Journal of Operations & Production Management 29 (5), 468-493",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15323806274356456459,295,2009
Gaining from interactions with universities: Multiple methods for nurturing absorptive capacity,"K Bishop, P D’Este, A Neely","Research Policy 40 (1), 30-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9237752914590101403,282,2011
"A framework for analysing business performance, firm innovation and related contextual factors: perceptions of managers and policy makers in two European regions","A Neely, R Filippini, C Forza, A Vinelli, J Hii","Integrated manufacturing systems 12 (2), 114-124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13160349957158215743,258,2001
"Manufacturing, service, and their integration: some history and theory",RW Schmenner,"International Journal of Operations & Production Management 29 (5), 431-443",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9986926745681181109,244,2009
Integrating products and services through life: an aerospace experience,"S Johnstone, A Dainty, A Wilkinson","International Journal of Operations & Production Management 29 (5), 520-538",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5210343268266069946,229,2009
The servitization of manufacturing: Further evidence,"A Neely, O Benedettini, I Visnjic",18th European operations management association conference 1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15047623080213222915,216,2011
Better budgeting or beyond budgeting?,"A Neely, M Bourne, C Adams","Measuring business excellence 7 (3), 22-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2231360876019717963,205,2003
Introduction to special issue: innovation and productivity performance in the UK,"D Denyer, A Neely","International Journal of Management Reviews 5 (3‐4), 131-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1702377043966638387,201,2004
"Only the brave: Product innovation, service business model innovation, and their impact on performance","I Visnjic, F Wiengarten, A Neely","Journal of Product Innovation Management 33 (1), 36-52",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9123163485690133458,193,2016
Adoption of promising practices: a systematic review of the evidence,"MJ Leseure, J Bauer, K Birdi, A Neely, D Denyer","International Journal of Management Reviews 5 (3‐4), 169-190",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16247932505741852462,185,2004
Why do servitized firms fail? A risk-based explanation,"O Benedettini, A Neely, M Swink","International Journal of Operations & Production Management 35 (6), 946-979",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2683802903623575798,165,2015
Towards the third generation of performance measurement,"A Neely, B Marr, G Roos, S Pike, O Gupta","Controlling 15 (3-4), 129-136",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4100572965282461877,160,2003
Steering manufacturing firms towards service business model innovation,"IV Kastalli, B Van Looy, A Neely","California Management Review 56 (1), 100-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18278017434648482724,144,2013
Testing manufacturing strategy formulation processes,"KW Platts, JF Mills, MC Bourne, AD Neely, AH Richards, MJ Gregory","International Journal of Production Economics 56, 517-523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9435070834511955100,144,1998
