Title,Authors,Platform,Cited_url,Cited_count,Year
Induction of autophagy and inhibition of tumorigenesis by ,"XH Liang, S Jackson, M Seaman, K Brown, B Kempkes, H Hibshoosh, ...","Nature 402 (6762), 672",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3418544339590179028,3151,1999
Autophagy genes are essential for dauer development and life-span extension in C. elegans,"A Meléndez, Z Tallóczy, M Seaman, EL Eskelinen, DH Hall, B Levine","Science 301 (5638), 1387-1391",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18140024172795440026,1181,2003
Clathrin-mediated endocytosis in AP-2–depleted cells,"A Motley, NA Bright, MNJ Seaman, MS Robinson","The Journal of cell biology 162 (5), 909-918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6081591350374243106,711,2003
A membrane coat complex essential for endosome-to-Golgi retrograde transport in yeast,"MNJ Seaman, JM McCaffery, SD Emr","The Journal of cell biology 142 (3), 665-681",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2392139615168747420,619,1998
Cargo-selective endosomal sorting for retrieval to the Golgi requires retromer,MNJ Seaman,"J Cell Biol 165 (1), 111-122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1098994634537072065,547,2004
"Endosome to Golgi retrieval of the vacuolar protein sorting receptor, Vps10p, requires the function of the VPS29, VPS30, and VPS35 gene products","MNJ Seaman, EG Marcusson, JL Cereghino, SD Emr","The Journal of cell biology 137 (1), 79-92",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=396699732495770275,392,1997
A family of proteins with γ-adaptin and VHS domains that facilitate trafficking between the trans-Golgi network and the vacuole/lysosome,"J Hirst, WWY Lui, NA Bright, N Totty, MNJ Seaman, MS Robinson","The Journal of cell biology 149 (1), 67-80",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13938740654787579573,353,2000
Recycle your receptors with retromer,MNJ Seaman,"Trends in cell biology 15 (2), 68-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1769016158333042523,327,2005
The retromer complex–endosomal protein recycling and beyond,MNJ Seaman,"J Cell Sci 125 (20), 4693-4702",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10599797943396139463,299,2012
Membrane recruitment of the cargo-selective retromer subcomplex is catalysed by the small GTPase Rab7 and inhibited by the Rab-GAP TBC1D5,"MNJ Seaman, ME Harbour, D Tattersall, E Read, N Bright","J Cell Sci 122 (14), 2371-2382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=975077530209474242,263,2009
Mutation in VPS35 associated with Parkinson’s disease impairs WASH complex association and inhibits autophagy,"E Zavodszky, MNJ Seaman, K Moreau, M Jimenez-Sanchez, ...","Nature communications 5, 3828",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9346462156147773388,251,2014
The fifth adaptor protein complex,"J Hirst, LD Barlow, GC Francisco, DA Sahlender, MNJ Seaman, JB Dacks, ...","PLoS biology 9 (10), e1001170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10457811765184049869,246,2011
"A sorting nexin-1 homologue, Vps5p, forms a complex with Vps17p and is required for recycling the vacuolar protein-sorting receptor.","BF Horazdovsky, BA Davies, MN Seaman, SA McLaughlin, SH Yoon, ...","Molecular biology of the cell 8 (8), 1529-1541",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17233676498023138638,223,1997
Identification of a novel conserved sorting motif required for retromer-mediated endosome-to-TGN retrieval,MNJ Seaman,"J Cell Sci 120 (14), 2378-2389",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15772678558672267801,206,2007
The cargo-selective retromer complex is a recruiting hub for protein complexes that regulate endosomal tubule dynamics,"ME Harbour, SYA Breusegem, R Antrobus, C Freeman, E Reid, ...","J Cell Sci 123 (21), 3703-3717",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1608128068960622888,185,2010
Retromer binds the FANSHY sorting motif in SorLA to regulate amyloid precursor protein sorting and processing,"AW Fjorback, M Seaman, C Gustafsen, A Mehmedbasic, S Gokool, C Wu, ...","Journal of Neuroscience 32 (4), 1467-1480",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9901129693623362489,157,2012
Retromer-mediated endosomal protein sorting: all WASHed up!,"MNJ Seaman, A Gautreau, DD Billadeau","Trends in cell biology 23 (11), 522-528",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1323473940437028877,142,2013
Recruitment of the endosomal WASH complex is mediated by the extended'tail'of Fam21 binding to the retromer protein Vps35,"ME Harbour, SY Breusegem, MNJ Seaman","Biochemical Journal 442 (1), 209-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2414374304583883229,133,2012
Identification of Alzheimer disease-associated variants in genes that regulate retromer function,"BN Vardarajan, SY Bruesegem, ME Harbour, PS George-Hyslop, ...","Neurobiology of aging 33 (9), 2231. e15-2231. e30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1765556932519522025,124,2012
Myosin VI and its interacting protein LMTK2 regulate tubule formation and transport to the endocytic recycling compartment,"MV Chibalina, MNJ Seaman, CC Miller, J Kendrick-Jones, F Buss","Journal of cell science 120 (24), 4278-4288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5128708950080314796,115,2007
Vps29 has a phosphoesterase fold that acts as a protein interaction scaffold for retromer assembly,"BM Collins, CF Skinner, PJ Watson, MNJ Seaman, DJ Owen","Nature structural & molecular biology 12 (7), 594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17945521160990524080,114,2005
EHD1 interacts with retromer to stabilize SNX1 tubules and facilitate endosome‐to‐Golgi retrieval,"S Gokool, D Tattersall, MNJ Seaman","Traffic 8 (12), 1873-1886",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12895747558524796458,111,2007
"Disruption of three phosphatidylinositol-polyphosphate 5-phosphatase genes from Saccharomyces cerevisiae results in pleiotropic abnormalities of vacuole morphology, cell shape …","S Srinivasan, M Seaman, Y Nemoto, L Daniell, SF Suchy, S Emr, ...","European journal of cell biology 74 (4), 350",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13251385498748798072,101,1997
"Vps26p, a component of retromer, directs the interactions of Vps35p in endosome-to-Golgi retrieval","JV Reddy, MNJ Seaman","Molecular Biology of the Cell 12 (10), 3242-3256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13420405683734140619,97,2001
Identification of the functional domains of yeast sorting nexins Vps5p and Vps17p,"MNJ Seaman, HP Williams","Molecular biology of the cell 13 (8), 2826-2840",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3981093099195997938,95,2002
Targeting and mistargeting of plasma membrane adaptors in vitro.,"MN Seaman, CL Ball, MS Robinson","The Journal of Cell Biology 123 (5), 1093-1105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9381488956383579646,95,1993
Endosome protein sorting: motifs and machinery.,MN Seaman,"Cellular and molecular life sciences: CMLS 65 (18), 2842-2858",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5851245367682405547,94,2008
Cytosolic and membrane-associated proteins involved in the recruitment of AP-1 adaptors onto the trans-Golgi network,"MNJ Seaman, PJ Sowerby, MS Robinson","Journal of Biological Chemistry 271 (41), 25446-25451",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1532999810459512031,93,1996
Structure of Vps26B and mapping of its interaction with the retromer protein complex,"BM Collins, SJ Norwood, MC Kerr, D Mahony, MNJ Seaman, ...","Traffic 9 (3), 366-379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16398417712687221310,92,2008
An ESCRT–spastin interaction promotes fission of recycling tubules from the endosome,"R Allison, JH Lumb, C Fassier, JW Connell, D Ten Martin, MNJ Seaman, ...","J Cell Biol 202 (3), 527-543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8142574642838720830,79,2013
A screen for endocytic motifs,"P Kozik, RW Francis, MNJ Seaman, MS Robinson","Traffic 11 (6), 843-855",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14762329919133384608,73,2010
Receptor signalling and the regulation of endocytic membrane transport,"MNJ Seaman, CG Burd, SD Emr","Current opinion in cell biology 8 (4), 549-556",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7117298566778132139,72,1996
"VARP is recruited on to endosomes by direct interaction with retromer, where together they function in export to the cell surface","GG Hesketh, I Pérez-Dorado, LP Jackson, L Wartosch, IB Schäfer, ...","Developmental cell 29 (5), 591-606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5926947115339933140,68,2014
RME-8 coordinates the activity of the WASH complex with the function of the retromer SNX dimer to control endosomal tubulation,"CL Freeman, G Hesketh, MNJ Seaman","J Cell Sci 127 (9), 2053-2070",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15363671819879227621,67,2014
Loss of the Batten disease gene CLN3 prevents exit from the TGN of the mannose 6‐phosphate receptor,"DJ Metcalf, AA Calvi, MNJ Seaman, HM Mitchison, DF Cutler","Traffic 9 (11), 1905-1914",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13979121716432758597,64,2008
Endosomal recruitment of the WASH complex: active sequences and mutations impairing interaction with the retromer,"E Helfer, ME Harbour, V Henriot, G Lakisic, C Sousa‐Blin, L Volceanov, ...","Biology of the Cell 105 (5), 191-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9457042440478530099,62,2013
"The WASH complex, an endosomal Arp2/3 activator, interacts with the Hermansky–Pudlak syndrome complex BLOC-1 and its cargo phosphatidylinositol-4-kinase type IIα","PV Ryder, R Vistein, A Gokhale, MN Seaman, MA Puthenveedu, ...","Molecular biology of the cell 24 (14), 2269-2284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14098216244445156060,58,2013
VPS29 is not an active metallo-phosphatase but is a rigid scaffold required for retromer interaction with accessory proteins,"JD Swarbrick, DJ Shaw, S Chhabra, R Ghai, E Valkov, SJ Norwood, ...","PLoS One 6 (5), e20420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7249628143612747808,50,2011
Identification of a conserved motif required for Vps35p/Vps26p interaction and assembly of the retromer complex,"S Gokool, D Tattersall, JV Reddy, MNJ Seaman","Biochemical journal 408 (2), 287-295",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14917662485581943146,44,2007
