Title,Authors,Platform,Cited_url,Cited_count,Year
Efficient and Clean Photoreduction of CO,"TW Woolerton, S Sheard, E Reisner, E Pierce, SW Ragsdale, ...","Journal of the American Chemical Society 132 (7), 2132-2133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11566727838026488238,338,2010
Visible light-driven H2 production by hydrogenases attached to dye-sensitized TiO2 nanoparticles,"E Reisner, DJ Powell, C Cavazza, JC Fontecilla-Camps, FA Armstrong","Journal of the American Chemical Society 131 (51), 18457-18466",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12452182331676524614,330,2009
Solar hydrogen production using carbon quantum dots and a molecular nickel catalyst,"BCM Martindale, GAM Hutton, CA Caputo, E Reisner","Journal of the American Chemical Society 137 (18), 6018-6025",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4855558610777080428,277,2015
Current challenges of modeling diiron enzyme active sites for dioxygen activation by biomimetic synthetic complexes,"S Friedle, E Reisner, SJ Lippard","Chemical Society Reviews 39 (8), 2768-2779",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5276578686143774453,229,2010
Dynamic electrochemical investigations of hydrogen oxidation and production by enzymes and implications for future technology,"FA Armstrong, NA Belsey, JA Cracknell, G Goldet, A Parkin, E Reisner, ...","Chemical Society Reviews 38 (1), 36-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1678917565504398412,227,2009
Electron-transfer activated metal-based anticancer drugs,"E Reisner, VB Arion, BK Keppler, AJL Pombeiro","Inorganica Chimica Acta 361 (6), 1569-1583",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1420943959482599153,227,2008
"Structure-activity relationships for NAMI-A-type complexes (HL)[trans-RuCl4L(S-dmso)ruthenate(III)](L= imidazole, indazole, 1, 2, 4-triazole, 4-amino-1,2,4-triazole, and 1 …","M Groessl, E Reisner, CG Hartinger, R Eichinger, O Semenova, ...","Journal of Medicinal Chemistry 50 (9), 2185-2193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6174867084595668920,216,2007
Cu2O|NiOx nanocomposite as an inexpensive photocathode in photoelectrochemical water splitting,"CY Lin, YH Lai, D Mersch, E Reisner","Chemical Science 3 (12), 3482-3487",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13237963112313628667,194,2012
Redox-active antineoplastic ruthenium complexes with indazole: correlation of in vitro potency and reduction potential,"MA Jakupec, E Reisner, A Eichinger, M Pongratz, VB Arion, M Galanski, ...","Journal of Medicinal Chemistry 48 (8), 2831-2837",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12268374608529687226,177,2005
Al-doped ZnO inverse opal networks as efficient electron collectors in BiVO4 photoanodes for solar water oxidation,"L Zhang, E Reisner, JJ Baumberg","Energy & Environmental Science 7 (4), 1402-1408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13659510660868480019,176,2014
Dye-sensitised semiconductors modified with molecular catalysts for light-driven H 2 production,"J Willkomm, KL Orchard, A Reynal, E Pastor, JR Durrant, E Reisner","Chemical Society Reviews 45 (1), 9-23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4377353980901947560,173,2016
Versatile Photocatalytic Systems for H2 Generation in Water Based on an Efficient DuBois-Type Nickel Catalyst,"MA Gross, A Reynal, JR Durrant, E Reisner","Journal of the American Chemical Society 136 (1), 356-366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14303409509383406586,172,2014
Photocatalytic H2 evolution from neutral water with a molecular cobalt catalyst on a dye-sensitised TiO2 nanoparticle,"F Lakadamyali, E Reisner","Chemical Communications 47 (6), 1695-1697",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1679686645939801643,172,2011
Redox behavior of tumor-inhibiting ruthenium (III) complexes and effects of physiological reductants on their binding to GMP,"P Schluga, CG Hartinger, A Egger, E Reisner, M Galanski, MA Jakupec, ...","Dalton transactions, 1796-1802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13366194853239292865,170,2006
"Tuning of Redox Potentials for the Design of Ruthenium Anticancer Drugs-an Electrochemical Study of [trans-RuCl4L(DMSO)]-and [trans-RuCl4L2]- Complexes, where L= Imidazole, 1 …","E Reisner, VB Arion, MFC Guedes da Silva, R Lichtenecker, A Eichinger, ...","Inorganic Chemistry 43 (22), 7083-7093",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5489095376032139231,163,2004
Photoelectrochemical water oxidation with photosystem II integrated in a mesoporous indium–tin oxide electrode,"M Kato, T Cardona, AW Rutherford, E Reisner","Journal of the American Chemical Society 134 (20), 8332-8335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7677835181217897986,152,2012
Selective Photocatalytic CO,"MF Kuehnel, KL Orchard, KE Dalle, E Reisner","Journal of the American Chemical Society 139 (21), 7217-7223",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16547758445617502265,148,2017
Carbon dots as photosensitisers for solar-driven catalysis,"GAM Hutton, BCM Martindale, E Reisner","Chemical Society Reviews 46 (20), 6111-6123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6382829491892077344,140,2017
Wiring of photosystem II to hydrogenase for photoelectrochemical water splitting,"D Mersch, CY Lee, JZ Zhang, K Brinkert, JC Fontecilla-Camps, ...","Journal of the American Chemical Society 137 (26), 8541-8549",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17246081403568498726,139,2015
Photocatalytic Hydrogen Production using Polymeric Carbon Nitride with a Hydrogenase and a Bioinspired Synthetic Ni Catalyst,"CA Caputo, MA Gross, VW Lau, C Cavazza, BV Lotsch, E Reisner","Angewandte Chemie International Edition 53 (43), 11538-11542",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13460155246490855988,126,2014
Digital color in cellulose nanocrystal films,"AG Dumanli, HM van der Kooij, G Kamita, E Reisner, JJ Baumberg, ...","ACS applied materials & interfaces 6 (15), 12302-12306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3617867286966755605,121,2014
Plasmonic Enhancement in BiVO4 Photonic Crystals for Efficient Water Splitting,"L Zhang, CY Lin, VK Valev, E Reisner, U Steiner, JJ Baumberg","Small 10 (19), 3970-3978",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14036996769990172904,117,2014
Catalytic electrochemistry of a [NiFeSe]-hydrogenase on TiO2 and demonstration of its suitability for visible-light driven H 2 production,"E Reisner, JC Fontecilla-Camps, FA Armstrong","Chemical Communications, 550-552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2859697139189760449,113,2009
Reversible Interconversion of CO,"A Bassegoda, C Madden, DW Wakerley, E Reisner, J Hirst","Journal of the American Chemical Society 136 (44), 15473-15476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10396913775524411145,107,2014
"Synthesis, X-ray Diffraction Structures, Spectroscopic Properties, and in vitro Antitumor Activity of Isomeric (1H-1,2,4-Triazole)Ru(III) Complexes","VB Arion, E Reisner, M Fremuth, MA Jakupec, BK Keppler, VY Kukushkin, ...","Inorganic Chemistry 42 (19), 6024-6031",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1697666897413241354,106,2003
Electron Transfer in Dye‐Sensitised Semiconductors Modified with Molecular Cobalt Catalysts: Photoreduction of Aqueous Protons,"F Lakadamyali, A Reynal, M Kato, JR Durrant, E Reisner","Chemistry–A European Journal 18 (48), 15464-15475",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7728837085040593081,105,2012
Selective reduction of aqueous protons to hydrogen with a synthetic cobaloxime catalyst in the presence of atmospheric oxygen,"F Lakadamyali, M Kato, NM Muresan, E Reisner","Angewandte Chemie International Edition 51 (37), 9381-9384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6652948667985878078,105,2012
Solar-driven reforming of lignocellulose to H,"DW Wakerley, MF Kuehnel, KL Orchard, KH Ly, TE Rosser, E Reisner","Nature Energy 2 (4), 17021",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8694365209811976432,99,2017
Improving the Photocatalytic Reduction of CO,"CD Windle, E Pastor, A Reynal, AC Whitwood, Y Vaynzof, JR Durrant, ...","Chemistry–A European Journal 21 (9), 3746-3754",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5270851320892940531,98,2015
Protein film photoelectrochemistry of the water oxidation enzyme photosystem II,"M Kato, JZ Zhang, N Paul, E Reisner","Chemical Society Reviews 43, 6485-6497",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2906884009836494982,98,2014
Reactions of synthetic [2Fe-2S] and [4Fe-4S] clusters with nitric oxide and nitrosothiols,"TC Harrop, ZJ Tonzetich, E Reisner, SJ Lippard","Journal of the American Chemical Society 130 (46), 15602-15610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11653192781103335330,98,2008
Solar-driven reduction of aqueous protons coupled to selective alcohol oxidation with a carbon nitride–molecular Ni catalyst system,"H Kasap, CA Caputo, BCM Martindale, R Godin, VW Lau, BV Lotsch, ...","Journal of the American Chemical Society 138 (29), 9183-9192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7339558151165813556,97,2016
Electrocatalytic and Solar‐Driven CO,"TE Rosser, CD Windle, E Reisner","Angewandte Chemie International Edition 55 (26), 7388-7392",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10569903102231505219,93,2016
Immobilization of a molecular cobaloxime catalyst for hydrogen evolution on a mesoporous metal oxide electrode,"NM Muresan, J Willkomm, D Mersch, Y Vaynzof, E Reisner","Angewandte Chemie International Edition 51 (51), 12749-12753",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=764483540060029274,93,2012
Photocatalytic hydrogen evolution with a hydrogenase in a mediator‐free system under high levels of oxygen,"T Sakai, D Mersch, E Reisner","Angewandte Chemie International Edition 52 (47), 12313-12316",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8293100165118165396,91,2013
Covalent immobilization of oriented photosystem II on a nanostructured electrode for solar water oxidation,"M Kato, T Cardona, AW Rutherford, E Reisner","Journal of the American Chemical Society 135 (29), 10610-10613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1351397868852697317,87,2013
"Tuning of Redox Properties for the Design of Ruthenium Anticancer Drugs: Part 2. Syntheses, Crystal Structures, and Electrochemistry of Potentially Antitumor [RuIII/IICl6-n …","E Reisner, VB Arion, A Eichinger, N Kandler, G Giester, AJL Pombeiro, ...","Inorganic Chemistry 44 (19), 6704-6716",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4389673439054330474,85,2005
