Title,Authors,Platform,Cited_url,Cited_count,Year
RELION: implementation of a Bayesian approach to cryo-EM structure determination,SHW Scheres,"Journal of structural biology 180 (3), 519-530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12581748513808127746,2102,2012
Prevention of overfitting in cryo-EM structure determination,"SHW Scheres, S Chen","Nature methods 9 (9), 853",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9948046489180031565,662,2012
Accelerated cryo-EM structure determination with parallelisation using GPUs in RELION-2,"D Kimanius, BO Forsberg, SHW Scheres, E Lindahl","Elife 5, e18722",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5347875256153915057,515,2016
Cryo-EM structures of tau filaments from Alzheimer’s disease,"AWP Fitzpatrick, B Falcon, S He, AG Murzin, G Murshudov, HJ Garringer, ...","Nature 547 (7662), 185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13359831526316597186,474,2017
How cryo-EM is revolutionizing structural biology,"XC Bai, G McMullan, SHW Scheres","Trends in biochemical sciences 40 (1), 49-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12444741701158222630,468,2015
A Bayesian view on cryo-EM structure determination,SHW Scheres,"Journal of molecular biology 415 (2), 406-418",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12100599405822910620,455,2012
XMIPP: a new generation of an open-source image processing package for electron microscopy,"COS Sorzano, R Marabini, J Velázquez-Muriel, JR Bilbao-Castro, ...","Journal of structural biology 148 (2), 194-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5374789044941436492,453,2004
High-resolution noise substitution to measure overfitting and validate resolution in 3D structure determination by single particle electron cryomicroscopy,"S Chen, G McMullan, AR Faruqi, GN Murshudov, JM Short, SHW Scheres, ...","Ultramicroscopy 135, 24-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12212600839905711662,406,2013
Structure of the yeast mitochondrial large ribosomal subunit,"A Amunts, A Brown, X Bai, JL Llácer, T Hussain, P Emsley, F Long, ...","Science 343 (6178), 1485-1489",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8581118211679151739,399,2014
Disentangling conformational states of macromolecules in 3D-EM through likelihood optimization,"SHW Scheres, H Gao, M Valle, GT Herman, PPB Eggermont, J Frank, ...","Nature methods 4 (1), 27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3214215659868871046,370,2007
Ribosome structures to near-atomic resolution from thirty thousand cryo-EM particles,"X Bai, IS Fernandez, G McMullan, SHW Scheres","elife 2, e00461",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=648384613079126228,366,2013
An atomic structure of human γ-secretase,"X Bai, C Yan, G Yang, P Lu, D Ma, L Sun, R Zhou, SHW Scheres, Y Shi","Nature 525 (7568), 212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14300872849959911416,333,2015
