Title,Authors,Platform,Cited_url,Cited_count,Year
Genome sequence of the human malaria parasite ,"MJ Gardner, N Hall, E Fung, O White, M Berriman, RW Hyman, JM Carlton, ...","Nature 419 (6906), 498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16041064586978840733,4474,2002
Complete genome sequence of the model actinomycete ,"SD Bentley, KF Chater, AM Cerdeño-Tárraga, GL Challis, NR Thomson, ...","Nature 417 (6885), 141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5267300888221245192,3254,2002
Artemis: sequence visualization and annotation,"K Rutherford, J Parkhill, J Crook, T Horsnell, P Rice, MA Rajandream, ...","Bioinformatics 16 (10), 944-945",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8438855113118236565,3054,2000
The genome sequence of the food-borne pathogen ,"J Parkhill, BW Wren, K Mungall, JM Ketley, C Churcher, D Basham, ...","Nature 403 (6770), 665",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10786703497110408550,2005,2000
Massive gene decay in the leprosy bacillus,"ST Cole, K Eiglmeier, J Parkhill, KD James, NR Thomson, PR Wheeler, ...","Nature 409 (6823), 1007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11982639727193912615,1874,2001
The genome sequence of ,"V Wood, R Gwilliam, MA Rajandream, M Lyne, R Lyne, A Stewart, ...","Nature 415 (6874), 871",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9156028019060420928,1765,2002
Gene ontology consortium: going forward,Gene Ontology Consortium,"Nucleic acids research 43 (D1), D1049-D1056",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5062805867064567035,1584,2014
ACT: the Artemis comparison tool,"TJ Carver, KM Rutherford, M Berriman, MA Rajandream, BG Barrell, ...","Bioinformatics 21 (16), 3422-3423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17346720350490632354,1396,2005
Genome sequence of ,"J Parkhill, BW Wren, NR Thomson, RW Titball, MTG Holden, MB Prentice, ...","Nature 413 (6855), 523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15341955972872485677,1323,2001
Complete genome sequence of a multiple drug resistant ,"J Parkhill, G Dougan, KD James, NR Thomson, D Pickard, J Wain, ...","Nature 413 (6858), 848",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10167313778023136267,1241,2001
Complete genomes of two clinical Staphylococcus aureus strains: evidence for the rapid evolution of virulence and drug resistance,"MTG Holden, EJ Feil, JA Lindsay, SJ Peacock, NPJ Day, MC Enright, ...","Proceedings of the National Academy of Sciences 101 (26), 9786-9791",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6141062800739108450,998,2004
Integrative analysis of the Caenorhabditis elegans genome by the modENCODE project,"MB Gerstein, ZJ Lu, EL Van Nostrand, C Cheng, BI Arshinoff, T Liu, ...","Science 330 (6012), 1775-1787",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7552910170609814572,849,2010
"A comprehensive survey of the Plasmodium life cycle by genomic, transcriptomic, and proteomic analyses","N Hall, M Karras, JD Raine, JM Carlton, TWA Kooij, M Berriman, L Florens, ...","Science 307 (5706), 82-86",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6963659802308454195,833,2005
Complete DNA sequence of a serogroup A strain of ,"J Parkhill, M Achtman, KD James, SD Bentley, C Churcher, SR Klee, ...","Nature 404 (6777), 502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9458948446292857133,829,2000
Identification of functional elements and regulatory circuits by Drosophila modENCODE,"S Roy, J Ernst, PV Kharchenko, P Kheradpour, N Negre, ML Eaton, ...","Science 330 (6012), 1787-1797",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1350714742896794167,785,2010
"Genomic plasticity of the causative agent of melioidosis, Burkholderia pseudomallei","MTG Holden, RW Titball, SJ Peacock, AM Cerdeño-Tárraga, T Atkins, ...","Proceedings of the National Academy of Sciences 101 (39), 14240-14245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10937058963823647544,729,2004
Expansion of the Gene Ontology knowledgebase and resources,Gene Ontology Consortium,"Nucleic acids research 45 (D1), D331-D338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4880679934534989711,686,2016
Gene Ontology annotations and resources,Gene Ontology Consortium,"Nucleic acids research 41 (D1), D530-D535","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8478547319348440734,2351322065588532696",399,2012
A human-curated annotation of the Candida albicans genome,"BR Braun, M Van het Hoog, C d'Enfert, M Martchenko, J Dungan, A Kuo, ...","PLoS genetics 1 (1), e1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13543217568129855965,354,2005
The complete genome sequence and analysis of              ,"AM Cerdeno‐Tarraga, A Efstratiou, LG Dover, MTG Holden, M Pallen, ...","Nucleic acids research 31 (22), 6516-6523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3652812616600309002,336,2003
FlyMine: an integrated database for Drosophila and Anopheles genomics,"R Lyne, R Smith, K Rutherford, M Wakeling, A Varley, F Guillier, ...","Genome biology 8 (7), R129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14281935287417222662,283,2007
GeneDB: a resource for prokaryotic and eukaryotic organisms,"C Hertz‐Fowler, CS Peacock, V Wood, M Aslett, A Kerhornou, P Mooney, ...","Nucleic acids research 32 (suppl_1), D339-D343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14352157509278051082,278,2004
PomBase: a comprehensive online resource for fission yeast,"V Wood, MA Harris, MD McDowall, K Rutherford, BW Vaughan, ...","Nucleic acids research 40 (D1), D695-D699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14006463459671826504,264,2011
The gene ontology resource: 20 years and still GOing strong,Gene Ontology Consortium,"Nucleic acids research 47 (D1), D330-D338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14129024047166200489,236,2018
The gene ontology: enhancements for 2011,Gene Ontology Consortium,"Nucleic acids research 40 (D1), D559-D564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5832134767069758222,206,2011
Sequence of ,"N Hall, A Pain, M Berriman, C Churcher, B Harris, D Harris, K Mungall, ...","Nature 419 (6906), 527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10594220345778361882,199,2002
InterMine: a flexible data warehouse system for the integration and analysis of heterogeneous biological data,"RN Smith, J Aleksic, D Butano, A Carr, S Contrino, F Hu, M Lyne, R Lyne, ...","Bioinformatics 28 (23), 3163-3165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5435133775088654813,186,2012
Viewing and annotating sequence data with Artemis,"M Berriman, K Rutherford","Briefings in bioinformatics 4 (2), 124-132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16877891057266009591,140,2003
modMine: flexible access to modENCODE data,"S Contrino, RN Smith, D Butano, A Carr, F Hu, R Lyne, K Rutherford, ...","Nucleic acids research 40 (D1), D1082-D1088",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2023775989858799780,125,2011
WebACT—an online companion for the Artemis Comparison Tool,"JC Abbott, DM Aanensen, K Rutherford, S Butcher, BG Spratt","Bioinformatics 21 (18), 3665-3666",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11182660025515192425,107,2005
A re-annotation of the Saccharomyces cerevisiae genome,"V Wood, KM Rutherford, A Ivens, MA Rajandream, B Barrell","International Journal of Genomics 2 (3), 143-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8110758149653697552,89,2001
"The DNA sequence of chromosome I of an African trypanosome: gene content, chromosome organisation, recombination and polymorphism","N Hall, M Berriman, NJ Lennard, BR Harris, C Hertz‐Fowler, ...","Nucleic acids research 31 (16), 4864-4873",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4474956366550592103,79,2003
PomBase 2015: updates to the fission yeast database,"MD McDowall, MA Harris, A Lock, K Rutherford, DM Staines, J Bähler, ...","Nucleic acids research 43 (D1), D656-D661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6630746216112026747,75,2014
PHI-base: a new interface and further additions for the multi-species pathogen–host interactions database,"M Urban, A Cuzick, K Rutherford, A Irvine, H Pedro, R Pant, V Sadanadan, ...","Nucleic acids research 45 (D1), D604-D610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16521875692162468799,57,2016
Large-scale transcriptome sequencing reveals novel expression patterns for key sex-related genes in a sex-changing fish,"H Liu, MS Lamm, K Rutherford, MA Black, JR Godwin, NJ Gemmell","Biology of sex differences 6 (1), 26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13636531319535749601,42,2015
Canto: an online tool for community literature curation,"KM Rutherford, MA Harris, A Lock, SG Oliver, V Wood","Bioinformatics 30 (12), 1791-1792",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5415411170216604474,28,2014
"PomBase 2018: user-driven reimplementation of the fission yeast database provides rapid and intuitive access to diverse, interconnected information","A Lock, K Rutherford, MA Harris, J Hayles, SG Oliver, J Bähler, V Wood","Nucleic acids research 47 (D1), D821-D827",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3968081809135670627,26,2018
Improving functional annotation for industrial microbes: a case study with Pichia pastoris,"D Dikicioglu, V Wood, KM Rutherford, MD McDowall, SG Oliver","Trends in biotechnology 32 (8), 396-399",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5259746020904777060,20,2014
Analysis of the genome of the New Zealand giant collembolan (Holacanthella duospinosa) sheds light on hexapod evolution,"C Wu, MD Jordan, RD Newcomb, NJ Gemmell, S Bank, K Meusemann, ...","BMC genomics 18 (1), 795",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1304528333401548724,19,2017
Histological and transcriptomic effects of 17α-methyltestosterone on zebrafish gonad development,"SLJ Lee, JA Horsfield, MA Black, K Rutherford, A Fisher, NJ Gemmell","BMC genomics 18 (1), 557",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7096705107186845960,18,2017
Female mimicry by sneaker males has a transcriptomic signature in both the brain and the gonad in a sex-changing fish,"EV Todd, H Liu, MS Lamm, JT Thomas, K Rutherford, KC Thompson, ...","Molecular biology and evolution 35 (1), 225-241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18028051065383217323,15,2017
"Uncovering the pathways underlying whole body regeneration in a chordate model, Botrylloides leachi using de novo transcriptome analysis","LE Zondag, K Rutherford, NJ Gemmell, MJ Wilson","BMC genomics 17 (1), 114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6987644724913467939,15,2016
