Title,Authors,Platform,Cited_url,Cited_count,Year
Single-layer electroluminescent devices and photoinduced hydrogen production from an ionic iridium (III) complex,"MS Lowry, JI Goldsmith, JD Slinker, R Rohl, RA Pascal, GG Malliaras, ...","Chemistry of materials 17 (23), 5712-5719",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13512658247443831255,625,2005
Pentacene thin film growth,"R Ruiz, D Choudhary, B Nickel, T Toccoli, KC Chang, AC Mayer, P Clancy, ...","Chemistry of Materials 16 (23), 4497-4508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14736738980523100421,618,2004
Efficient yellow electroluminescence from a single layer of a cyclometalated iridium complex,"JD Slinker, AA Gorodetsky, MS Lowry, J Wang, S Parker, R Rohl, ...","Journal of the american chemical society 126 (9), 2763-2767",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9569660797614378326,604,2004
Electrical characteristics and efficiency of single-layer organic light-emitting diodes,"GG Malliaras, JR Salem, PJ Brock, C Scott","Physical Review B 58 (20), R13411",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6776171726767102130,549,1998
Semiconducting polymers,"G Hadziioannou, P Van Hutten",Wiley VCH,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11568085275075779410,533,2000
Charge injection and recombination at the metal–organic interface,"JC Scott, GG Malliaras","Chemical physics letters 299 (2), 115-119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=690015612375724748,532,1999
Temperature-and field-dependent electron and hole mobilities in polymer light-emitting diodes,"L Bozano, SA Carter, JC Scott, GG Malliaras, PJ Brock","Applied Physics Letters 74 (8), 1132-1134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8706517271741919034,486,1999
In vivo recordings of brain activity using organic transistors,"D Khodagholy, T Doublet, P Quilichini, M Gurfinkel, P Leleux, A Ghestem, ...","Nature communications 4, 1575",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15456871129527138705,479,2013
Chemical and biological sensors based on organic thin-film transistors,"JT Mabeck, GG Malliaras","Analytical and bioanalytical chemistry 384 (2), 343-353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14431800394125163471,476,2006
The rise of plastic bioelectronics,"T Someya, Z Bao, GG Malliaras","Nature 540 (7633), 379-385",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11744552179776453606,447,2016
Humidity sensors based on pentacene thin-film transistors,"ZT Zhu, JT Mason, R Dieckmann, GG Malliaras","Applied Physics Letters 81 (24), 4643-4645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15041965453719394620,444,2002
An organic electronics primer,"G Malliaras, R Friend","Physics Today 58, 53-58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8139972955019369051,438,2005
PbSe Nanocrystal Excitonic Solar Cells,"JJ Choi, YF Lim, MEB Santiago-Berrios, M Oh, BR Hyun, L Sun, ...","Nano Letters 9 (11), 3749-3755",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8090788581795140216,421,2009
The rise of organic bioelectronics,"J Rivnay, RM Owens, GG Malliaras","Chemistry of Materials 26 (1), 679-685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14618450793848621348,370,2013
Bright infrared quantum-dot light-emitting diodes through inter-dot spacing control,"L Sun, JJ Choi, D Stachnik, AC Bartnik, BR Hyun, GG Malliaras, T Hanrath, ...","Nature nanotechnology 7 (6), 369",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8706236542381418550,363,2012
Photovoltaics from soluble small molecules,"MT Lloyd, JE Anthony, GG Malliaras","Materials Today 10 (11), 34-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15728540946746007317,356,2007
Electroluminescent devices from ionic transition metal complexes,"JD Slinker, J Rivnay, JS Moskowitz, JB Parker, S Bernhard, HD Abruña, ...","Journal of Materials Chemistry 17 (29), 2976-2988",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11284598624451708017,352,2007
NeuroGrid: recording action potentials from the surface of the brain,"D Khodagholy, JN Gelinas, T Thesen, W Doyle, O Devinsky, GG Malliaras, ...","Nature neuroscience 18 (2), 310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8563410488033656194,349,2015
High transconductance organic electrochemical transistors,"D Khodagholy, J Rivnay, M Sessolo, M Gurfinkel, P Leleux, LH Jimison, ...","Nature communications 4, 2133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17274104313857087320,348,2013
Thickness Dependence of Mobility in Pentacene Thin‐Film Transistors,"R Ruiz, A Papadimitratos, AC Mayer, GG Malliaras","Advanced Materials 17 (14), 1795-1798",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17700736713619652165,345,2005
Steady‐state and transient behavior of organic electrochemical transistors,"DA Bernards, GG Malliaras","Advanced Functional Materials 17 (17), 3538-3544",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13264619546365969383,338,2007
How to make ohmic contacts to organic semiconductors,"Y Shen, AR Hosseini, MH Wong, GG Malliaras","ChemPhysChem 5 (1), 16-25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11250282484957160195,331,2004
Synthesis and characterization of electron-deficient pentacenes,"CR Swartz, SR Parkin, JE Bullock, JE Anthony, AC Mayer, GG Malliaras","Organic letters 7 (15), 3163-3166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14283566304024861260,324,2005
The roles of injection and mobility in organic light emitting diodes,"GG Malliaras, JC Scott","Journal of applied physics 83 (10), 5399-5403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=699985723694463497,321,1998
Solid-state electroluminescent devices based on transition metal complexes,"J Slinker, D Bernards, PL Houston, HD Abruña, S Bernhard, GG Malliaras","Chemical Communications, 2392-2399",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13415736755184025918,290,2003
Photovoltaic measurement of the built-in potential in organic light emitting diodes and photodiodes,"GG Malliaras, JR Salem, PJ Brock, JC Scott","Journal of Applied Physics 84 (3), 1583-1587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1879597025562698195,270,1998
Direct measurement of the electric-field distribution in a light-emitting electrochemical cell,"JD Slinker, JA DeFranco, MJ Jaquith, WR Silveira, YW Zhong, ...","Nature materials 6 (11), 894",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2944744702907463008,267,2007
"Improved hydrophilicity, permeability, antifouling and mechanical performance of PVDF composite ultrafiltration membranes tailored by oxidized low-dimensional carbon nanomaterials","J Zhang, Z Xu, W Mai, C Min, B Zhou, M Shan, Y Li, C Yang, Z Wang, ...","Journal of Materials Chemistry A 1 (9), 3101-3111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1748474367039911285,263,2013
