Title,Authors,Platform,Cited_url,Cited_count,Year
British Society of Gastroenterology guidelines on the diagnosis and management of Barrett's oesophagus,"RC Fitzgerald, M di Pietro, K Ragunath, Y Ang, JY Kang, P Watson, ...","Gut 63 (1), 7-42","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8303554189810409009,5676495711962397876",834,2014
Hereditary diffuse gastric cancer: updated consensus guidelines for clinical management and directions for future research,"RC Fitzgerald, R Hardwick, D Huntsman, F Carneiro, P Guilford, V Blair, ...","Journal of medical genetics 47 (7), 436-444",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11020925443911419155,618,2010
Differentiation and proliferation in Barrett's esophagus and the effects of acid suppression,"R Ouatu–Lascar, RC Fitzgerald, G Triadafilopoulos","Gastroenterology 117 (2), 327-335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5837284034849891568,434,1999
Toward understanding and exploiting tumor heterogeneity,"AA Alizadeh, V Aranda, A Bardelli, C Blanpain, C Bock, C Borowski, ...","Nature medicine 21 (8), 846",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12748584029464635920,375,2015
Dynamic effects of acid on Barrett's esophagus. An ex vivo proliferation and differentiation model.,"RC Fitzgerald, MB Omary, G Triadafilopoulos","The Journal of clinical investigation 98 (9), 2120-2128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3665305730356948332,360,1996
Hereditary diffuse gastric cancer: updated clinical guidelines with an emphasis on germline CDH1 mutation carriers,"RS van der Post, IP Vogelaar, F Carneiro, P Guilford, D Huntsman, ...","Journal of medical genetics 52 (6), 361-374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7029111412465711823,282,2015
Diversity in the oesophageal phenotypic response to gastro-oesophageal reflux: immunological determinants,"RC Fitzgerald, BA Onwuegbusi, M Bajaj-Elliott, IT Saeed, WR Burnham, ...","Gut 50 (4), 451-459",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16969759974913849896,273,2002
Acceptability and accuracy of a non-endoscopic screening test for Barrett’s oesophagus in primary care: cohort study,"SR Kadri, P Lao-Sirieix, M O’Donovan, I Debiram, M Das, JM Blazeby, ...","Bmj 341, c4372",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13227554334542126741,269,2010
Ordering of mutations in preinvasive disease stages of esophageal carcinogenesis,"JMJ Weaver, CS Ross-Innes, N Shannon, AG Lynch, T Forshew, ...","Nature genetics 46 (8), 837",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10850118794436257288,228,2014
Mechanisms and sequelae of E‐cadherin silencing in hereditary diffuse gastric cancer,"M Barber, A Murrell, Y Ito, AT Maia, S Hyland, C Oliveira, V Save, ...",The Journal of Pathology: A Journal of the Pathological Society of Great …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4273478731756017824,219,2008
