Title,Authors,Platform,Cited_url,Cited_count,Year
An Introduction to the Psychology of Hearing,B Moore,Brill,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10916643065968008539,5590,2012
Derivation of auditory filter shapes from notched-noise data,"BR Glasberg, BCJ Moore","Hearing research 47 (1-2), 103-138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9713058972535509045,2675,1990
Suggested formulae for calculating auditory‐filter bandwidths and excitation patterns,"BCJ Moore, BR Glasberg","The journal of the acoustical society of America 74 (3), 750-753",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6565026039042584443,1094,1983
"A model for the prediction of thresholds, loudness, and partial loudness","BCJ Moore, BR Glasberg, T Baer","Journal of the Audio Engineering Society 45 (4), 224-240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10879172991538096302,1042,1997
"Cochlear hearing loss: physiological, psychological and technical issues",BCJ Moore,John Wiley & Sons,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3033717067691725058,9515361936789956673,17395922710745598227",735,2007
A model of loudness applicable to time-varying sounds,"BR Glasberg, BCJ Moore","Journal of the Audio Engineering Society 50 (5), 331-342",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18162842145376087440,577,2002
Speech perception problems of the hearing impaired reflect inability to use temporal fine structure,"C Lorenzi, G Gilbert, H Carn, S Garnier, BCJ Moore","Proceedings of the National Academy of Sciences 103 (49), 18866-18869",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17983715424483521084,484,2006
A test for the diagnosis of dead regions in the cochlea,"BCJ Moore, M Huss, DA Vickers, BR Glasberg, JI Alcántara","British journal of audiology 34 (4), 205-224",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1518245655371141822,469,2000
A revision of Zwicker's loudness model,"BCJ Moore, BR Glasberg","Acta Acustica united with Acustica 82 (2), 335-345",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1159555899273530684,447,1996
Auditory filter shapes in subjects with unilateral and bilateral cochlear impairments,"BR Glasberg, BCJ Moore","The Journal of the Acoustical Society of America 79 (4), 1020-1033",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14388166721076049889,433,1986
Frequency difference limens for short‐duration tones,BCJ Moore,"The Journal of the Acoustical Society of America 54 (3), 610-619",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13957737592308010934,427,1973
"Formulae describing frequency selectivity as a function of frequency and level, and their use in calculating excitation patterns","BCJ Moore, BR Glasberg","Hearing research 28 (2-3), 209-225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5145702417299362030,342,1987
Perceptual consequences of cochlear damage.,BCJ Moore,Oxford University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4497559027125600317,328,1995
"The role of temporal fine structure processing in pitch perception, masking, and speech perception for normal-hearing and hearing-impaired people",BCJ Moore,"Journal of the Association for Research in Otolaryngology 9 (4), 399-406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6140162971570377474,323,2008
Factors influencing sequential stream segregation,"BCJ Moore, H Gockel","Acta Acustica United with Acustica 88 (3), 320-333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10623329786462106991,319,2002
Speech reception thresholds in noise with and without spectral and temporal dips for hearing-impaired and normally hearing people,"RW Peters, BCJ Moore, T Baer","The Journal of the Acoustical Society of America 103 (1), 577-587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2470775022388507914,316,1998
"Dead regions in the cochlea: Diagnosis, perceptual consequences, and implications for the fitting of hearing aids",BCJ Moore,"Trends in amplification 5 (1), 1-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=86812579284318266,302,2001
Hearing,BCJ Moore,Academic Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6843928143709532103,9406987676216286640",286,1995
A model of loudness perception applied to cochlear hearing loss,"BCJ Moore, BR Glasberg","Auditory neuroscience 3 (3), 289-311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14042632941428802797,282,1997
Perceptual consequences of cochlear hearing loss and their implications for the design of hearing aids,BCJ Moore,"Ear and hearing 17 (2), 133-161",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6665893823514482813,281,1996
"Dead regions in the cochlea: conceptual foundations, diagnosis, and clinical applications",BCJ Moore,"Ear and hearing 25 (2), 98-116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3717336420058237547,278,2004
The shape of the ear’s temporal window,"BCJ Moore, BR Glasberg, CJ Plack, AK Biswas","The Journal of the Acoustical Society of America 83 (3), 1102-1116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17459851765297442564,270,1988
Speech‐in‐noise perception in high‐functioning individuals with autism or Asperger's syndrome,"JI Alcántara, EJL Weisblatt, BCJ Moore, PF Bolton","Journal of Child Psychology and Psychiatry 45 (6), 1107-1114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9936014906675452476,260,2004
Effects of low-pass filtering on the intelligibility of speech in quiet for people with and without dead regions at high frequencies,"DA Vickers, BCJ Moore, T Baer","The Journal of the Acoustical Society of America 110 (2), 1164-1175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9636509985635496529,260,2001
Relative dominance of individual partials in determining the pitch of complex tones,"BCJ Moore, BR Glasberg, RW Peters","The Journal of the Acoustical Society of America 77 (5), 1853-1860",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13716981870338284798,255,1985
Age-group differences in speech identification despite matched audiometrically normal hearing: contributions from auditory temporal processing and cognition,"C Füllgrabe, BCJ Moore, MA Stone","Frontiers in Aging Neuroscience 6, 347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4984402141767611157,253,2015
Thresholds for hearing mistuned partials as separate tones in harmonic complexes,"BCJ Moore, BR Glasberg, RW Peters","The Journal of the Acoustical Society of America 80 (2), 479-483",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15868306442989834250,252,1986
Effects of low pass filtering on the intelligibility of speech in noise for people with and without dead regions at high frequencies,"T Baer, BCJ Moore, K Kluk","The Journal of the Acoustical Society of America 112 (3), 1133-1144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18312135201761411108,240,2002
"Frequency discrimination as a function of frequency, measured in several ways","A Sek, BCJ Moore","The Journal of the Acoustical Society of America 97 (4), 2479-2486",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8855892867776830662,230,1995
Psychophysical tuning curves measured in simultaneous and forward masking,BCJ Moore,"The Journal of the Acoustical Society of America 63 (2), 524-532",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6149032426296216228,230,1978
Psychoacoustic abilities of subjects with unilateral and bilateral cochlear hearing impairments and their relationship to the ability to understand speech.,"BR Glasberg, BC Moore",Scandinavian Audiology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9356309168818710168,227,1988
Effects of spectral smearing on the intelligibility of sentences in noise,"T Baer, BCJ Moore","The Journal of the Acoustical Society of America 94 (3), 1229-1241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2091172367362473955,223,1993
Modeling the additivity of nonsimultaneous masking,"AJ Oxenham, BCJ Moore","Hearing research 80 (1), 105-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14493665339029386929,216,1994
"Gap detection as a function of frequency, bandwidth, and level","MJ Shailer, BCJ Moore","The Journal of the Acoustical Society of America 74 (2), 467-473",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8641102308417101834,211,1983
A revised model of loudness perception applied to cochlear hearing loss,"BCJ Moore, BR Glasberg","Hearing research 188 (1-2), 70-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15626093209762999494,204,2004
"The effects of age and cochlear hearing loss on temporal fine structure sensitivity, frequency selectivity, and speech reception in noise","K Hopkins, BCJ Moore","The Journal of the Acoustical Society of America 130 (1), 334-349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7942236304787594053,200,2011
Temporal window shape as a function of frequency and level,"CJ Plack, BCJ Moore","The Journal of the Acoustical Society of America 87 (5), 2178-2187","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1618579891150687260,10366736500644037028",198,1990
New version of the TEN test with calibrations in dB HL,"BCJ Moore, BR Glasberg, MA Stone","Ear and hearing 25 (5), 478-487",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=467835772733290157,193,2004
Coding of sounds in the auditory system and its relevance to signal processing and coding in cochlear implants,BCJ Moore,"Otology & neurotology 24 (2), 243-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4424184601715417110,191,2003
Pitch discrimination and phase sensitivity in young and elderly subjects and its relationship to frequency selectivity,"BCJ Moore, RW Peters","The Journal of the Acoustical Society of America 91 (5), 2881-2893",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=369182730940632566,187,1992
The use of psychophysical tuning curves to explore dead regions in the cochlea,"BCJ Moore, JI Alcántara","Ear and hearing 22 (4), 268-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3310169848972082210,185,2001
Gap detection and masking in hearing‐impaired and normal‐hearing subjects,"BR Glasberg, BCJ Moore, SP Bacon","The Journal of the Acoustical Society of America 81 (5), 1546-1556",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6661189161507683819,185,1987
Hearing: its physiology and pathophysiology,AR Moller,Academic Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15320951473248397716,8473803762856204904",184,2000
Auditory filter shapes at low center frequencies,"BCJ Moore, RW Peters, BR Glasberg","The Journal of the Acoustical Society of America 88 (1), 132-140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17168237020875322861,184,1990
"Spectral contrast enhancement of speech in noise for listeners with sensorineural hearing impairment: Effects on intelligibility, quality, and response times","T Baer, BCJ Moore, S Gatehouse","Journal of rehabilitation research and development 30, 49-49",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11787495506521243634,182,1993
Effects of moderate cochlear hearing loss on the ability to benefit from temporal fine structure information in speech,"K Hopkins, BCJ Moore, MA Stone","The Journal of the Acoustical Society of America 123 (2), 1140-1153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8985310613797806559,181,2008
Frequency selectivity as a function of level and frequency measured with uniformly exciting notched noise,"BR Glasberg, BCJ Moore","The Journal of the Acoustical Society of America 108 (5), 2318-2328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12417896911298699406,176,2000
