Title,Authors,Platform,Cited_url,Cited_count,Year
Functional parallelism in spoken word-recognition,WD Marslen-Wilson,"Cognition 25 (1-2), 71-102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7348273037777619122,2001,1987
The temporal structure of spoken language understanding,"W Marslen-Wilson, LK Tyler","Cognition 8 (1), 1-71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2715778466229120081,1686,1980
Processing interactions and lexical access during word recognition in continuous speech,"WD Marslen-Wilson, A Welsh","Cognitive psychology 10 (1), 29-63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12189409066150861774,1685,1978
Morphology and meaning in the English mental lexicon.,"W Marslen-Wilson, LK Tyler, R Waksler, L Older","Psychological review 101 (1), 3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=895706104616530185,1057,1994
Sentence perception as an interactive parallel process,WD Marslen-Wilson,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16234532165972761550,689,1975
Integrating form and meaning: A distributed model of speech perception,"MG Gaskell, WD Marslen-Wilson","Language and cognitive Processes 12 (5-6), 613-656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17822219137726593833,599,1997
Linguistic structure and speech shadowing at very short latencies,W Marslen-Wilson,"Nature 244 (5417), 522-523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13940825091148404086,594,1973
Morphological and semantic effects in visual word recognition: A time-course study,"K Rastle, MH Davis, WD Marslen-Wilson, LK Tyler","Language and cognitive processes 15 (4-5), 507-537",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17735438206420555701,522,2000
Accessing spoken words: The importance of word onsets.,"W Marslen-Wilson, P Zwitserlood","Journal of Experimental Psychology: Human perception and performance 15 (3), 576",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7171671482355346000,509,1989
The mental representation of lexical form: A phonological approach to the recognition lexicon,"A Lahiri, W Marslen-Wilson","Cognition 38 (3), 245-294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14254296253993584998,495,1991
The time course of visual word recognition as revealed by linear regression analysis of ERP data,"O Hauk, MH Davis, M Ford, F Pulvermüller, WD Marslen-Wilson","Neuroimage 30 (4), 1383-1400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11158361492526810455,492,2006
"Activation, competition, and frequency in lexical access.",W Marslen-Wilson,The MIT Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17671573909251341241,465,1990
Function and process in spoken word recognition-A tutorial review,W Marslen-Wilson,"Attention and performance 10, 125-150","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6833379239498771796,13779278006878734183",462,1984
Making sense of semantic ambiguity: Semantic competition in lexical access,"J Rodd, G Gaskell, W Marslen-Wilson","Journal of Memory and Language 46 (2), 245-266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8719463293548667297,453,2002
"Levels of perceptual representation and process in lexical access: words, phonemes, and features.","W Marslen-Wilson, P Warren","Psychological review 101 (4), 653",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5306110006553079234,453,1994
Accessing different types of lexical semantic information: Evidence from priming.,"HE Moss, RK Ostrin, LK Tyler, WD Marslen-Wilson","Journal of Experimental Psychology: Learning, memory, and cognition 21 (4), 863",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1401836821062150399,384,1995
The on-line effects of semantic context on syntactic processing,"LK Tyler, WD Marslen-Wilson","Journal of Verbal Learning and Verbal Behavior 16 (6), 683-692",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=486462929303982580,372,1977
Memory for remote events in anterograde amnesia: recognition of public figures from newsphotographs,"WD Marslen-Wilson, HL Teuber","Neuropsychologia 13 (3), 353-364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7312670872468680936,340,1975
Producing interpretable discourse: The establishment and maintenance of reference,"W Marslen-Wilson, E Levy, LK Tyler","Speech, place, and action, 339-378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9872130627512457745,338,1982
Phonological variation and inference in lexical access.,"MG Gaskell, WD Marslen-Wilson","Journal of Experimental Psychology: Human perception and performance 22 (1), 144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8346517683801277485,333,1996
A toolbox for representational similarity analysis,"H Nili, C Wingfield, A Walther, L Su, W Marslen-Wilson, N Kriegeskorte","PLoS computational biology 10 (4), e1003553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12521175161672456456,325,2014
Access and integration: Projecting sound onto meaning.,W Marslen-Wilson,The MIT Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4770382174729747268,317,1989
Dissociating types of mental computation,"WD Marslen-Wilson, LK Tyler","Nature 387 (6633), 592",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14939302990335252452,299,1997
Against modularity,"W Marslen-Wilson, LK Tyler","Modularity in knowledge representation and natural language understanding, 37-62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17417881387993239587,298,1987
"Rules, representations, and the English past tense","W Marslen-Wilson, LK Tyler","Trends in cognitive sciences 2 (11), 428-435",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12926547945983698947,262,1998
Crossed and nested dependencies in German and Dutch: A psycholinguistic study,"E Bach, C Brown, W Marslen-Wilson","Language and Cognitive Processes 1 (4), 249-262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18427752799095055240,249,1986
Leading up the lexical garden path: Segmentation and ambiguity in spoken word recognition.,"MH Davis, WD Marslen-Wilson, MG Gaskell","Journal of Experimental Psychology: Human Perception and Performance 28 (1), 218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2789994496460440365,243,2002
