Title,Authors,Platform,Cited_url,Cited_count,Year
ESRT: event-to-sink reliable transport in wireless sensor networks,"Y Sankarasubramaniam, ÖB Akan, IF Akyildiz",Proceedings of the 4th ACM international symposium on Mobile ad hoc …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14355082284372854740,1044,2003
Handbook of sensor networks: compact wireless and wired sensing systems,"M Ilyas, I Mahgoub",CRC press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6626988582839782822,935,2004
Spatio-temporal correlation: theory and applications for wireless sensor networks,"MC Vuran, ÖB Akan, IF Akyildiz","Computer Networks 45 (3), 245-259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2647996333078683795,731,2004
Cognitive radio sensor networks,"OB Akan, OB Karli, O Ergul","IEEE network 23 (4), 34-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8668556997985583128,612,2009
Event-to-sink reliable transport in wireless sensor networks,"ÖB Akan, IF Akyildiz","IEEE/ACM Transactions on Networking (TON) 13 (5), 1003-1016",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4200035333937877722,595,2005
A survey on bio-inspired networking,"F Dressler, OB Akan","Computer Networks 54 (6), 881-900",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13755559953515497263,344,2010
Turning shortcomings into challenges: Brain–computer interfaces for games,"A Nijholt, DPO Bos, B Reuderink","Entertainment computing 1 (2), 85-94","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12736460851379286544,14434188185695471346",329,2009
InterPlaNetary Internet: state-of-the-art and research challenges,"IF Akyildiz, ÖB Akan, C Chen, J Fang, W Su","Computer Networks 43 (2), 75-112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3055643824312868975,309,2003
A cross-layer protocol for wireless sensor networks,"IF Akyildiz, MC Vuran, OB Akan","2006 40th Annual Conference on Information Sciences and Systems, 1102-1107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8436631919211635427,234,2006
Multimedia communication in wireless sensor networks,"E Gürses, ÖB Akan","Annales des Télécommunications 60 (7-8), 872-900",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2508321423683965411,218,2005
A real-time and reliable transport (RT) 2 protocol for wireless sensor and actor networks,"VC Gungor, ÖB Akan, IF Akyildiz","IEEE/ACM Transactions on Networking (ToN) 16 (2), 359-370",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17518011097532711242,202,2008
