Title,Authors,Platform,Cited_url,Cited_count,Year
The evolution of parental care,TH Clutton-Brock,Princeton University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12626955200246500,4363,1991
Red deer: behavior and ecology of two sexes,"TH Clutton-Brock, FE Guinness, SD Albon",University of Chicago press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17797517093903344874,3540,1982
Reproductive success: studies of individual variation in contrasting breeding systems,TH Clutton-Brock,University of Chicago Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18356212004812673592,12411901192640539412,5613202108053813106,2226370665422300361,15063021019624350856,4958285052821455929,5716475082907935644",2136,1988
Developmental plasticity and human health,"P Bateson, D Barker, T Clutton-Brock, D Deb, B D'Udine, RA Foley, ...","Nature 430 (6998), 419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12911113402354173854,1598,2004
Inverse density dependence and the Allee effect,"F Courchamp, T Clutton-Brock, B Grenfell","Trends in ecology & evolution 14 (10), 405-410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16674364364463182523,1563,1999
Review lecture: mammalian mating systems,TH Clutton-Brock,Proceedings of the Royal Society of London. B. Biological Sciences 236 (1285 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4152089503366510503,1499,1989
Primate ecology and social organization,"TH Clutton‐Brock, PH Harvey","Journal of Zoology 183 (1), 1-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15110690729806682194,1267,1977
Punishment in animal societies,"TH Clutton-Brock, GA Parker","Nature 373 (6511), 209",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6941617129191992190,1046,1995
Breeding together: kin selection and mutualism in cooperative vertebrates,T Clutton-Brock,"Science 296 (5565), 69-72",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12301234468769592257,892,2002
The roaring of red deer and the evolution of honest advertisement,"TH Clutton-Brock, SD Albon","Behaviour 69 (3-4), 145-170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=977814400792623630,883,1979
"Age, sex, density, winter weather, and population crashes in Soay sheep","T Coulson, EA Catchpole, SD Albon, BJT Morgan, JM Pemberton, ...","Science 292 (5521), 1528-1531",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=803289209411756736,843,2001
Sexual selection and the potential reproductive rates of males and females,"TH Glutton-Brock, ACJ Vincent","Nature 351 (6321), 58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8999983018422203153,821,1991
Life history variation in primates,"PH Harvey, TH Clutton‐Brock","Evolution 39 (3), 559-581",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15809116464642555479,814,1985
The logical stag: adaptive aspects of fighting in red deer (Cervus elaphus L.),"TH Clutton-Brock, SD Albon, RM Gibson, FE Guinness","Animal behaviour 27, 211-225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12377279385391969958,786,1979
Potential reproductive rates and the operation of sexual selection,"TH Clutton-Brock, GA Parker","The Quarterly Review of Biology 67 (4), 437-456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14857209016598205852,782,1992
Reproductive effort and terminal investment in iteroparous animals,TH Clutton-Brock,"The American Naturalist 123 (2), 212-229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16105802978098698222,768,1984
Sexual selection in males and females,T Clutton-Brock,"Science 318 (5858), 1882-1885",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15371211071146564822,715,2007
Sexual coercion in animal societies,"TH Clutton-Brock, GA Parker","Animal Behaviour 49 (5), 1345-1365",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15701749334883834313,702,1995
Cooperation between non-kin in animal societies,T Clutton-Brock,"Nature 462 (7269), 51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1747773912675785492,673,2009
Sex ratio variation in mammals,"TH Clutton-Brock, GR Iason","The Quarterly Review of Biology 61 (3), 339-374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10352372434554292009,662,1986
"Trophic level asynchrony in rates of phenological change for marine, freshwater and terrestrial environments","SJ Thackeray, TH Sparks, M Frederiksen, S Burthe, PJ Bacon, JR Bell, ...","Global Change Biology 16 (12), 3304-3313",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3826897343110607952,639,2010
