Title,Authors,Platform,Cited_url,Cited_count,Year
The neurobiology of an insect brain,M Burrows,Oxford University Press on Demand,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14156731765209810596,669,1996
Serotonin mediates behavioral gregarization underlying swarm formation in desert locusts,"ML Anstey, SM Rogers, SR Ott, M Burrows, SJ Simpson","science 323 (5914), 627-630",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11369417432930485246,344,2009
Monosynaptic connexions between wing stretch receptors and flight motoneurones of the locust,M Burrows,"Journal of Experimental Biology 62 (1), 189-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2167453631021730703,302,1975
Neural mechanisms underlying behavior in the locust ,"G Hoyle, M Burrows","Journal of neurobiology 4 (1), 3-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7743873130316109343,234,1973
The control of sets of motoneurones by local interneurones in the locust.,M Burrows,"The Journal of physiology 298 (1), 213-233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8245631370561196511,216,1980
The locust jump. I. The motor programme,"WJ Heitler, M Burrows","Journal of Experimental Biology 66 (1), 203-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1531163461882831360,205,1977
Graded synaptic transmission between local interneurones and motor neurones in the metathoracic ganglion of the locust.,"M Burrows, MV Siegler","The Journal of physiology 285 (1), 231-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2211638305022211227,188,1978
Biomechanics: froghopper insects leap to new heights,M Burrows,"Nature 424 (6948), 509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1432889734886298297,180,2003
Neural mechanisms underlying behavior in the locust ,"M Burrows, G Hoyle","Journal of neurobiology 4 (2), 167-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13050081304469300584,177,1973
Parallel processing of proprioceptive signals by spiking local interneurons and motor neurons in the locust,M Burrows,"Journal of Neuroscience 7 (4), 1064-1080",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8836776310352621266,153,1987
The locust jump. II. Neural circuits of the motor programme,"WJ Heitler, M Burrows","Journal of Experimental Biology 66 (1), 221-241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10803439050723511561,153,1977
Connections between descending visual interneurons and metathoracic motoneurons in the locust,"M Burrows, CHF Rowell","Journal of comparative physiology 85 (3), 221-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15941898214605604737,152,1973
Physiological and morphological properties of interneurones in the deutocerebrum of male cockroaches which respond to female pheromone,"M Burrows, J Boeckh, J Esslen","Journal of comparative physiology 145 (4), 447-457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15505034585095889717,136,1982
Mechanosensory-induced behavioural gregarization in the desert locust Schistocerca gregaria,"SM Rogers, T Matheson, E Despland, T Dodgson, M Burrows, ...","Journal of Experimental Biology 206 (22), 3991-4002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14123130373240191306,132,2003
Resilin and chitinous cuticle form a composite structure for energy storage in jumping by froghopper insects,"M Burrows, SR Shaw, GP Sutton","BMC biology 6 (1), 41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12409122242076676411,118,2008
