Title,Authors,Platform,Cited_url,Cited_count,Year
Effectiveness of interventions to promote physical activity in children and adolescents: systematic review of controlled trials,"EMF Van Sluijs, A McMinn, SJ Griffin","British Medical Journal 335 (7622), 703",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12202188808098813920,1231,2007
Effect of school-based interventions on physical activity and fitness in children and adolescents: a review of reviews and systematic update,"S Kriemler, U Meyer, E Martin, EMF van Sluijs, LB Andersen, BW Martin","British journal of sports medicine 45 (11), 923-930",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14878629939092638191,635,2011
Physical activity and obesity prevention: a review of the current evidence,"NJ Wareham, EMF van Sluijs, U Ekelund","Proceedings of the Nutrition Society 64 (2), 229-247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17651204854171029559,452,2005
Environmental determinants of active travel in youth: a review and framework for future research,"JR Panter, AP Jones, EMF Van Sluijs","International Journal of Behavioral Nutrition and Physical Activity 5, 34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5918251709864109369,404,2008
Determinants of change in physical activity in children and adolescents: a systematic review,"C Craggs, K Corder, EMF Van Sluijs, SJ Griffin","American journal of preventive medicine 40 (6), 645-658",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18064434210434696765,396,2011
Objectively measured physical activity and sedentary time in youth: the International children’s accelerometry database (ICAD),"AR Cooper, A Goodman, AS Page, LB Sherar, DW Esliger, ...","International journal of behavioral nutrition and physical activity 12 (1), 113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9773514366903739399,321,2015
Targeting sedentary time or moderate-and vigorous-intensity activity: independent relations with adiposity in a population-based sample of 10-y-old British children,"RM Steele, EMF Van Sluijs, A Cassidy, SJ Griffin, U Ekelund","The American journal of clinical nutrition 90 (5), 1185-1192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6847256217565663747,269,2009
"Attitudes, social support and environmental perceptions as predictors of active commuting behaviour in school children","JR Panter, AP Jones, EMF Van Sluijs, SJ Griffin","Journal of Epidemiology & Community Health 64 (01), 41-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2399865622696181187,252,2010
Associations between sedentary behaviour and physical activity in children and adolescents: a meta‐analysis,"N Pearson, RE Braithwaite, SJH Biddle, EMF van Sluijs, AJ Atkin","Obesity reviews 15 (8), 666-675",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15417292960071475196,227,2014
Is it possible to assess free-living physical activity and energy expenditure in young people by self-report?,"K Corder, EMF van Sluijs, A Wright, P Whincup, NJ Wareham, U Ekelund","The American journal of clinical nutrition 89 (3), 862-870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13692800527547894326,216,2009
"Neighborhood, route, and school environments and children's active commuting","JR Panter, AP Jones, EMF Van Sluijs, SJ Griffin","American journal of preventive medicine 38 (3), 268-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13403096432574396674,197,2010
Stage-based lifestyle interventions in primary care: are they effective?,"EMF van Sluijs, MNM van Poppel, W van Mechelen","American journal of preventive medicine 26 (4), 330-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2235101353235237193,191,2004
"Physical activity and dietary behaviour in a population-based sample of British 10-year old children: the SPEEDY study (Sport, Physical activity and Eating behaviour …","EMF van Sluijs, PML Skidmore, K Mwanza, AP Jones, AM Callaghan, ...","BMC public health 8 (1), 388",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5515166335613426361,190,2008
A childhood obesity intervention developed by families for families: results from a pilot study,"KK Davison, JM Jurkowski, K Li, S Kranz, HA Lawson","International Journal of Behavioral Nutrition and Physical Activity 10 (1), 3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=866542377359366173,184,2013
The contribution of active travel to children's physical activity levels: cross-sectional results from the ALSPAC study,"EMF van Sluijs, VA Fearne, C Mattocks, C Riddoch, SJ Griffin, A Ness","Preventive medicine 48 (6), 519-524",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17618142817407479277,165,2009
Environmental supportiveness for physical activity in English schoolchildren: a study using Global Positioning Systems,"AP Jones, EG Coombes, SJ Griffin, EMF Van Sluijs","International Journal of Behavioral Nutrition and Physical Activity 6, 42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16353093912646885663,158,2009
Physical activity measurements affected participants' behavior in a randomized controlled trial,"EMF van Sluijs, MNM van Poppel, JWR Twisk, W van Mechelen","Journal of clinical epidemiology 59 (4), 404-411",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8740916856006752316,151,2006
Change in objectively measured physical activity during the transition to adolescence,"K Corder, SJ Sharp, AJ Atkin, SJ Griffin, AP Jones, U Ekelund, ...","Br J Sports Med 49 (11), 730-736",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9083634020893600502,140,2015
Physical activity and transitioning to retirement: a systematic review,"I Barnett, EMF van Sluijs, D Ogilvie","American journal of preventive medicine 43 (3), 329-336","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=95214389838604439,15673286013309601351,7690211033888413834",134,2012
