Title,Authors,Platform,Cited_url,Cited_count,Year
Neutrophil kinetics in health and disease,"C Summers, SM Rankin, AM Condliffe, N Singh, AM Peters, ER Chilvers","Trends in immunology 31 (8), 318-324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1746487025256338661,783,2010
Extracellular matrix proteins protect small cell lung cancer cells against apoptosis: a mechanism for small cell lung cancer growth and drug resistance in vivo,"T Sethi, RC Rintoul, SM Moore, AC MacKinnon, D Salter, C Choo, ...","Nature medicine 5 (6), 662-668",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15675812077883464631,756,1999
Hypoxia-induced neutrophil survival is mediated by HIF-1α–dependent NF-κB activity,"SR Walmsley, N Farahi, C Peyssonnaux, RS Johnson, T Cramer, ...","Journal of Experimental Medicine 201 (1), 105-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=67352905818721333,586,2005
Withdrawal of inhaled glucocorticoids and exacerbations of COPD.,"et al Magnussen H, Disse B, Rodriguez-Roisin R","New England Journal of Medicine, 1285-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1311792460967758416,520,2014
PtdIns (3) P regulates the neutrophil oxidase complex by binding to the PX domain of p40phox,"CD Ellson, S Gobert-Gosse, KE Anderson, K Davidson, ...","Nature Cell Biology 3 (7), 679-682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1674261990253800460,410,2001
NF-κB activation is a critical regulator of human granulocyte apoptosis in vitro,"C Ward, ER Chilvers, MF Lawson, JG Pryde, S Fujihara, SN Farrow, ...","Journal of Biological Chemistry 274 (7), 4309-4318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2672271983651787219,402,1999
NF-B activation is a critical regulator of human granulocyte apoptosis in vitro.,"RAG Ward C, Chilvers ER, Lawson MF, Pryde JG, Fujihara S, Farrow SN, Haslett C","Journal of Biological Chemistry, 4309-4318",,402,1999
Davidson’s Principles and Practice of Medicine.,"CER Edwards CRW, Bouchier IAD, Haslett C","Churchill-Livingstone, Edinburgh 1, 1-1203","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17947194840092814663,16979337522985999082,5728675926340450537",394,1995
Neutrophil priming: pathophysiological consequences and underlying mechanisms,"AM Condliffe, E Kitchen, ER Chilvers","Clinical Science 94 (5), 461-471",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=287936305389064762,390,1998
Phosphoinositide 3-kinase δ gene mutation predisposes to respiratory infection and airway damage,"I Angulo, O Vadas, F Garçon, E Banham-Hall, V Plagnol, TR Leahy, ...","Science 342 (6160), 866-871",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5648861995941978204,359,2013
Regulation of neutrophil apoptosis by tumor necrosis factor-α: requirement for TNFR55 and TNFR75 for induction of apoptosis in vitro,"J Murray, JAJ Barbara, SA Dunkley, AF Lopez, X Van Ostade, ...","Blood 90 (7), 2772-2783",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9880144452567207997,357,1997
Sequential activation of class IB and class IA PI3K is important for the primed respiratory burst of human but not murine neutrophils,"AM Condliffe, K Davidson, KE Anderson, CD Ellson, T Crabbe, ...","Blood 106 (4), 1432-1440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12213502669648338247,303,2005
Efficacy and tolerability of anti‐immunoglobulin E therapy with omalizumab in patients with poorly controlled (moderate‐to‐severe) allergic asthma,"JG Ayres, B Higgins, ER Chilvers, G Ayre, M Blogg, H Fox","Allergy 59 (7), 701-708",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12809659572200060924,289,2004
Hypoxia prolongs neutrophil survival in vitro,"S Hannah, K Mecklenburgh, I Rahman, GJ Bellingan, A Greening, ...","FEBS letters 372 (2-3), 233-237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7363517872282012590,227,1995
"Copy number of FCGR3B, which is associated with systemic lupus erythematosus, correlates with protein expression and immune complex uptake","LC Willcocks, PA Lyons, MR Clatworthy, JI Robinson, W Yang, ...","Journal of Experimental Medicine 205 (7), 1573-1582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6085227850150890792,222,2008
Pharmacological manipulation of granulocyte apoptosis: potential therapeutic targets,"C Ward, I Dransfield, ER Chilvers, C Haslett, AG Rossi","Trends in pharmacological sciences 20 (12), 503-509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4928085635182509155,197,1999
Non-infectious pulmonary complications of newer biological agents for rheumatic diseases—a systematic literature review,"AV Hadjinicolaou, MK Nisar, S Bhagat, H Parfrey, ER Chilvers, AJK Östör","Rheumatology, ker289","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16340871460250198032,11847038795711053171",194,2011
Acceleration of human neutrophil apoptosis by TRAIL,"SA Renshaw, JS Parmar, V Singleton, SJ Rowe, DH Dockrell, SK Dower, ...","The Journal of Immunology 170 (2), 1027-1033",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4224804840877159534,194,2003
Advances in neutrophil biology: clinical implications,"AS Cowburn, AM Condliffe, N Farahi, C Summers, ER Chilvers","CHEST Journal 134 (3), 606-612",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18055340021091161182,188,2008
The presence of a constitutively active phosphoinositide 3-kinase in small cell lung cancer cells mediates anchorage-independent proliferation via a protein kinase B and p70s6k …,"SM Moore, RC Rintoul, TR Walker, ER Chilvers, C Haslett, T Sethi","Cancer research 58 (22), 5239-5247","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15197602356063257119,17054344510980182294",181,1998
Phosphatidylinositol 3-phosphate is generated in phagosomal membranes,"CD Ellson, KE Anderson, G Morgan, ER Chilvers, P Lipp, LR Stephens, ...","Current Biology 11 (20), 1631-1635",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18399215366447923974,175,2001
Gβγs and the Ras binding domain of p110γ are both important regulators of PI3Kγ signalling in neutrophils,"S Suire, AM Condliffe, GJ Ferguson, CD Ellson, H Guillou, K Davidson, ...","Nature cell biology 8 (11), 1303-1309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10204741978002000778,168,2006
Regulation of macrophage phagocytosis of apoptotic cells by cAMP,"AG Rossi, JC McCutcheon, N Roy, ER Chilvers, C Haslett, I Dransfield","The journal of immunology 160 (7), 3562-3568",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6836409048149560612,161,1998
Polymers of α1-antitrypsin are chemotactic for human neutrophils: a new paradigm for the pathogenesis of emphysema,"JS Parmar, R Mahadeva, BJ Reed, N Farahi, KA Cadwallader, ...","American journal of respiratory cell and molecular biology 26 (6), 723-730",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11709138511093357842,157,2002
"Heterogeneity of [3H] inositol 1, 4, 5-trisphosphate binding sites in adrenal-cortical membranes. Characterization and validation of a radioreceptor assay","RAJ Challiss, ER Chilvers, AL Willcocks, SR Nahorski","Biochemical Journal 265 (2), 421-427",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12697059456194976356,156,1990
