Title,Authors,Platform,Cited_url,Cited_count,Year
The transcriptional landscape of the mammalian genome,"P Carninci, T Kasukawa, S Katayama, J Gough, MC Frith, N Maeda, ...","Science 309 (5740), 1559-1563","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=420085706143970225,12126860064786081570",3186,2005
The genome of the social amoeba ,"L Eichinger, JA Pachebat, G Glöckner, MA Rajandream, R Sucgang, ...","Nature 435 (7038), 43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1293760705319647385,1309,2005
Molecular signatures of G-protein-coupled receptors,"AJ Venkatakrishnan, X Deupi, G Lebon, CG Tate, GF Schertler, MM Babu","Nature 494 (7436), 185-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13673748188373380888,1095,2013
Genomic analysis of regulatory network dynamics reveals large topological changes,"NM Luscombe, MM Babu, H Yu, M Snyder, SA Teichmann, M Gerstein","Nature 431 (7006), 308",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14225476307105751225,1058,2004
Structure and evolution of transcriptional regulatory networks,"MM Babu, NM Luscombe, L Aravind, M Gerstein, SA Teichmann","Current opinion in structural biology 14 (3), 283-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6573913990125447888,837,2004
Classification of intrinsically disordered regions and proteins,"R Van Der Lee, M Buljan, B Lang, RJ Weatheritt, GW Daughdrill, ...","Chemical reviews 114 (13), 6589-6631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11630463606399875761,804,2014
Gene regulatory network growth by duplication,"SA Teichmann, MM Babu","Nature genetics 36 (5), 492",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10099806399909029249,546,2004
The many faces of the helix-turn-helix domain: transcription regulation and beyond,"L Aravind, V Anantharaman, S Balaji, MM Babu, LM Iyer","FEMS microbiology reviews 29 (2), 231-262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15950162551042570883,532,2005
Intrinsically disordered proteins: regulation and disease,"MM Babu, R van der Lee, NS de Groot, J Gsponer","Current opinion in structural biology 21 (3), 432-440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8746305129287766918,430,2011
Discovery of the principal specific transcription factors of Apicomplexa and their implication for the evolution of the AP2-integrase DNA binding domains,"S Balaji, MM Babu, LM Iyer, L Aravind","Nucleic acids research 33 (13), 3994-4006",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6781464207221224361,387,2005
Tight regulation of unstructured proteins: from transcript synthesis to protein degradation,"J Gsponer, ME Futschik, SA Teichmann, MM Babu","Science 322 (5906), 1365-1368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13782865589162848259,382,2008
"An expanded Oct4 interaction network: implications for stem cell biology, development, and disease","M Pardo, B Lang, L Yu, H Prosser, A Bradley, MM Babu, J Choudhary","Cell stem cell 6 (4), 382-395",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12856375367465737611,367,2010
Evolution of transcription factors and the gene regulatory network in              ,"M Madan Babu, SA Teichmann","Nucleic acids research 31 (4), 1234-1244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1658839982299452318,346,2003
Evolutionary dynamics of prokaryotic transcriptional regulatory networks,"MM Babu, SA Teichmann, L Aravind","Journal of molecular biology 358 (2), 614-633",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15246111266272115947,305,2006
Tissue-specific splicing of disordered segments that embed binding motifs rewires protein interaction networks,"M Buljan, G Chalancon, S Eustermann, GP Wagner, M Fuxreiter, ...","Molecular cell 46 (6), 871-883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17213715893913422085,288,2012
A database of bacterial lipoproteins (DOLOP) with functional assignments to predicted lipoproteins,"MM Babu, ML Priya, AT Selvan, M Madera, J Gough, L Aravind, ...","Journal of bacteriology 188 (8), 2761-2773",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1133613081464836136,271,2006
A million peptide motifs for the molecular biologist,"P Tompa, NE Davey, TJ Gibson, MM Babu","Molecular cell 55 (2), 161-169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10094282560932874601,249,2014
Comprehensive analysis of combinatorial regulation using the transcriptional regulatory network of yeast,"S Balaji, MM Babu, LM Iyer, NM Luscombe, L Aravind","Journal of molecular biology 360 (1), 213-227",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17004916858371694064,243,2006
