Title,Authors,Platform,Cited_url,Cited_count,Year
"Local supermassive black holes, relics of active galactic nuclei and the X-ray background","A Marconi, G Risaliti, R Gilli, LK Hunt, R Maiolino, M Salvati","Monthly Notices of the Royal Astronomical Society 351 (1), 169-185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13582165200512546421,1395,2004
"A fundamental relation between mass, star formation rate and metallicity in local and high-redshift galaxies","F Mannucci, G Cresci, R Maiolino, A Marconi, A Gnerucci","Monthly Notices of the Royal Astronomical Society 408 (4), 2115-2127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18001619024105286118,828,2010
The lesser role of starbursts in star formation at z= 2,"G Rodighiero, E Daddi, I Baronchelli, A Cimatti, A Renzini, H Aussel, ...","The Astrophysical Journal Letters 739 (2), L40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5264581968833261437,718,2011
Overview of the SDSS-IV MaNGA survey: mapping nearby galaxies at Apache Point observatory,"K Bundy, MA Bershady, DR Law, R Yan, N Drory, N MacDonald, ...","The Astrophysical Journal 798 (1), 7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5653438319358760410,693,2014
The distribution of absorbing column densities among Seyfert 2 galaxies,"G Risaliti, R Maiolino, M Salvati","The Astrophysical Journal 522 (1), 157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6237428202533457746,647,1999
Low-luminosity and obscured seyfert nuclei in nearby galaxies,"R Maiolino, GH Rieke","The Astrophysical Journal 454, 95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8442170345831915617,515,1995
A three-dimensional diagnostic diagram for Seyfert 2 galaxies: probing X-ray absorption and Compton thickness,"L Bassani, M Dadina, R Maiolino, M Salvati, G Risaliti, R Della Ceca, ...","The Astrophysical Journal Supplement Series 121 (2), 473",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12917815260580050041,479,1999
The HELLAS2XMM survey. VII. The hard X-ray luminosity function of AGNs up to z= 4: More absorbed AGNs at low luminosities and high redshifts,"F La Franca, F Fiore, A Comastri, GC Perola, N Sacchi, M Brusa, ...","The Astrophysical Journal 635 (2), 864",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4833625545149670063,452,2005
Massive molecular outflows and negative feedback in ULIRGs observed by Herschel-PACS,"E Sturm, E González-Alfonso, S Veilleux, J Fischer, J Graciá-Carpio, ...","The Astrophysical Journal Letters 733 (1), L16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14190873190650953568,414,2011
On Star Formation Rates and Star Formation Histories of Galaxies Out to z∼ 3,"S Wuyts, NMF Schreiber, D Lutz, R Nordon, S Berta, B Altieri, P Andreani, ...","The Astrophysical Journal 738 (1), 106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5089374611207785764,375,2011
"LSD: Lyman-break galaxies Stellar populations and Dynamics – I. Mass, metallicity and gas at ","F Mannucci, G Cresci, R Maiolino, A Marconi, G Pastorini, L Pozzetti, ...","Monthly Notices of the Royal Astronomical Society 398 (4), 1915-1931",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3392721662189327043,362,2009
Evidence of strong quasar feedback in the early Universe,"R Maiolino, S Gallerani, R Neri, C Cicone, A Ferrara, R Genzel, D Lutz, ...","Monthly Notices of the Royal Astronomical Society: Letters 425 (1), L66-L70",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11982884445900307885,322,2012
Strangulation as the primary mechanism for shutting down star formation in galaxies,"Y Peng, R Maiolino, R Cochrane","Nature 521 (7551), 192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12174251429899413625,305,2015
The ,"C Gruppioni, F Pozzi, G Rodighiero, I Delvecchio, S Berta, L Pozzetti, ...","Monthly Notices of the Royal Astronomical Society 432 (1), 23-52",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1082863046606856741,305,2013
A supernova origin for dust in a high-redshift quasar,"R Maiolino, R Schneider, E Oliva, S Bianchi, A Ferrara, F Mannucci, ...","Nature 431 (7008), 533",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13911944849350036406,296,2004
Fast molecular outflows in luminous galaxy mergers: evidence for quasar feedback from Herschel,"S Veilleux, M Meléndez, E Sturm, J Gracia-Carpio, J Fischer, ...","The Astrophysical Journal 776 (1), 27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9925970266984058576,272,2013
Spectroscopic confirmation of z∼ 7 Lyman break galaxies: probing the earliest galaxies and the epoch of reionization,"L Pentericci, A Fontana, E Vanzella, M Castellano, A Grazian, M Dijkstra, ...","The Astrophysical Journal 743 (2), 132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8482704719737174006,262,2011
Bolometric luminosities and Eddington ratios of X-ray selected active galactic nuclei in the ,"E Lusso, A Comastri, BD Simmons, M Mignoli, G Zamorani, C Vignali, ...","Monthly Notices of the Royal Astronomical Society 425 (1), 623-640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3267780737417301949,245,2012
The effect of radiation pressure on virial black hole mass estimates and the case of narrow-line Seyfert 1 galaxies,"A Marconi, DJ Axon, R Maiolino, T Nagao, G Pastorini, P Pietrini, ...","The Astrophysical Journal 678 (2), 693",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11201054001206434561,242,2008
A kiloparsec-scale hyper-starburst in a quasar host less than 1 gigayear after the Big Bang,"F Walter, D Riechers, P Cox, R Neri, C Carilli, F Bertoldi, A Weiss, ...","Nature 457 (7230), 699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8738022020970607421,218,2009
Gas accretion as the origin of chemical abundance gradients in distant galaxies,"G Cresci, F Mannucci, R Maiolino, A Marconi, A Gnerucci, L Magrini","Nature 467 (7317), 811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=113271655876587621,215,2010
"Spectroscopic observations of Lyman break galaxies at redshifts∼ 4, 5, and 6 in the Goods-South Field","E Vanzella, M Giavalisco, M Dickinson, S Cristiani, M Nonino, ...","The Astrophysical Journal 695 (2), 1163",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5592439930108981274,214,2009
The intense starburst HDF 850.1 in a galaxy overdensity at ,"F Walter, R Decarli, C Carilli, F Bertoldi, P Cox, E Da Cunha, E Daddi, ...","Nature 486 (7402), 233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14852978454016467776,211,2012
New constraints on the unified model of Seyfert galaxies,"R Maiolino, M Ruiz, GH Rieke, LD Keller","The Astrophysical Journal 446, 561",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7913852623633410690,209,1995
New observations of z∼ 7 galaxies: Evidence for a patchy reionization,"L Pentericci, E Vanzella, A Fontana, M Castellano, T Treu, A Mesinger, ...","The Astrophysical Journal 793 (2), 113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5994146996521646485,203,2014
Spectroscopic confirmation of two Lyman break galaxies at redshift beyond 7,"E Vanzella, L Pentericci, A Fontana, A Grazian, M Castellano, K Boutsia, ...","The Astrophysical Journal Letters 730 (2), L35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4607030989676649997,200,2011
"The HELLAS2XMM Survey. II. Multiwavelength Observations of P3: An X-Ray-bright, Optically Inactive Galaxy","A Comastri, M Mignoli, P Ciliegi, P Severgnini, R Maiolino, M Brusa, ...","The Astrophysical Journal 571 (2), 771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15040782921399551572,197,2002
On the effect of the cosmic microwave background in high-redshift (sub-) millimeter observations,"E Da Cunha, B Groves, F Walter, R Decarli, A Weiss, F Bertoldi, C Carilli, ...","The Astrophysical Journal 766 (1), 13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=220214547807408958,190,2013
The hard X-ray spectral slope as an accretion rate indicator in radio-quiet active galactic nuclei,"O Shemmer, WN Brandt, H Netzer, R Maiolino, S Kaspi","The Astrophysical Journal Letters 646 (1), L29","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15881186690269719102,7156657018119709788",186,2006
The hard X-ray spectrum as a probe for black hole growth in radio-quiet active galactic nuclei,"O Shemmer, WN Brandt, H Netzer, R Maiolino, S Kaspi","The Astrophysical Journal 682 (1), 81",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7945167078065883640,179,2008
Near-infrared spectroscopy of high-redshift active galactic nuclei. I. A metallicity-accretion rate relationship,"O Shemmer, H Netzer, R Maiolino, E Oliva, S Croom, E Corbett, ...","The Astrophysical Journal 614 (2), 547",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9323127281744954418,179,2004
"Changing look: from Compton-thick to Compton-thin, or the rebirth of fossil active galactic nuclei","G Matt, M Guainazzi, R Maiolino","Monthly Notices of the Royal Astronomical Society 342 (2), 422-426",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1440111570652094015,178,2003
Star formation in the hosts of high-z QSOs: evidence from Spitzer PAH detections,"D Lutz, E Sturm, LJ Tacconi, E Valiante, M Schweitzer, H Netzer, ...","The Astrophysical Journal 684 (2), 853",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9950833231141914253,172,2008
A spitzer IRS low-resolution spectroscopic search for buried AGNs in nearby ultraluminous infrared galaxies: A constraint on geometry between energy sources and dust,"M Imanishi, CC Dudley, R Maiolino, PR Maloney, T Nakagawa, G Risaliti","The Astrophysical Journal Supplement Series 171 (1), 72",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6217358911783736759,166,2007
Evolution of dust temperature of galaxies through cosmic time as seen by ,"HS Hwang, D Elbaz, G Magdis, E Daddi, M Symeonidis, B Altieri, ...","Monthly Notices of the Royal Astronomical Society 409 (1), 75-82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15526235617372054233,161,2010
"Molecular gas, morphology, and Seyfert galaxy activity","R Maiolino, M Ruiz, GH Rieke, P Papadopoulos","The Astrophysical Journal 485 (2), 552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5833043848204368518,161,1997
SDSS IV MaNGA–spatially resolved diagnostic diagrams: a proof that many galaxies are LIERs,"F Belfiore, R Maiolino, C Maraston, E Emsellem, MA Bershady, ...","Monthly Notices of the Royal Astronomical Society 461 (3), 3111-3134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7425258356595013756,155,2016
GRAVITATIONAL LENS MODELS BASED ON SUBMILLIMETER ARRAY* IMAGING OF HERSCHEL**-SELECTED STRONGLY LENSED SUB-MILLIMETER GALAXIES AT z> 1.5,"RS Bussmann, I Pérez-Fournon, S Amber, J Calanog, MA Gurwell, ...","The Astrophysical Journal 779 (1), 25","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8770942095505839549,30953326242367239",155,2013
Elusive active galactic nuclei,"R Maiolino, A Comastri, R Gilli, NM Nagar, S Bianchi, T Böker, E Colbert, ...","Monthly Notices of the Royal Astronomical Society 344 (4), L59-L64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2638178587935581521,153,2003
Connecting the cosmic infrared background to the X-ray background,"L Silva, R Maiolino, GL Granato","Monthly Notices of the Royal Astronomical Society 355 (3), 973-985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16063532637660530720,149,2004
THE LACK OF INTENSE Lyα IN ULTRADEEP SPECTRA OF z= 7 CANDIDATES IN GOODS-S: IMPRINT OF REIONIZATION?,"A Fontana, E Vanzella, L Pentericci, M Castellano, M Giavalisco, ...","The Astrophysical Journal Letters 725 (2), L205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17639617678581559171,142,2010
Seyfert activity and nuclear star formation in the Circinus galaxy,"R Maiolino, A Krabbe, N Thatte, R Genzel","The Astrophysical Journal 493 (2), 650",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15474566144671404801,140,1998
Near-infrared spectroscopy of high-redshift active galactic nuclei. II. Disappearing narrow-line regions and the role of accretion,"H Netzer, O Shemmer, R Maiolino, E Oliva, S Croom, E Corbett, ...","The Astrophysical Journal 614 (2), 558",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14761483502251265802,136,2004
The assembly of ‘normal’ galaxies at ,"R Maiolino, S Carniani, A Fontana, L Vallini, L Pentericci, A Ferrara, ...","Monthly Notices of the Royal Astronomical Society 452 (1), 54-68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8723629268214684196,134,2015
Blowin’in the wind: both “negative” and “positive” feedback in an obscured high-z quasar,"G Cresci, V Mainieri, M Brusa, A Marconi, M Perna, F Mannucci, ...","The Astrophysical Journal 799 (1), 82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7431992233725880806,130,2015
"A fundamental relation between the metallicity, gas content and stellar mass of local galaxies","MS Bothwell, R Maiolino, R Kennicutt Jr, G Cresci, F Mannucci, A Marconi, ...","Monthly Notices of the Royal Astronomical Society 433 (2), 1425-1435",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17540481585492478474,127,2013
X-shooter reveals powerful outflows in ,"M Brusa, A Bongiorno, G Cresci, M Perna, A Marconi, V Mainieri, ...","Monthly Notices of the Royal Astronomical Society 446 (3), 2394-2417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9750203674418077958,125,2014
"The nuclear stellar core, the hot dust source, and the location of the nucleus of NGC 1068","N Thatte, A Quirrenbach, R Genzel, R Maiolino, M Tecza","The Astrophysical Journal 490 (1), 238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10583365713244256009,123,1997
Nuclear activity is more prevalent in star-forming galaxies,"DJ Rosario, P Santini, D Lutz, H Netzer, FE Bauer, S Berta, B Magnelli, ...","The Astrophysical Journal 771 (1), 63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5224128582194209765,115,2013
N-band imaging of Seyfert nuclei and the mid-infrared-X-ray correlation,"A Krabbe, T Böker, R Maiolino","The Astrophysical Journal 557 (2), 626",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2319265880487413347,113,2001
X-ray absorption by broad-line region clouds in Mrk 766,"G Risaliti, E Nardini, M Salvati, M Elvis, G Fabbiano, R Maiolino, P Pietrini, ...","Monthly Notices of the Royal Astronomical Society 410 (2), 1027-1035",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2116676913313176321,112,2010
