Title,Authors,Platform,Cited_url,Cited_count,Year
The distribution of low-mass stars in the Galactic disc,"P Kroupa, CA Tout, G Gilmore","Monthly Notices of the Royal Astronomical Society 262 (3), 545-587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=366261658834549461,1864,1993
Comprehensive analytic formulae for stellar evolution as a function of mass and metallicity,"JR Hurley, OR Pols, CA Tout","Monthly Notices of the Royal Astronomical Society 315 (3), 543-569",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5351620504892983645,1326,2000
Evolution of binary stars and the effect of tides on binary populations,"JR Hurley, CA Tout, OR Pols","Monthly Notices of the Royal Astronomical Society 329 (4), 897-928",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6228208254768187076,1173,2002
Approximate input physics for stellar modelling,"OR Pols, CA Tout, PP Eggleton, Z Han","Monthly Notices of the Royal Astronomical Society 274 (3), 964-974",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10262741291602160536,559,1995
Stellar evolution models for ,"OR Pols, KP Schröder, JR Hurley, CA Tout, PP Eggleton","Monthly Notices of the Royal Astronomical Society 298 (2), 525-536",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1929320963015733603,490,1998
Tidal decay of close planetary orbits,"FA Rasio, CA Tout, SH Lubow, M Livio",arXiv preprint astro-ph/9605059,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13460742376334587295,404,1996
The effect of massive binaries on stellar populations and supernova progenitors,"JJ Eldridge, RG Izzard, CA Tout","Monthly Notices of the Royal Astronomical Society 384 (3), 1109-1118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15838583984203503981,344,2008
The distribution of visual binaries with two bright components,"PP Eggleton, MJ Fitchett, CA Tout","The Astrophysical Journal 347, 998-1011",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6114053814026766837,316,1989
The progenitors of core-collapse supernovae,"JJ Eldridge, CA Tout","Monthly Notices of the Royal Astronomical Society 353 (1), 87-97",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4604858283493753080,277,2004
A new synthetic model for asymptotic giant branch stars,"RG Izzard, CA Tout, AI Karakas, OR Pols","Monthly Notices of the Royal Astronomical Society 350 (2), 407-426",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13166642099108479580,226,2004
Reconstructing the evolution of white dwarf binaries: further evidence for an alternative algorithm for the outcome of the common-envelope phase in close binaries,"G Nelemans, CA Tout","Monthly Notices of the Royal Astronomical Society 356 (2), 753-764",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5059547917853883623,214,2005
Accretion disc viscosity: A simple model for a magnetic dynamo,"CA Tout, JE Pringle","Monthly Notices of the Royal Astronomical Society 259 (4), 604-612",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5936986146350841295,212,1992
Further critical tests of stellar evolution by means of double-lined eclipsing binaries,"OR Pols, CA Tout, KP Schröder, PP Eggleton, J Manners","Monthly Notices of the Royal Astronomical Society 289 (4), 869-881",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13127014289994020967,207,1997
A complete ,"JR Hurley, OR Pols, SJ Aarseth, CA Tout","Monthly Notices of the Royal Astronomical Society 363 (1), 293-314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16324980039148010310,203,2005
Zero-age main-sequence radii and luminosities as analytic functions of mass and metallicity,"CA Tout, OR Pols, PP Eggleton, Z Han","Monthly Notices of the Royal Astronomical Society 281 (1), 257-262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2457201751346585398,198,1996
High-velocity features: A ubiquitous property of type Ia supernovae,"PA Mazzali, S Benetti, G Altavilla, G Blanc, E Cappellaro, N Elias-Rosa, ...","The Astrophysical Journal Letters 623 (1), L37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18306046062357324716,192,2005
The low-luminosity stellar mass function,"P Kroupa, CA Tout, G Gilmore","Monthly Notices of the Royal Astronomical Society 244, 76-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3395548275073932014,192,1990
Tidal enhancement by a binary companion of stellar winds from cool giants,"CA Tout, PP Eggleton","Monthly Notices of the Royal Astronomical Society 231 (4), 823-831",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12623974816085682361,186,1988
Detection of a red supergiant progenitor star of a Type II-plateau supernova,"SJ Smartt, JR Maund, MA Hendry, CA Tout, GF Gilmore, S Mattila, ...","Science 303 (5657), 499-503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7582387927264348284,185,2004
The effects of unresolved binary stars on the determination of the stellar mass function,"P Kroupa, CA Tout, G Gilmore","Monthly Notices of the Royal Astronomical Society 251 (2), 293-302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14622271258140097947,178,1991
The formation of barium and CH stars and related objects,"Z Han, PP Eggleton, P Podsiadlowski, CA Tout","Monthly Notices of the Royal Astronomical Society 277 (4), 1443-1462",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8353370296579501153,171,1995
Direct ,"JR Hurley, CA Tout, SJ Aarseth, OR Pols","Monthly Notices of the Royal Astronomical Society 323 (3), 630-650",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15319417375957124581,170,2001
Rapid binary star evolution for ,"CA Tout, SJ Aarseth, OR Pols, PP Eggleton","Monthly Notices of the Royal Astronomical Society 291 (4), 732-748",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17934491250744489658,170,1997
Runaway stars as progenitors of supernovae and gamma-ray bursts,"JJ Eldridge, N Langer, CA Tout","Monthly Notices of the Royal Astronomical Society 414 (4), 3501-3520",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1714120199707460214,157,2011
Formation rates of core-collapse supernovae and gamma-ray bursts,"RG Izzard, E Ramirez-Ruiz, CA Tout","Monthly Notices of the Royal Astronomical Society 348 (4), 1215-1228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15633944653334542212,153,2004
Binary star origin of high field magnetic white dwarfs,"CA Tout, DT Wickramasinghe, J Liebert, L Ferrario, JE Pringle","Monthly Notices of the Royal Astronomical Society 387 (2), 897-901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4687495031190085080,151,2008
Low-and intermediate-mass close binary evolution and the initial-final mass relation,"Z Han, CA Tout, PP Eggleton","Monthly Notices of the Royal Astronomical Society 319 (1), 215-222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=484799094638310757,144,2000
Partial mixing and formation of the ,"PA Denissenkov, CA Tout","Monthly Notices of the Royal Astronomical Society 340 (3), 722-732",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11295939901381724343,143,2003
Wind driven mass transfer in interacting binary systems,"CA Tout, DS Hall","Monthly Notices of the Royal Astronomical Society 253 (1), 9-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5472571362297385891,143,1991
Observational implications of precessing protostellar discs and jets,"MR Bate, IA Bonnell, CJ Clarke, SH Lubow, GI Ogilvie, JE Pringle, ...","Monthly Notices of the Royal Astronomical Society 317 (4), 773-781",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1576984901379583673,141,2000
Winds from massive stars: implications for the afterglows of ,"E Ramirez-Ruiz, LM Dray, P Madau, CA Tout","Monthly Notices of the Royal Astronomical Society 327 (3), 829-840",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2617977397916465341,126,2001
Can a disc dynamo generate large-scale magnetic fields?,"CA Tout, JE Pringle","Monthly Notices of the Royal Astronomical Society 281 (1), 219-225",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7505924293775319464,122,1996
On a physical mechanism for extra mixing in globular cluster red giants,"PA Denissenkov, CA Tout","Monthly Notices of the Royal Astronomical Society 316 (2), 395-406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5185660522641215925,110,2000
A more detailed look at the opacities for enriched carbon and oxygen mixtures,"JJ Eldridge, CA Tout","Monthly Notices of the Royal Astronomical Society 348 (1), 201-206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13118237043582858467,103,2004
The ages of pre-main-sequence stars,"CA Tout, M Livio, IA Bonnell","Monthly Notices of the Royal Astronomical Society 310 (2), 360-376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11498137111921940906,96,1999
On symbiotic stars and Type IA supernovae,"SJ Kenyon, M Livio, J Mikolajewska, CA Tout","The Astrophysical Journal 407, L81-L84",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18388840914407167100,90,1993
"Spin-down of rapidly rotating, convective stars","CA Tout, JE Pringle","Monthly Notices of the Royal Astronomical Society 256 (2), 269-276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6633234673362551549,88,1992
The origin of magnetism on the upper main sequence,"L Ferrario, JE Pringle, CA Tout, DT Wickramasinghe","Monthly Notices of the Royal Astronomical Society: Letters 400 (1), L71-L74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6755951752609990019,86,2009
Stellar chemical signatures and hierarchical galaxy formation,"KA Venn, M Irwin, MD Shetrone, CA Tout, V Hill, E Tolstoy","The Astronomical Journal 128 (3), 1177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10698100929281682939,81,2004
The chemical composition of donors in AM CVn stars and ultracompact X-ray binaries: observational tests of their formation,"G Nelemans, LR Yungelson, MV Sluys, CA Tout","Monthly Notices of the Royal Astronomical Society 401 (2), 1347-1359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7935430842482249969,78,2010
The binary second sequence in cluster colour-magnitude diagrams,"J Hurley, CA Tout","Monthly Notices of the Royal Astronomical Society 300 (4), 977-980",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12575692079534938673,75,1998
X-ray coronae from dynamos in young Ae/Be stars,"CA Tout, JE Pringle","Monthly Notices of the Royal Astronomical Society 272 (3), 528-530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5049127394837763498,75,1995
Deep dredge-up in intermediate-mass thermally pulsing asymptotic giant branch stars,"RJ Stancliffe, CA Tout, OR Pols","Monthly Notices of the Royal Astronomical Society 352 (3), 984-992",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17371431364021202842,74,2004
Accretion disc evolution in single and binary T Tauri stars,"PJ Armitage, CJ Clarke, CA Tout","Monthly Notices of the Royal Astronomical Society 304 (2), 425-433",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12610410511284315682,72,1999
Evolutionary processes in binary stars,"HC Spruit, R Wijers, MB Davies, CA Tout","NATO ASI Series C 477 (249), 0",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7441664095398900663,72,1996
Nearest neighbour analysis of random distributions on a sphere,"D Scott, CA Tout","Monthly Notices of the Royal Astronomical Society 241 (2), 109-117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13134420317611426769,69,1989
The C flash and the ignition conditions of Type Ia supernovae,"P Lesaffre, Z Han, CA Tout, P Podsiadlowski, RG Martin","Monthly Notices of the Royal Astronomical Society 368 (1), 187-195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=289311484896037325,64,2006
The nature of the progenitor of the Type II-P supernova 1999em,"SJ Smartt, GF Gilmore, CA Tout, ST Hodgkin","The Astrophysical Journal 565 (2), 1089",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9348574583184954152,64,2002
Slowing down atomic diffusion in subdwarf B stars: mass loss or turbulence?,"H Hu, CA Tout, E Glebbeek, MA Dupret","Monthly Notices of the Royal Astronomical Society 418 (1), 195-205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11747409582141985508,61,2011
The evolution of low-metallicity asymptotic giant branch stars and the formation of carbon-enhanced metal-poor stars,"HHB Lau, RJ Stancliffe, CA Tout","Monthly Notices of the Royal Astronomical Society 396 (2), 1046-1057",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=155027183139641027,61,2009
The theoretical mass-magnitude relation of low-mass stars and its metallicity dependence,"P Kroupa, CA Tout","Monthly Notices of the Royal Astronomical Society 287 (2), 402-414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=498316120101762241,61,1997
