Title,Authors,Platform,Cited_url,Cited_count,Year
Condensed matter field theory,"A Altland, BD Simons",Cambridge university press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8358342393046621565,1526,2010
Intestinal crypt homeostasis results from neutral competition between symmetrically dividing Lgr5 stem cells,"HJ Snippert, LG Van Der Flier, T Sato, JH Van Es, M Van Den Born, ...","Cell 143 (1), 134-144","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=382147038594578658,15219943384279330126",1278,2010
A single type of progenitor cell maintains normal epidermis,"E Clayton, DP Doupé, AM Klein, DJ Winton, BD Simons, PH Jones","Nature 446 (7132), 185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5530152146139413967,770,2007
Defining the mode of tumour growth by clonal analysis,"G Driessens, B Beck, A Caauwe, BD Simons, C Blanpain","Nature 488 (7412), 527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13519200996591958354,670,2012
Distinct fibroblast lineages determine dermal architecture in skin development and repair,"RR Driskell, BM Lichtenberger, E Hoste, K Kretzschmar, BD Simons, ...","Nature 504 (7479), 277","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12392340495548238703,11530867907335475429",493,2013
Intestinal stem cell replacement follows a pattern of neutral drift,"C Lopez-Garcia, AM Klein, BD Simons, DJ Winton","Science 330 (6005), 822-825",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17126206707485646212,469,2010
Distinct contribution of stem and progenitor cells to epidermal maintenance,"G Mascré, S Dekoninck, B Drogat, KK Youssef, S Brohée, ...","Nature 489 (7415), 257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15346062357142785387,401,2012
Transformation of spin information into large electrical signals using carbon nanotubes,"LE Hueso, JM Pruneda, V Ferrari, G Burnell, JP Valdés-Herrera, ...","Nature 445 (7126), 410","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9753990527721288795,4253174566364513345,10831978270830434915",394,2007
Strategies for homeostatic stem cell self-renewal in adult tissues,"BD Simons, H Clevers","Cell 145 (6), 851-862",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13365270753781798917,357,2011
Intestinal crypt homeostasis revealed at single-stem-cell level by ,"L Ritsma, SIJ Ellenbroek, A Zomer, HJ Snippert, FJ de Sauvage, ...","Nature 507 (7492), 362",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12067702866179405419,303,2014
