Title,Authors,Platform,Cited_url,Cited_count,Year
Interpretation of Raman spectra of disordered and amorphous carbon,"AC Ferrari, J Robertson","Physical review B 61 (20), 14095","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9920747202741412257,14927226853170509040",10750,2000
Diamond-like amorphous carbon,J Robertson,"Materials science and engineering: R: Reports 37 (4-6), 129-281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8530870118322248816,6093,2002
"Resonant Raman spectroscopy of disordered, amorphous, and diamondlike carbon","AC Ferrari, J Robertson","Physical review B 64 (7), 075414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7153628505284182710,2292,2001
Band offsets of wide-band-gap oxides and implications for future electronic devices,J Robertson,Journal of Vacuum Science & Technology B: Microelectronics and Nanometer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15287427849468988076,2220,2000
"Raman spectroscopy of amorphous, nanostructured, diamond–like carbon, and nanodiamond","AC Ferrari, J Robertson",Philosophical Transactions of the Royal Society of London. Series A …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14404735672663853698,1864,2004
High dielectric constant gate oxides for metal oxide Si transistors,J Robertson,"Reports on progress in Physics 69 (2), 327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15628873338076006210,1687,2005
Amorphous carbon,J Robertson,"Advances in Physics 35 (4), 317-374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1038438956619470338,1656,1986
Electronic and atomic structure of amorphous carbon,"J Robertson, EP O’reilly","Physical Review B 35 (6), 2946",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4532692945010099789,1546,1987
High dielectric constant oxides,J Robertson,"The European Physical Journal-Applied Physics 28 (3), 265-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14846801446666177587,1371,2004
Growth process conditions of vertically aligned carbon nanotubes using plasma enhanced chemical vapor deposition,"M Chhowalla, KBK Teo, C Ducati, NL Rupesinghe, GAJ Amaratunga, ...","Journal of applied physics 90 (10), 5308-5317",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3816878687016798782,1277,2001
Origin of the 1 1 5 0− cm− 1 Raman mode in nanocrystalline diamond,"AC Ferrari, J Robertson","Physical Review B 63 (12), 121405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3870654255381283808,1161,2001
Raman spectroscopy of hydrogenated amorphous carbons,"C Casiraghi, AC Ferrari, J Robertson","Physical review B 72 (8), 085401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6565724467232144561,986,2005
Properties of filtered-ion-beam-deposited diamondlike carbon as a function of ion energy,"PJ Fallon, VS Veerasamy, CA Davis, J Robertson, GAJ Amaratunga, ...","Physical Review B 48 (7), 4777",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14467361251522678946,969,1993
Hard amorphous (diamond-like) carbons,J Robertson,"Progress in Solid State Chemistry 21 (4), 199-333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=282082079935619256,920,1991
Kohn anomalies and electron-phonon interactions in graphite,"S Piscanec, M Lazzeri, F Mauri, AC Ferrari, J Robertson","Physical review letters 93 (18), 185503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14769943170905651343,899,2004
Properties of diamond-like carbon,J Robertson,"Surface and Coatings Technology 50 (3), 185-203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4239480051945706480,855,1992
Resonant bonding in crystalline phase-change materials,"K Shportko, S Kremers, M Woda, D Lencer, J Robertson, M Wuttig","Nature materials 7 (8), 653",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9391507634918002139,707,2008
In situ observations of catalyst dynamics during surface-bound carbon nanotube nucleation,"S Hofmann, R Sharma, C Ducati, G Du, C Mattevi, C Cepek, M Cantoro, ...","Nano letters 7 (3), 602-608",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3225376765594417165,706,2007
Interpretation of infrared and Raman spectra of amorphous carbon nitrides,"AC Ferrari, SE Rodil, J Robertson","Physical Review B 67 (15), 155306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14033185506688133761,606,2003
Band offsets of high ,"J Robertson, B Falabretti","Journal of applied physics 100 (1), 014111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10381563372238275718,601,2006
Flexible electronics: the next ubiquitous platform,"A Nathan, A Ahnood, MT Cole, S Lee, Y Suzuki, P Hiralal, F Bonaccorso, ...","Proceedings of the IEEE 100 (Special Centennial Issue), 1486-1517",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=31954280675301899,596,2012
 phase and ,"R Palai, RS Katiyar, H Schmid, P Tissot, SJ Clark, J Robertson, ...","Physical Review B 77 (1), 014110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4825388938514641043,585,2008
Deposition mechanisms for promoting sp3 bonding in diamond-like carbon,J Robertson,"Diamond and related materials 2 (5-7), 984-989",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3419625405381565609,553,1993
"Density, sp 3 fraction, and cross-sectional structure of amorphous carbon films determined by X-ray reflectivity and electron energy-loss spectroscopy","AC Ferrari, A Libassi, BK Tanner, V Stolojan, J Yuan, LM Brown, SE Rodil, ...","Physical Review B 62 (16), 11089",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10822599532278064657,533,2000
"Optical phonons in carbon nanotubes: Kohn anomalies, Peierls distortions, and dynamic effects","S Piscanec, M Lazzeri, J Robertson, AC Ferrari, F Mauri","Physical Review B 75 (3), 035427",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14266183004752327649,494,2007
Gap states in silicon nitride,"J Robertson, MJ Powell","Applied physics letters 44 (4), 415-417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1313571838670239487,494,1984
Theory of defects in vitreous silicon dioxide,"EP O'Reilly, J Robertson","Physical Review B 27 (6), 3780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2634139585886197837,481,1983
