Title,Authors,Platform,Cited_url,Cited_count,Year
Simple RNA enzymes with new and highly specific endoribonuclease activities,"J Haseloff, WL Gerlach","Nature 334 (6183), 585","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7099337313448338390,7365832515994052443",1608,1988
Removal of a cryptic intron and subcellular localization of green fluorescent protein are required to mark transgenic Arabidopsis plants brightly,"J Haseloff, KR Siemering, DC Prasher, S Hodge","Proceedings of the National Academy of Sciences 94 (6), 2122-2127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=703776488705136151,1490,1997
Mutations that suppress the thermosensitivity of green fluorescent protein,"KR Siemering, R Golbik, R Sever, J Haseloff","Current Biology 6 (12), 1653-1663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9687894719358486914,592,1996
Root gravitropism requires lateral root cap and epidermal cells for transport and response to a mobile auxin signal,"R Swarup, EM Kramer, P Perry, K Knox, HMO Leyser, J Haseloff, ...","Nature cell biology 7 (11), 1057",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9278351075278713537,512,2005
"Cell‐type‐specific calcium responses to drought, salt and cold in the ","E Kiegle, CA Moore, J Haseloff, MA Tester, MR Knight","The Plant Journal 23 (2), 267-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14474358900875872289,408,2000
Shoot Na+ exclusion and increased salinity tolerance engineered by cell type–specific alteration of Na+ transport in Arabidopsis,"IS Møller, M Gilliham, D Jha, GM Mayo, SJ Roy, JC Coates, J Haseloff, ...","The Plant Cell 21 (7), 2163-2178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16984566762962999680,402,2009
GFP in plants.,"J Haseloff, B Amos","Trends in genetics: TIG 11 (8), 328-329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=857752144653069334,322,1995
Dynamic analyses of the expression of the HISTONE:: YFP fusion protein in Arabidopsis show that syncytial endosperm is divided in mitotic domains,"C Boisnard-Lorig, A Colon-Carmona, M Bauch, S Hodge, P Doerner, ...","The Plant Cell 13 (3), 495-509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14762636872801112986,315,2001
GFP variants for multispectral imaging of living cells,J Haseloff,"Methods in cell biology 58, 139-151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4192333376508165165,299,1998
Gibberellin signaling in the endodermis controls Arabidopsis root meristem size,"S Ubeda-Tomás, F Federici, I Casimiro, GTS Beemster, R Bhalerao, ...","Current Biology 19 (14), 1194-1199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15584499245692996148,294,2009
"Dasgupta., R., and Kaesberg","J Haseloff, P Goelet, D Zimmern, P Ahlquist",Striking similarities in amino acid sequence among nonstructural proteins …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11573272538110056312,7443995455232502185,5196060419013652186",286,0
Striking similarities in amino acid sequence among nonstructural proteins encoded by RNA viruses that have dissimilar genomic organization,"J Haseloff, P Goelet, D Zimmern, P Ahlquist, R Dasgupta, P Kaesberg","Proceedings of the National Academy of Sciences 81 (14), 4358",,284,1984
Insights into Land Plant Evolution Garnered from the ,"JL Bowman, T Kohchi, KT Yamato, J Jenkins, S Shu, K Ishizaki, ...","Cell 171 (2), 287-304. e15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9512765359065444191,246,2017
Miranda mediates asymmetric protein and RNA localization in the developing nervous system,"AJ Schuldt, JHJ Adams, CM Davidson, DR Micklem, J Haseloff, ...","Genes & development 12 (12), 1847-1857",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15240271092042900855,246,1998
Sindbis virus proteins nsP1 and nsP2 contain homology to nonstructural proteins from several RNA plant viruses.,"P Ahlquist, EG Strauss, CM Rice, JH Strauss, J Haseloff, D Zimmern","Journal of virology 53 (2), 536",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15462142478032084502,236,1985
Construction of a plant disease resistance gene from the satellite RNA of tobacco ringspot virus,"WL Gerlach, D Llewellyn, J Haseloff","Nature 328 (6133), 802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7117413159898523052,233,1987
Viroid RNAs of cadang-cadang disease of coconuts,"J Haseloff, NA Mohamed, RH Symons","Nature 299 (5881), 316",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3713048736771975696,188,1982
Chrysanthemum stunt viroid: primary sequence and secondary structure,"J Haseloff, RH Symons","Nucleic acids research 9 (12), 2741",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=820553049471031812,182,1981
Sequences required for self-catalysed cleavage of the satellite RNA of tobacco ringspot virus,"J Haseloff, WL Gerlach","Gene 82 (1), 43-52",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18219143835985756404,180,1989
The NAC domain transcription factors FEZ and SOMBRERO control the orientation of cell division plane in Arabidopsis root stem cells,"V Willemsen, M Bauch, T Bennett, A Campilho, H Wolkenfelt, J Xu, ...","Developmental cell 15 (6), 913-922",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13799792866683826670,172,2008
