Title,Authors,Platform,Cited_url,Cited_count,Year
"The TRANSPARENT TESTA GLABRA1 locus, which regulates trichome differentiation and anthocyanin biosynthesis in Arabidopsis, encodes a WD40 repeat protein","AR Walker, PA Davison, AC Bolognesi-Winfield, CM James, N Srinivasan, ...","The Plant Cell 11 (7), 1337-1349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11558967487820403166,803,1999
Many parallel losses of infA from chloroplast DNA during angiosperm evolution with multiple independent transfers to the nucleus,"RS Millen, RG Olmstead, KL Adams, JD Palmer, NT Lao, L Heggie, ...","The Plant Cell 13 (3), 645-658",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4656422770602487763,311,2001
A rapid and robust method of identifying transformed Arabidopsis thaliana seedlings following floral dip transformation,"SJ Harrison, EK Mott, K Parsley, S Aspinall, JC Gray, A Cottage","Plant methods 2 (1), 19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1440786978003065727,229,2006
Control of isoprenoid biosynthesis in higher plants,JC Gray,"Advances in botanical research 14, 25-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5237950000307918215,206,1988
Origin of Nicotiana tabacum L. detected by polypeptide composition of Fraction I protein,"JC Gray, SD Kung, SG Wildman, SJ Sheen","Nature 252 (5480), 226-227",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1522974135137789219,206,1974
Coordination of plastid and nuclear gene expression,"JC Gray, JA Sullivan, JH Wang, CA Jerome, D MacLean",Philosophical Transactions of the Royal Society of London. Series B …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4856610022460996763,205,2003
Structure and topology of cytochrome f in pea chloroplast membranes,"DL Willey, AD Auffret, JC Gray","Cell 36 (2), 555-562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14349033291631577344,202,1984
Stable Plastid Transformation in Lettuce (,"CLC Lelivelt, MS McCabe, CA Newell, CB desnoo, KMP Van Dun, ...","Plant molecular biology 58 (6), 763-774",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5029118397273752209,187,2005
A galinstan expansion femtosyringe for microinjection of eukaryotic organelles and prokaryotes,"M Knoblauch, JM Hibberd, JC Gray, AJE van Bel","Nature biotechnology 17 (9), 906",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10044744078254586530,183,1999
High‐level expression of human immunodeficiency virus antigens from the tobacco and tomato plastid genomes,"F Zhou, JA Badillo‐Corona, D Karcher, N Gonzalez‐Rabade, ...","Plant biotechnology journal 6 (9), 897-913",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16081017256516224717,179,2008
Stromules: a characteristic cell-specific feature of plastid morphology,"SKA Natesan, JA Sullivan, JC Gray","Journal of Experimental Botany 56 (413), 787-797",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5966348448465920338,165,2005
The ancestral symbiont sensor kinase CSK links photosynthesis with gene expression in chloroplasts,"S Puthiyaveetil, TA Kavanagh, P Cain, JA Sullivan, CA Newell, JC Gray, ...","Proceedings of the National Academy of Sciences 105 (29), 10061-10066",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10751973945803746232,151,2008
