Title,Authors,Platform,Cited_url,Cited_count,Year
Genetic studies of body mass index yield new insights for obesity biology,"AE Locke, B Kahali, SI Berndt, AE Justice, TH Pers, FR Day, C Powell, ...","Nature 518 (7538), 197","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4209019938866240964,17210015991761147310,3922437323482304391",2240,2015
Defining the role of common variation in the genomic and biological architecture of adult human height,"AR Wood, T Esko, J Yang, S Vedantam, TH Pers, S Gustafsson, AY Chu, ...","Nature genetics 46 (11), 1173","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8626513868050362933,14382697273554158618",1275,2014
An atlas of genetic correlations across human diseases and traits,"B Bulik-Sullivan, HK Finucane, V Anttila, A Gusev, FR Day, PR Loh, ...","Nature genetics 47 (11), 1236 - 1241","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3431384129534191586,8426239458060824329,9225140267307014827,10843632926636931087,7033686296293745022",1261,2015
New genetic loci link adipose and insulin biology to body fat distribution,"D Shungin, TW Winkler, DC Croteau-Chonka, T Ferreira, AE Locke, ...","Nature 518 (7538), 187","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7497517124792096698,11883604449307665089",785,2015
Partitioning heritability by functional annotation using genome-wide association summary statistics,"HK Finucane, B Bulik-Sullivan, A Gusev, G Trynka, Y Reshef, PR Loh, ...","Nature genetics 47 (11), 1228","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6576370727819547224,5248865871659658888",734,2015
Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture,"SI Berndt, S Gustafsson, R Mägi, A Ganna, E Wheeler, MF Feitosa, ...","Nature genetics 45 (5), 501–512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11886428023835234174,471,2013
Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche,"JRB Perry, F Day, CE Elks, P Sulem, DJ Thompson, T Ferreira, C He, ...","Nature 514 (7520), 92","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13110975816314234222,6123816348155639409",363,2014
Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals,"JJ Lee, R Wedow, A Okbay, E Kong, O Maghzian, M Zacher, ...","Nature genetics 50 (8), 1112","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14053987148140127385,10715722622312999688",338,2018
"Sex-stratified genome-wide association studies including 270,000 individuals show sexual dimorphism in genetic loci for anthropometric traits","JC Randall, TW Winkler, Z Kutalik, SI Berndt, AU Jackson, KL Monda, ...","PLoS Genetics 9 (6), e1003500","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7742296618296323411,5351510414444729352,9720628419281331824",288,2013
Quality control and conduct of genome-wide association meta-analyses,"TW Winkler, FR Day, DC Croteau-Chonka, AR Wood, AE Locke, R Mägi, ...","Nature Protocols 9 (5), 1192-1212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17968486815804062196,229,2014
Genome-wide associations for birth weight and correlations with adult disease,"M Horikoshi, RN Beaumont, FR Day, NM Warrington, MN Kooijman, ...","Nature 538 (7624), 248–252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11873769860050120960,211,2016
Integrative genomic analysis implicates limited peripheral adipose storage capacity in the pathogenesis of human insulin resistance,"LA Lotta, P Gulati, FR Day, F Payne, H Ongen, M van de Bunt, KJ Gaulton, ...","Nature genetics 49 (1), 17–26","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12571758539926886204,3007190079740863353",195,2016
"Puberty timing associated with diabetes, cardiovascular disease and also diverse health outcomes in men and women: the UK Biobank study","FR Day, CE Elks, A Murray, KK Ong, JRB Perry","Scientific reports 5, 11208",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6720925900998867004,190,2015
