Title,Authors,Platform,Cited_url,Cited_count,Year
Derivation of pluripotent epiblast stem cells from mammalian embryos,"IGM Brons, LE Smithers, MWB Trotter, P Rugg-Gunn, B Sun, ...","Nature 448 (7150), 191",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10977800434043797978,1546,2007
Activin/Nodal and FGF pathways cooperate to maintain pluripotency of human embryonic stem cells,"L Vallier, M Alexander, RA Pedersen","Journal of cell science 118 (19), 4495-4509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11724566359668797428,1033,2005
Targeted gene correction of α,"K Yusa, ST Rashid, H Strick-Marchand, I Varela, PQ Liu, DE Paschon, ...","Nature 478 (7369), 391",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3049296910979568695,627,2011
Modeling inherited metabolic disorders of the liver using human induced pluripotent stem cells,"ST Rashid, S Corbineau, N Hannan, SJ Marciniak, E Miranda, ...","The Journal of clinical investigation 120 (9), 3127-3136",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13870962894064567158,562,2010
Senescence impairs successful reprogramming to pluripotent stem cells,"A Banito, ST Rashid, JC Acosta, SD Li, CF Pereira, I Geti, S Pinho, ...","Genes & development 23 (18), 2134-2139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12564570048772064030,547,2009
Generation of functional hepatocytes from human embryonic stem cells under chemically defined conditions that recapitulate liver development,"T Touboul, NRF Hannan, S Corbineau, A Martinez, C Martinet, ...","Hepatology 51 (5), 1754-1765",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9933669564061452747,458,2010
Nodal inhibits differentiation of human embryonic stem cells along the neuroectodermal default pathway,"L Vallier, D Reynolds, RA Pedersen","Developmental biology 275 (2), 403-421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16309732183718104407,400,2004
Activin/Nodal signalling maintains pluripotency by controlling Nanog expression,"L Vallier, S Mendjan, S Brown, Z Chng, A Teo, LE Smithers, MWB Trotter, ...","Development 136 (8), 1339-1349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2727114133289826015,390,2009
The cell-cycle state of stem cells determines cell fate propensity,"S Pauklin, L Vallier","Cell 155 (1), 135-147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7972995848846545137,373,2013
Inhibition of Activin/Nodal signaling promotes specification of human embryonic stem cells into neuroectoderm,"JR Smith, L Vallier, G Lupo, M Alexander, WA Harris, RA Pedersen","Developmental biology 313 (1), 107-117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3376596726253600587,303,2008
