Title,Authors,Platform,Cited_url,Cited_count,Year
RAG-1-deficient mice have no mature B and T lymphocytes,"P Mombaerts, J Iacomini, RS Johnson, K Herrup, S Tonegawa, ...","Cell 68 (5), 869-877",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3769342446790976700,2926,1992
HIF-1α is essential for myeloid cell-mediated inflammation,"T Cramer, Y Yamanishi, BE Clausen, I Förster, R Pawlinski, N Mackman, ...","Cell 112 (5), 645-657",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16943913806962940943,1748,2003
HIF‐1α is required for solid tumor formation and embryonic vascularization,"HE Ryan, J Lo, RS Johnson","The EMBO journal 17 (11), 3005-3015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10457895158645392908,1740,1998
Alternative pathway of insulin signalling in mice with targeted disruption of the IRS-1 gene,"E Araki, MA Lipes, ME Patti, JC Brüning, B Haag III, RS Johnson, ...","Nature 372 (6502), 186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16085706644618392248,1504,1994
NF-κB links innate immunity to the hypoxic response through transcriptional regulation of HIF-1α,"J Rius, M Guma, C Schachtrup, K Akassoglou, AS Zinkernagel, V Nizet, ...","Nature 453 (7196), 807",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11946852224764852942,1269,2008
HIF1α and HIF2α: sibling rivalry in hypoxic tumour growth and progression,"B Keith, RS Johnson, MC Simon","Nature Reviews Cancer 12 (1), 9",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16932252144608905466,1239,2012
HIF1α induces the recruitment of bone marrow-derived vascular modulatory cells to regulate tumor angiogenesis and invasion,"R Du, KV Lu, C Petritsch, P Liu, R Ganss, E Passegué, H Song, ...","Cancer cell 13 (3), 206-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3102419099079355558,1084,2008
The IKKβ subunit of IκB kinase (IKK) is essential for nuclear factor κB activation and prevention of apoptosis,"ZW Li, W Chu, Y Hu, M Delhase, T Deerinck, M Ellisman, R Johnson, ...","Journal of Experimental Medicine 189 (11), 1839-1845",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12644681482440990801,1076,1999
Loss of PTEN facilitates HIF-1-mediated gene expression,"W Zundel, C Schindler, D Haas-Kogan, A Koong, F Kaper, E Chen, ...","Genes & development 14 (4), 391-396",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2262689019283789040,1054,2000
Abnormal morphogenesis but intact IKK activation in mice lacking the IKKα subunit of IκB kinase,"Y Hu, V Baud, M Delhase, P Zhang, T Deerinck, M Ellisman, R Johnson, ...","Science 284 (5412), 316-320",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8692032629619131885,987,1999
Hypoxia-inducible factor-1α is a positive factor in solid tumor growth,"HE Ryan, M Poloni, W McNulty, D Elson, M Gassmann, JM Arbeit, ...","Cancer research 60 (15), 4010-4015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9697304731819715842,891,2000
Hypoxia promotes fibrogenesis in vivo via HIF-1 stimulation of epithelial-to-mesenchymal transition,"DF Higgins, K Kimura, WM Bernhardt, N Shrimanker, Y Akai, ...","The Journal of clinical investigation 117 (12), 3810-3820",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4821404408754101904,807,2007
