Title,Authors,Platform,Cited_url,Cited_count,Year
Security engineering,R Anderson,John Wiley & Sons,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4439385208167625502,3533,2008
Information hiding-a survey,"FAP Petitcolas, RJ Anderson, MG Kuhn","Proceedings of the IEEE 87 (7), 1062-1078","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11317163965124924827,4284515014358709048",3494,1999
The resurrecting duckling: Security issues for ad-hoc wireless networks,"F Stajano, R Anderson","International workshop on security protocols, 172-182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9360696926472711746,1690,1999
On the limits of steganography,"RJ Anderson, FAP Petitcolas","IEEE Journal on selected areas in communications 16 (4), 474-481",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15852757809970494721,1679,1998
Tamper resistance-a cautionary note,"R Anderson, M Kuhn","Proceedings of the second Usenix workshop on electronic commerce 2, 1-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18444162644426010879,1465,1996
Attacks on copyright marking systems,"FAP Petitcolas, RJ Anderson, MG Kuhn","International workshop on information hiding, 218-238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17398388849194945082,1414,1998
Why information security is hard-an economic perspective,R Anderson,"Seventeenth Annual Computer Security Applications Conference, 358-365","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5475181349512059814,12724955597687138044",1038,2001
Why cryptosystems fail,R Anderson,Proceedings of the 1st ACM Conference on Computer and Communications …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10964279980121516732,876,1993
Low cost attacks on tamper resistant devices,"R Anderson, M Kuhn","International Workshop on Security Protocols, 125-136",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9333296178143565469,875,1997
Optical fault induction attacks,"SP Skorobogatov, RJ Anderson","International workshop on cryptographic hardware and embedded systems, 2-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5891217598882121837,842,2002
Combining crypto with biometrics effectively,"F Hao, R Anderson, J Daugman","IEEE transactions on computers 55 (9), 1081-1088",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16624341792510484813,802,2006
Password memorability and security: Empirical results,"J Yan, A Blackwell, R Anderson, A Grant","IEEE Security & privacy 2 (5), 25-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12754038762004164373,716,2004
The economics of information security,"R Anderson, T Moore","science 314 (5799), 610-613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14692185911264498460,697,2006
Aurasium: Practical policy enforcement for android applications,"R Xu, H Saïdi, R Anderson",Presented as part of the 21st {USENIX} Security Symposium ({USENIX} Security …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2783103671767328499,499,2012
Serpent: A proposal for the advanced encryption standard,RAEBL Knudsen,"First Advanced Encryption Standard (AES) Conference, Ventura, CA",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17238604002518845283,492,1998
Measuring the cost of cybercrime,"R Anderson, C Barton, R Böhme, R Clayton, MJG Van Eeten, M Levi, ...","The economics of information security and privacy, 265-300",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14685253979138323815,487,2013
Key infection: Smart trust for smart dust,"R Anderson, H Chan, A Perrig",Proceedings of the 12th IEEE International Conference on Network Protocols …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11235275893256315749,370,2004
Soft tempest: Hidden data transmission using electromagnetic emanations,"MG Kuhn, RJ Anderson","International Workshop on Information Hiding, 124-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7440174035075708230,361,1998
The eternity service,R Anderson,"Proceedings of PRAGOCRYPT 96, 242-252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14750629496365312285,344,1996
Evaluation of copyright marking systems,"FAP Petitcolas, RJ Anderson",Proceedings IEEE International Conference on Multimedia Computing and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6036012129654821802,322,1999
Stretching the limits of steganography,R Anderson,"International Workshop on Information Hiding, 39-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5004161067124957724,320,1996
A security policy model for clinical information systems,RJ Anderson,"Proceedings 1996 IEEE Symposium on Security and Privacy, 30-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15209493927132166182,308,1996
Two remarks on public key cryptology,R Anderson,Unpublished. Available from http://www. cl. cam. ac. uk/users/rja14,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3847079278989625248,303,1997
Robustness principles for public key protocols,"R Anderson, R Needham","Annual International Cryptology Conference, 236-247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13600810298477609765,286,1995
Serpent: A new block cipher proposal,"E Biham, R Anderson, L Knudsen","International Workshop on Fast Software Encryption, 222-238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18059053222414031377,274,1998
The economics of online crime,"T Moore, R Clayton, R Anderson","Journal of Economic Perspectives 23 (3), 3-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10837234523140478698,266,2009
Programming Satan's computer,"R Anderson, R Needham","Computer Science Today, 426-440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=884124830934348039,263,1995
Cryptographic processors-a survey,"R Anderson, M Bond, J Clulow, S Skorobogatov","Proceedings of the IEEE 94 (2), 357-369",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5969196525118059355,262,2006
Chip and PIN is Broken,"SJ Murdoch, S Drimer, R Anderson, M Bond","2010 IEEE Symposium on Security and Privacy, 433-446",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3198006839035370065,243,2010
The steganographic file system,"R Anderson, R Needham, A Shamir","International Workshop on Information Hiding, 73-82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9894591529094226368,243,1998
Invited lecture,R Anderson,"Fourth Annual Conference on Computer and Communications Security, ACM",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13740114329409003487,235,1997
Improving smart card security using self-timed circuits,"S Moore, R Anderson, P Cunningham, R Mullins, G Taylor",Proceedings Eighth International Symposium on Asynchronous Circuits and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11374802701010332093,230,2002
How much is location privacy worth?,"G Danezis, S Lewis, RJ Anderson",WEIS 5,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=34376949261671508,215,2005
"Information Hiding: First International Workshop, Cambridge, UK, May 30-June 1, 1996. Proceedings",R Anderson,Springer Science & Business Media,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=98456428186374676,213,1996
"Security in open versus closed systems—the dance of Boltzmann, Coase and Moore",R Anderson,"Technical report, Cambridge University, England",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16540026687557559668,202,2002
Sybil-resistant DHT routing,"G Danezis, C Lesniewski-Laas, MF Kaashoek, R Anderson","European Symposium On Research In Computer Security, 305-318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5708925679672585564,200,2005
Netcard—a practical electronic-cash system,"R Anderson, C Manifavas, C Sutherland","International Workshop on Security Protocols, 49-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1903525031255456926,194,1996
Temporal node centrality in complex networks,"H Kim, R Anderson","Physical Review E 85 (2), 026107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11513929576988170376,191,2012
A new family of authentication protocols,"R Anderson, F Bergadano, B Crispo, JH Lee, C Manifavas, R Needham","ACM SIGOPS Operating Systems Review 32 (4), 9-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10904371083367294235,188,1998
"The risks of key recovery, key escrow, and trusted third-party encryption","H Abelson, R Anderson, SM Bellovin, J Benaloh, M Blaze, W Diffie, ...","O'Reilly & Associates, Inc",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5352272908707043826,185,1997
Security in clinical information systems,RJ Anderson,British Medical Association,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2239161289325574581,181,1996
The resurrecting duckling: security issues for ubiquitous computing,"F Stajano, R Anderson","Computer 35 (4), supl22-supl26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=823335891461337249,178,2002
Two practical and provably secure block ciphers: BEAR and LION,"R Anderson, E Biham","International Workshop on Fast Software Encryption, 113-120","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6413352657175688785,8681772444370646453",176,1996
Information security economics–and beyond,"R Anderson, T Moore","Annual International Cryptology Conference, 68-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7928827193794458167,168,2007
International comparisons of health inequalities in childhood dental caries,"CM Pine, PM Adair, AD Nicoll, G Burnside, PE Petersen, D Beighton, ...","Community dental health 21 (1 Suppl), 121-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4427922121438204856,165,2004
On a new way to read data from memory,"D Samyde, S Skorobogatov, R Anderson, JJ Quisquater","First International IEEE Security in Storage Workshop, 2002. Proceedings., 65-69",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2677673874310638813,163,2002
Chameleon—A new kind of stream cipher,"R Anderson, C Manifavas","International Workshop on Fast Software Encryption, 107-113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13934123759096510626,159,1997
Tiger: A fast new hash function,"R Anderson, E Biham","International Workshop on Fast Software Encryption, 89-97",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8327410391234155889,155,1996
A birthday present every eleven wallets? The security of customer-chosen banking PINs,"J Bonneau, S Preibusch, R Anderson","International Conference on Financial Cryptography and Data Security, 25-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11112286070315563384,152,2012
Developing explanatory models of health inequalities in childhood dental caries.,"CM Pine, PM Adair, PE Petersen, C Douglass, G Burnside, AD Nicoll, ...","Community dental health 21 (1 Suppl), 86-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3602049986803250679,152,2004
The memorability and security of passwords–some empirical results,"J Yan, A Blackwell, R Anderson, A Grant","University of Cambridge, Computer Laboratory",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16820325361117201317,151,2000
"Dulaglutide and cardiovascular outcomes in type 2 diabetes (REWIND): a double-blind, randomised placebo-controlled trial","HC Gerstein, HM Colhoun, GR Dagenais, R Diaz, M Lakshmanan, P Pais, ...",The Lancet,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10521227425223326641,149,2019
API-level attacks on embedded systems,"M Bond, R Anderson","Computer 34 (10), 67-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5906373475911836432,149,2001
Eight friends are enough: social graph approximation via public listings,"J Bonneau, J Anderson, R Anderson, F Stajano","Proceedings of the Second ACM EuroSys Workshop on Social Network Systems, 13-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12166876438232151153,146,2009
Information hiding-a survey,"AP Fabien, RJ Anderson, MG Kuhn","Proceedings of the IEEE 87 (7), 1062-1078",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14706339104917812346,146,1999
Who controls the off switch?,"R Anderson, S Fuloria","2010 First IEEE International Conference on Smart Grid Communications, 96-101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10516907332382378051,134,2010
Security economics and the internal market,"R Anderson, R Böhme, R Clayton, T Moore",Study commissioned by ENISA,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12599502944722526457,131,2008
Cryptography and competition policy: issues with'trusted computing'.,RJ Anderson,"PODC 3, 3-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3899935086913086391,131,2003
Keys under doormats: mandating insecurity by requiring government access to all data and communications,"H Abelson, R Anderson, SM Bellovin, J Benaloh, M Blaze, W Diffie, ...","Journal of Cybersecurity 1 (1), 69-79",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10931639017302845055,120,2015
Combining cryptography with biometrics effectively,"F Hao, R Anderson, J Daugman","University of Cambridge, Computer Laboratory",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16941430170561953152,117,2005
Searching for the optimum correlation attack,R Anderson,"International Workshop on Fast Software Encryption, 137-143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18408444086186952010,117,1994
Chip and Skim: cloning EMV cards with the pre-play attack,"M Bond, O Choudary, SJ Murdoch, S Skorobogatov, R Anderson","2014 IEEE Symposium on Security and Privacy, 49-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7557002989096357483,114,2014
Balanced self-checking asynchronous logic for smart card applications,"S Moore, R Anderson, R Mullins, G Taylor, JJA Fournier","Microprocessors and Microsystems 27 (9), 421-430",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16272062049718617800,108,2003
Database State: A Report Commissioned by the Joseph Rowntree Reform Trust Ltd.,"RJ Anderson, I Brown, T Dowty, W Heath, PG Inglesant",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17433564390315574075,107,2009
UEPS—a Second Generation Electronic Wallet,RJ Anderson,"European Symposium on Research in Computer Security, 411-418",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3832756817542718916,101,1992
Optimised to fail: Card readers for online banking,"S Drimer, SJ Murdoch, R Anderson","International Conference on Financial Cryptography and Data Security, 184-200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7086463710468141630,100,2009
Trusted network binding using ldap (lightweight directory access protocol),"LW Borsato, M Gaudet, I Hamilton, R Anderson, G Waters","US Patent 6,654,891",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18014112394832815579,100,2003
"Information security: where computer science, economics and psychology meet","R Anderson, T Moore","Philosophical Transactions of the Royal Society A: Mathematical, Physical …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11620239440900771169,99,2009
On the reliability of electronic payment systems,"RJ Anderson, SJ Bezuidenhoudt","IEEE Transactions on Software Engineering 22 (5), 294-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17855234151900013303,99,1996
Tools and technology of Internet filtering,"SJ Murdoch, R Anderson","Access denied: The practice and policy of global internet filtering 1 (1), 58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13872819403704968053,94,2008
Liability and computer security: Nine principles,RJ Anderson,"European Symposium on Research in Computer Security, 231-245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4285556019384449812,94,1994
Pin skimmer: Inferring pins through the camera and microphone,"L Simon, R Anderson",Proceedings of the Third ACM workshop on Security and privacy in smartphones …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2550622136004936800,93,2013
Clinical system security: interim guidelines,R Anderson,"BMJ 312 (7023), 109-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12375762969984606107,92,1996
On the Security Economics of Electricity Metering.,"RJ Anderson, S Fuloria",WEIS,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6986711337547881488,91,2010
The xenoservice-a distributed defeat for distributed denial of service,"J Yan, S Early, R Anderson",Proceedings of ISW 2000,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10224427543331222469,91,2000
