Title,Authors,Platform,Cited_url,Cited_count,Year
Mercury CSD 2.0–new features for the visualization and investigation of crystal structures,"CF Macrae, IJ Bruno, JA Chisholm, PR Edgington, P McCabe, E Pidcock, ...","Journal of Applied Crystallography 41 (2), 466-470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5190858075072421774,6838,2008
"Development of a Cambridge Structural Database subset: a collection of metal–organic frameworks for past, present, and future","PZ Moghadam, A Li, SB Wiggin, A Tao, AGP Maloney, PA Wood, ...","Chemistry of Materials 29 (7), 2618-2625",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12069137661178024932,219,2017
A single-molecule magnet with a “twist”,"CJ Milios, A Vinslava, PA Wood, S Parsons, W Wernsdorfer, G Christou, ...","Journal of the American Chemical Society 129 (1), 8-9",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7836903154620963880,201,2007
Hydrogen-bond directionality at the donor H atom—analysis of interaction energies and database statistics,"PA Wood, FH Allen, E Pidcock","CrystEngComm 11 (8), 1563-1571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=513694413917058257,166,2009
Spin switching via targeted structural distortion,"CJ Milios, A Vinslava, W Wernsdorfer, A Prescimone, PA Wood, ...","Journal of the American Chemical Society 129 (20), 6547-6561",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1207413535276266582,150,2007
Analysis of 50 crystal structures containing carbamazepine using the materials module of mercury CSD,"SL Childs, PA Wood, N Rodríguez-Hornedo, LS Reddy, KI Hardcastle","Crystal Growth and Design 9 (4), 1869-1888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3605662610124626109,141,2009
WebCSD: the online portal to the Cambridge Structural Database,"IR Thomas, IJ Bruno, JC Cole, CF Macrae, E Pidcock, PA Wood","Journal of applied crystallography 43 (2), 362-366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16597554055895026369,118,2010
High-pressure polymorphism in amino acids,"SA Moggach, S Parsons, PA Wood","Crystallography Reviews 14 (2), 143-184",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1012591539052722960,104,2008
Orthogonal dipolar interactions between amide carbonyl groups,"FR Fischer, PA Wood, FH Allen, F Diederich","Proceedings of the National Academy of Sciences 105 (45), 17290-17294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1664162688225857892,95,2008
Analysis of the compression of molecular crystal structures using Hirshfeld surfaces,"PA Wood, JJ McKinnon, S Parsons, E Pidcock, MA Spackman","CrystEngComm 10 (4), 368-376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5062710160996120802,90,2008
Remediation methods for contaminated sites,PA Wood,"Contaminated land and its reclamation, 47-71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4024362723977510130,76,1997
New software for statistical analysis of Cambridge Structural Database data,"RA Sykes, P McCabe, FH Allen, GM Battle, IJ Bruno, PA Wood","Journal of applied crystallography 44 (4), 882-886",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=505950138994044895,71,2011
Knowledge-based approaches to co-crystal design,"PA Wood, N Feeder, M Furlow, PTA Galek, CR Groom, E Pidcock","CrystEngComm 16 (26), 5839-5848",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16568947697959015408,69,2014
The hydrogen bond environments of 1 H-tetrazole and tetrazolate rings: the structural basis for tetrazole–carboxylic acid bioisosterism,"FH Allen, CR Groom, JW Liebeschuetz, DA Bardwell, TSG Olsson, ...","Journal of chemical information and modeling 52 (3), 857-866",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15550701161187881054,58,2012
The use of methylsalicyloxime in manganese chemistry: A [Mn3III] triangle and its oxidation to a [Mn4IVCe2III] rod,"CJ Milios, PA Wood, S Parsons, D Foguet-Albiol, C Lampropoulos, ...","Inorganica Chimica Acta 360 (13), 3932-3940",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17103093167215266390,55,2007
Evaluation of molecular crystal structures using Full Interaction Maps,"PA Wood, TSG Olsson, JC Cole, SJ Cottrell, N Feeder, PTA Galek, ...","CrystEngComm 15 (1), 65-72",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16114141137436971370,52,2013
"Effect of pressure on the crystal structure of salicylaldoxime-I, and the structure of salicylaldoxime-II at 5.93 GPa","PA Wood, RS Forgan, D Henderson, S Parsons, E Pidcock, PA Tasker, ...","Acta Crystallographica Section B: Structural Science 62 (6), 1099-1111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9556867303244270355,48,2006
Interaction geometries and energies of hydrogen bonds to C= O and C= S acceptors: a comparative study,"PA Wood, E Pidcock, FH Allen","Acta Crystallographica Section B: Structural Science 64 (4), 491-496",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6281480147537771551,44,2008
Tunable dipolar magnetism in high-spin molecular clusters,"M Evangelisti, A Candini, A Ghirri, M Affronte, GW Powell, IA Gass, ...","Physical review letters 97 (16), 167202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14629979723013193150,44,2006
High-pressure polymorphism in salicylamide,"RDL Johnstone, AR Lennie, SF Parker, S Parsons, E Pidcock, ...","CrystEngComm 12 (4), 1065-1078",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=511215878553293521,38,2010
Dipolar C≡ N⋯ C≡ N interactions in organic crystal structures: database analysis and calculation of interaction energies,"PA Wood, SJ Borwick, DJ Watkin, WDS Motherwell, FH Allen","Acta Crystallographica Section B: Structural Science 64 (3), 393-396",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=935473592142989963,37,2008
A study of the high-pressure polymorphs of L-serine using ab initio structures and PIXEL calculations,"PA Wood, D Francis, WG Marshall, SA Moggach, S Parsons, E Pidcock, ...","CrystEngComm 10 (9), 1154-1166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13736978110117662694,35,2008
One in half a million: a solid form informatics study of a pharmaceutical crystal structure,"PTA Galek, E Pidcock, PA Wood, IJ Bruno, CR Groom","CrystEngComm 14 (7), 2391-2403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12713470755451078499,34,2012
Whole-genome sequencing coupled to imputation discovers genetic signals for anthropometric traits,"I Tachmazidou, D Süveges, JL Min, GRS Ritchie, J Steinberg, K Walter, ...","The American Journal of Human Genetics 100 (6), 865-884","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11497197761131768047,10891133092722716625",33,2017
"1, 4, 5, 8, 9, 12-hexamethyltriphenylene. A molecule with a flipping twist","Y Wang, AD Stretton, MC McConnell, PA Wood, S Parsons, JB Henry, ...","Journal of the American Chemical Society 129 (43), 13193-13200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1028077421829533188,33,2007
Design of a data model for developing laboratory information management and analysis systems for protein production,"A Pajon, J Ionides, J Diprose, J Fillon, R Fogh, AW Ashton, H Berman, ...","PROTEINS: Structure, Function, and Bioinformatics 58 (2), 278-284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17872941912361161758,31,2004
Using the outer coordination sphere to tune the strength of metal extractants,"RS Forgan, BD Roach, PA Wood, FJ White, J Campbell, DK Henderson, ...","Inorganic chemistry 50 (10), 4515-4522",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7556103755311236060,30,2011
"Hydrogen-bond coordination in organic crystal structures: statistics, predictions and applications","PTA Galek, JA Chisholm, E Pidcock, PA Wood","Acta Crystallographica Section B: Structural Science, Crystal Engineering …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7536044178378726454,29,2014
Discovery of three polymorphs of 7-fluoroisatin reveals challenges in using computational crystal structure prediction as a complement to experimental screening,"S Mohamed, SA Barnett, DA Tocher, SL Price, K Shankland, CK Leech","CrystEngComm 10 (4), 399-404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=42037424763947141,28,2008
Role of chloroform and dichloromethane solvent molecules in crystal packing: an interaction propensity study,"FH Allen, PA Wood, PTA Galek","Acta Crystallographica Section B: Structural Science, Crystal Engineering …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2420675484571745424,25,2013
"Synthesis, characterisation and photochemistry of Pt IV pyridyl azido acetato complexes","FS Mackay, NJ Farrer, L Salassa, HC Tai, RJ Deeth, SA Moggach, ...","Dalton Transactions, 2315-2325",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5747138715745149559,25,2009
Applications of leverage analysis in structure refinement,"S Parsons, T Wagner, O Presly, PA Wood, RI Cooper","Journal of Applied Crystallography 45 (3), 417-429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18331118753669113230,23,2012
Isostructurality in pharmaceutical salts: How often and how similar?,"PA Wood, MA Oliveira, A Zink, MB Hickey","CrystEngComm 14 (7), 2413-2421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3294897417648840960,19,2012
An optimized force field for crystalline phases of resorcinol,"J Chatchawalsaisin, J Kendrick, SC Tuble, J Anwar","CrystEngComm 10 (4), 437-445",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4492067803084598200,17,2008
"The Anisotropic Compression of the Crystal Structure of 3-Aza-bicyclo (3.3. 1) nonane-2, 4-dione to 7.1 GPa","PA Wood, DA Haynes, AR Lennie, WDS Motherwell, S Parsons, ...","Crystal Growth and Design 8 (2), 549-558",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1116487718052196881,16,2008
