Title,Authors,Platform,Cited_url,Cited_count,Year
"Diffusions, Markov processes and martingales: Volume 2, Itô calculus","LCG Rogers, D Williams",Cambridge university press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16771468656189735735,9219992334903229014,4742540253687401293,4476583627434698878,2978043980310798055,11334504767348167259",3699,2000
The value of an Asian option,"LCG Rogers, Z Shi","Journal of Applied Probability 32 (4), 1077-1088",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6852915810204438079,690,1995
Arbitrage with fractional Brownian motion,LCG Rogers,"Mathematical Finance 7 (1), 95-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13606700876468726106,629,1997
Monte Carlo valuation of American options,LCG Rogers,"Mathematical Finance 12 (3), 271-286",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11177726411816704330,608,2002
"Estimating variance from high, low and closing prices","LCG Rogers, SE Satchell","The Annals of Applied Probability, 504-512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17494697545953949639,602,1991
Second memoir on the expansion of certain infinite products,LJ Rogers,"Proceedings of the London Mathematical Society 1 (1), 318-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7063554920854851946,584,1893
"Diffusions, Markov processes, and martingales: Itô calculus","D Williams, LCG Rogers",John Wiley & Sons Incorporated,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2732446865971839401,353,1987
Complete models with stochastic volatility,"DG Hobson, LCG Rogers","Mathematical Finance 8 (1), 27-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17607351431905419353,348,1998
Lecture notes in mathematics,"R Carmona, I Ekeland, A Kohatsu-Higa, JM Lasry, PL Lions, H Pham",Springer-Verlag,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9154778618218257921,8018682083511419148,4458925886533967688,3007766012955765471,2396665609470970171,2690563299839689546,6024636960931779225,8854948787315326601,17320205280925696900,3298076095531362373,5836004639159734294",317,2007
Optimal capital structure and endogenous default,"B Hilberink, LCG Rogers","Finance and Stochastics 6 (2), 237-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11593581561893233242,256,2002
The potential approach to the term structure of interest rates and foreign exchange rates,LCG Rogers,"Mathematical Finance 7 (2), 157-176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11543607447971109235,241,1997
Fluid models in queueing theory and Wiener-Hopf factorization of Markov chains,LCG Rogers,"The Annals of Applied Probability 4 (2), 390-413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18169879001014614726,238,1994
Markov functions,"LCG Rogers, JW Pitman","The Annals of Probability 9 (4), 573-582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17988919188329218149,237,1981
Failure and rescue in an interbank network,"LCG Rogers, LAM Veraart","Management Science 59 (4), 882-898",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13402458642933288062,225,2013
Proof of certain identities in combinatory analysis,"S Ramanujan, LJ Rogers","Proc. Cambridge Philos. Soc 19, 214-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16364339189327023651,219,1919
On two theorems of combinatory analysis and some allied identities,LJ Rogers,"Proceedings of the London Mathematical Society 2 (1), 315-336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=369962189023582602,215,1917
Which model for term-structure of interest rates should one use?,LCG Rogers,"IMA Volumes in Mathematics and Its Applications 65, 93-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10119460312622474103,211,1995
Convergence of numerical schemes for degenerate parabolic equations arising in finance theory,G Barles,Numerical methods in finance 13 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10056715586160489649,186,1997
Robust hedging of barrier options,"H Brown, D Hobson, LCG Rogers","Mathematical Finance 11 (3), 285-314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9706655703062940860,167,2001
The relaxed investor and parameter uncertainty,LCG Rogers,"Finance and Stochastics 5 (2), 131-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15920730939399810008,166,2001
Equivalent martingale measures and no-arbitrage,LCG Rogers,Stochastics: An International Journal of Probability and Stochastic …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7876417381785842566,163,1994
