Title,Authors,Platform,Cited_url,Cited_count,Year
The development of a six‐item short‐form of the state scale of the Spielberger State—Trait Anxiety Inventory (STAI),"TM Marteau, H Bekker","British Journal of Clinical Psychology 31 (3), 301-306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15730391564418655777,1816,1992
"Consensus development methods, and their use in clinical guideline development.","MK Murphy, NA Black, DL Lamping, CM McKee, CF Sanderson, ...","Health technology assessment (Winchester, England) 2 (3), i-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3955722876284763654,1437,1998
The Multicentre Aneurysm Screening Study (MASS) into the effect of abdominal aortic aneurysm screening on mortality in men: a randomised controlled trial,"RAP Scott, Multicentre Aneurysm Screening Study Group","The Lancet 360 (9345), 1531-1539","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8869464398287155662,4338273091985231345",1193,2002
The place of inter-rater reliability in qualitative research: an empirical study,"D Armstrong, A Gosling, J Weinman, T Marteau","Sociology 31 (3), 597-606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17150819309655335791,862,1997
A measure of informed choice,"TM Marteau, E Dormandy, S Michie","Health expectations 4 (2), 99-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11057242988521015571,638,2001
Will genetics revolutionize medicine?,"NA Holtzman, TM Marteau","New England Journal of Medicine 343 (2), 141-144","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17060519578278705265,15978922252012753118",511,2000
Judging nudging: can nudging improve population health?,"TM Marteau, D Ogilvie, M Roland, M Suhrcke, MP Kelly","Bmj 342, d228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10979820275715244059,510,2011
Changing human behavior to prevent disease: the importance of targeting automatic processes,"TM Marteau, GJ Hollands, PC Fletcher","science 337 (6101), 1492-1495",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16584778332545164881,504,2012
Randomised controlled trial evaluating cardiovascular screening and intervention in general practice: principal results of British family heart study,"DA Wood, AL Kinmonth, GA Davies, J Yarwood, SG Thompson, ...","Bmj 308 (6924), 313-320",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13186766657352645866,460,1994
An implementation research agenda,"MP Eccles, D Armstrong, R Baker, K Cleary, H Davies, S Davies, ...","Implementation Science 4 (1), 18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10931143756554757532,417,2009
Genetic risk and behavioural change,"TM Marteau, C Lerman","Bmj 322 (7293), 1056-1059",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15138036141446406543,389,2001
Psychological consequences of predictive genetic testing: a systematic review,"M Broadstock, S Michie, T Marteau","European Journal of Human Genetics 8 (10), 731",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15458370950043932842,387,2000
"Termination rates after prenatal diagnosis of Down syndrome, spina bifida, anencephaly, and Turner and Klinefelter syndromes: a systematic literature review","C Mansfield, S Hopfer, TM Marteau",Prenatal Diagnosis: Published in Affiliation With the International Society …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16681834183508895433,308,1999
Lay understanding of familial risk of common chronic diseases: a systematic review and synthesis of qualitative research,"FM Walter, J Emery, D Braithwaite, TM Marteau","The Annals of Family Medicine 2 (6), 583-594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10535062936075442502,304,2004
General practitioners’ and family physicians’ negative beliefs and attitudes towards discussing smoking cessation with patients: a systematic review,"F Vogt, S Hall, TM Marteau","Addiction 100 (10), 1423-1431",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16022064472065088288,303,2005
Consensus development methods: a review of best practice in creating clinical guidelines,"N Black, M Murphy, D Lamping, M McKee, C Sanderson, J Askham, ...","Journal of health services research & policy 4 (4), 236-248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5025958235749158798,301,1999
Framing of information: Its influence upon decisions of doctors and patients,TM Marteau,"British Journal of Social Psychology 28 (1), 89-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15067402718370296369,294,1989
Effects of communicating DNA‐based disease risk estimates on risk‐reducing behaviours,"TM Marteau, DP French, SJ Griffin, AT Prevost, S Sutton, C Watkinson, ...",Cochrane Database of Systematic Reviews,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8868164809430520992,270,2010
The new genetics: psychological responses to genetic testing,"TM Marteau, RT Croyle","Bmj 316 (7132), 693-696",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17889670438932534927,267,1998
Using financial incentives to achieve healthy behaviour,"TM Marteau, RE Ashcroft, A Oliver","Bmj 338, b1415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4099510693930166947,254,2009
Self-regulation and the behavioural response to DNA risk information: a theoretical analysis and framework for future research,"TM Marteau, J Weinman","Social science & medicine 62 (6), 1360-1368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16496548682760153288,254,2006
"Portion, package or tableware size for changing selection and consumption of food, alcohol and tobacco","GJ Hollands, I Shemilt, TM Marteau, SA Jebb, HB Lewis, Y Wei, ...",Cochrane database of systematic reviews,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=693631908538519290,240,2015
Psychological costs of screening.,TM Marteau,"BMJ: British Medical Journal 299 (6698), 527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17409508178953952356,233,1989
Psychological impact of predicting individuals’ risks of illness: a systematic review,"C Shaw, K Abrams, TM Marteau","Social Science & Medicine 49 (12), 1571-1598",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3560030911702438609,231,1999
Multicentre aneurysm screening study (MASS): cost effectiveness analysis of screening for abdominal aortic aneurysms based on four year results from randomised controlled trial,Multicentre Aneurysm Screening Study Group,"BMJ: British Medical Journal 325 (7373), 1135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1846558675077761305,226,2002
The impact of communicating genetic risks of disease on risk-reducing health behaviour: systematic review with meta-analysis,"GJ Hollands, DP French, SJ Griffin, AT Prevost, S Sutton, S King, ...","bmj 352, i1102","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5432739584186066933,4442448089268111154",223,2016
The multi-dimensional measure of informed choice: a validation study,"S Michie, E Dormandy, TM Marteau","Patient education and counseling 48 (1), 87-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1391534560596012435,215,2002
The troubled helix: Social and psychological implications of the new human genetics,"T Marteau, M Richards",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3659919640591730697,213,1999
Uptake of cystic fibrosis testing in primary care: supply push or demand pull?,"H Bekker, M Modell, G Denniss, A Silver, C Mathew, M Bobrow, T Marteau","Bmj 306 (6892), 1584-1586",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13870644818569100664,208,1993
Deflating the genomic bubble,"JP Evans, EM Meslin, TM Marteau, T Caulfield","Science 331 (6019), 861-862",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=57239098921802066,205,2011
"Families, kinship and genetics",M Richards,The troubled helix: Social and psychological implications of the new human …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13250183833251355766,205,1996
Nondirectiveness in genetic counseling: an empirical study.,"S Michie, F Bron, M Bobrow, TM Marteau","American journal of human genetics 60 (1), 40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13012935717252219430,202,1997
Will genetic testing for predisposition for disease result in fatalism? A qualitative study of parents responses to neonatal screening for familial hypercholesterolaemia,"V Senior, TM Marteau, TJ Peters","Social science & medicine 48 (12), 1857-1860",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2163514495165423605,201,1999
Altering micro-environments to change population health behaviour: towards an evidence base for choice architecture interventions,"GJ Hollands, I Shemilt, TM Marteau, SA Jebb, MP Kelly, R Nakamura, ...","BMC public health 13 (1), 1218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11725877698491042278,199,2013
Psychological impact of human papillomavirus testing in women with borderline or mildly dyskaryotic cervical smear test results: cross sectional questionnaire study,"E Maissi, TM Marteau, M Hankins, S Moss, R Legood, A Gray","Bmj 328 (7451), 1293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15528398010557913658,194,2004
Public acceptability of government intervention to change health-related behaviours: a systematic review and narrative synthesis,"S Diepeveen, T Ling, M Suhrcke, M Roland, TM Marteau","BMC public health 13 (1), 756","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14981826251749605640,9643030146240888226",186,2013
Health behavior changes after genetic risk assessment for Alzheimer disease: The REVEAL Study,"S Chao, JS Roberts, TM Marteau, R Silliman, LA Cupples, RC Green","Alzheimer disease and associated disorders 22 (1), 94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4363766581874583869,186,2008
Psychological impact of genetic testing for familial hypercholesterolemia within a previously aware population: a randomized controlled trial,"T Marteau, V Senior, SE Humphries, M Bobrow, T Cranston, MA Crook, ...","American journal of medical genetics Part A 128 (3), 285-293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7825268159582110190,185,2004
Using aversive images to enhance healthy food choices and implicit attitudes: An experimental test of evaluative conditioning.,"GJ Hollands, A Prestwich, TM Marteau","Health Psychology 30 (2), 195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2184057404270384307,175,2011
