Title,Authors,Platform,Cited_url,Cited_count,Year
Self-concentration and large-scale coherence in bacterial dynamics,"C Dombrowski, L Cisneros, S Chatkaew, RE Goldstein, JO Kessler","Physical review letters 93 (9), 098103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2267097591500374234,720,2004
Biotechnology at low Reynolds numbers,"JP Brody, P Yager, RE Goldstein, RH Austin","Biophysical journal 71 (6), 3430-3441",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14470245493046526095,620,1996
Meso-scale turbulence in living fluids,"HH Wensink, J Dunkel, S Heidenreich, K Drescher, RE Goldstein, ...","Proceedings of the National Academy of Sciences 109 (36), 14308-14313",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2269530200552654504,524,2012
Concentration dependence of the collective dynamics of swimming bacteria,"A Sokolov, IS Aranson, JO Kessler, RE Goldstein","Physical review letters 98 (15), 158102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9145150727427198271,512,2007
Fluid dynamics and noise in bacterial cell–cell and cell–surface scattering,"K Drescher, J Dunkel, LH Cisneros, S Ganguly, RE Goldstein","Proceedings of the National Academy of Sciences 108 (27), 10940-10945",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14282208635562479067,494,2011
Bacterial swimming and oxygen transport near contact lines,"I Tuval, L Cisneros, C Dombrowski, CW Wolgemuth, JO Kessler, ...","Proceedings of the National Academy of Sciences 102 (7), 2277-2282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18000359207096687222,381,2005
Chlamydomonas swims with two “gears” in a eukaryotic version of run-and-tumble locomotion,"M Polin, I Tuval, K Drescher, JP Gollub, RE Goldstein","Science 325 (5939), 487-490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12668664525068512179,322,2009
Dynamics of enhanced tracer diffusion in suspensions of swimming eukaryotic microorganisms,"KC Leptos, JS Guasto, JP Gollub, AI Pesci, RE Goldstein","Physical Review Letters 103 (19), 198103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15226878578554845029,298,2009
Direct measurement of the flow field around swimming microorganisms,"K Drescher, RE Goldstein, N Michel, M Polin, I Tuval","Physical Review Letters 105 (16), 168101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2062770176910080882,296,2010
Fluid dynamics of bacterial turbulence,"J Dunkel, S Heidenreich, K Drescher, HH Wensink, M Bär, RE Goldstein","Physical review letters 110 (22), 228102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7559166478163232006,290,2013
The Korteweg–de Vries hierarchy as dynamics of closed curves in the plane,"RE Goldstein, DM Petrich","Physical review letters 67 (23), 3203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5114518410494851882,284,1991
Dancing ,"K Drescher, KC Leptos, I Tuval, T Ishikawa, TJ Pedley, RE Goldstein","Physical Review Letters 102 (16), 168101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4076182481183497006,263,2009
"Fluid dynamics of self-propelled microorganisms, from individuals to concentrated populations","LH Cisneros, R Cortez, C Dombrowski, RE Goldstein, JO Kessler","Animal Locomotion, 99-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1008614832610224453,256,2010
Flexive and propulsive dynamics of elastica at low Reynolds number,"CH Wiggins, RE Goldstein","Physical Review Letters 80 (17), 3879",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12184751159506377636,227,1998
Trapping and wiggling: elastohydrodynamics of driven microfilaments,"CH Wiggins, D Riveline, A Ott, RE Goldstein","Biophysical Journal 74 (2), 1043-1060",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16640593435237975828,224,1998
Confinement stabilizes a bacterial suspension into a spiral vortex,"H Wioland, FG Woodhouse, J Dunkel, JO Kessler, RE Goldstein","Physical review letters 110 (26), 268102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5490386929156160372,218,2013
Competing Patterns of Signaling Activity in ,"KJ Lee, EC Cox, RE Goldstein","Physical review letters 76 (7), 1174",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6499263457417096519,215,1996
Fluid flows created by swimming bacteria drive self-organization in confined suspensions,"E Lushi, H Wioland, RE Goldstein","Proceedings of the National Academy of Sciences 111 (27), 9733-9738",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=826596655596057999,209,2014
Fluid-membrane tethers: minimal surfaces and elastic boundary layers,"TR Powers, G Huber, RE Goldstein","Physical Review E 65 (4), 041901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10359161722340482800,206,2002
Dynamics of labyrinthine pattern formation in magnetic fluids,"SA Langer, RE Goldstein, DP Jackson","Physical Review A 46 (8), 4894",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6924726582983229361,201,1992
Droplet breakup in a model of the Hele-Shaw cell,"P Constantin, TF Dupont, RE Goldstein, LP Kadanoff, MJ Shelley, ...","Physical Review E 47 (6), 4169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8358058898834777746,181,1993
Green algae as model organisms for biological fluid dynamics,RE Goldstein,"Annual review of fluid mechanics 47, 343-375","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12356307223725973714,2731098393714138042",177,2015
Nonlinear dynamics of stiff polymers,"RE Goldstein, SA Langer","Physical review letters 75 (6), 1094",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16512615141236202535,170,1995
Ciliary contact interactions dominate surface scattering of swimming eukaryotes,"V Kantsler, J Dunkel, M Polin, RE Goldstein","Proceedings of the National Academy of Sciences 110 (4), 1187-1192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16795684577266637623,169,2013
Labyrinthine pattern formation in magnetic fluids,"AJ Dickstein, S Erramilli, RE Goldstein, DP Jackson, SA Langer","Science 261 (5124), 1012-1015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9656620707523126451,169,1993
Enhanced mixing and spatial instability in concentrated bacterial suspensions,"A Sokolov, RE Goldstein, FI Feldchtein, IS Aranson","Physical Review E 80 (3), 031903",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15782058815370910590,168,2009
Noise and synchronization in pairs of beating eukaryotic flagella,"RE Goldstein, M Polin, I Tuval","Physical review letters 103 (16), 168103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=173048420128895694,161,2009
Model for dynamical coherence in thin films of self-propelled microorganisms,"IS Aranson, A Sokolov, JO Kessler, RE Goldstein","Physical Review E 75 (4), 040901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13613455518909608110,154,2007
Insights into the Evolution of Vitamin B,"KE Helliwell, GL Wheeler, KC Leptos, RE Goldstein, AG Smith","Molecular biology and evolution 28 (10), 2921-2933",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15476672967567084850,152,2011
Rheotaxis facilitates upstream navigation of mammalian sperm cells,"V Kantsler, J Dunkel, M Blayney, RE Goldstein","Elife 3, e02403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2087499282076124674,147,2014
Parity-breaking transitions of modulated patterns in hydrodynamic systems,"P Coullet, RE Goldstein, GH Gunaratne","Physical review letters 63 (18), 1954",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4002454512396379618,143,1989
On the theory of lower critical solution points in hydrogen‐bonded mixtures,RE Goldstein,"The Journal of chemical physics 80 (10), 5340-5341",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=534084927532598625,143,1984
Interface proliferation and the growth of labyrinths in a reaction-diffusion system,"RE Goldstein, DJ Muraki, DM Petrich","Physical Review E 53 (4), 3933",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14724626363908127160,136,1996
Twirling and whirling: Viscous dynamics of rotating elastic filaments,"CW Wolgemuth, TR Powers, RE Goldstein","Physical Review Letters 84 (7), 1623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4562736911768154355,133,2000
Viscous nonlinear dynamics of twist and writhe,"RE Goldstein, TR Powers, CH Wiggins","Physical Review Letters 80 (23), 5232",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3287924251266596505,128,1998
Hydrodynamics of fingering instabilities in dipolar fluids,"DP Jackson, RE Goldstein, AO Cebers","Physical Review E 50 (1), 298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16046369612363320832,128,1994
Flows driven by flagella of multicellular organisms enhance long-range molecular transport,"MB Short, CA Solari, S Ganguly, TR Powers, JO Kessler, RE Goldstein","Proceedings of the National Academy of Sciences 103 (22), 8315-8319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14287229952527767098,126,2006
Cytoplasmic streaming enables the distribution of molecules and vesicles in large plant cells,"J Verchot-Lubicz, RE Goldstein","Protoplasma 240 (1-4), 99-107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=230610593190170369,125,2010
Model for phase equilibria in micellar solutions of nonionic surfactants,RE Goldstein,"The Journal of chemical physics 84 (6), 3367-3378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9026757176399090484,123,1986
Spontaneous circulation of confined active suspensions,"FG Woodhouse, RE Goldstein","Physical review letters 109 (16), 168105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1734133767149893449,120,2012
Dynamics of swimming bacteria: Transition to directional order at high concentration,"LH Cisneros, JO Kessler, S Ganguly, RE Goldstein","Physical Review E 83 (6), 061907",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2600237375599872463,118,2011
"Theory of multiple phase separations in binary mixtures: Phase diagrams, thermodynamic properties, and comparisons with experiments","RE Goldstein, JS Walker","The Journal of Chemical Physics 78 (3), 1492-1512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3101427921435260796,115,1983
Bistable helices,"RE Goldstein, A Goriely, G Huber, CW Wolgemuth","Physical review letters 84 (7), 1631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5580805331951401875,114,2000
Flagellar synchronization through direct hydrodynamic interactions,"DR Brumley, KY Wan, M Polin, RE Goldstein","Elife 3, e02750",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15715271898222229908,109,2014
