Title,Authors,Platform,Cited_url,Cited_count,Year
Seeing things: consumer response to the visual domain in product design,"N Crilly, J Moultrie, PJ Clarkson","Design studies 25 (6), 547-577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3237556364645296631,979,2004
Predicting change propagation in complex design,"PJ Clarkson, C Simons, C Eckert","Journal of Mechanical Design 126 (5), 788-797",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15375469083062341838,777,2004
Change and customisation in complex engineering domains,"C Eckert, PJ Clarkson, W Zanker","Research in engineering design 15 (1), 1-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16762246478441611364,601,2004
Inclusive design: Design for the whole population,"PJ Clarkson, R Coleman, S Keates, C Lebbon",Springer Science & Business Media,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16367587758931281759,489,2013
A species conserving genetic algorithm for multimodal function optimization,"JP Li, ME Balazs, GT Parks, PJ Clarkson","Evolutionary computation 10 (3), 207-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2614971660661151753,483,2002
Countering design exclusion,"S Keates, J Clarkson","Inclusive Design, 438-453","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1625487122940704629,596981310805633470",396,2003
Engineering change: an overview and perspective on the literature,"TAW Jarratt, CM Eckert, NHM Caldwell, PJ Clarkson","Research in engineering design 22 (2), 103-124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11813435733620745003,318,2011
Design process improvement: a review of current practice,"J Clarkson, C Eckert",Springer Science & Business Media,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16152289386708154701,295,2010
Change propagation analysis in complex technical systems,"M Giffin, O de Weck, G Bounova, R Keller, C Eckert, PJ Clarkson","Journal of Mechanical Design 131 (8), 081001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14761190045670548482,283,2009
Graphic elicitation: using research diagrams as interview stimuli,"N Crilly, AF Blackwell, PJ Clarkson","Qualitative research 6 (3), 341-366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17120310725060999188,268,2006
A simulated annealing algorithm for multiobjective optimization,"A Suppapitnarm, KA Seffen, GT Parks, PJ Clarkson","Engineering optimization 33 (1), 59-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18273050101929169267,256,2000
"‘Signposting’, a parameter-driven task-based model of the design process","PJ Clarkson, JR Hamilton","Research in Engineering Design 12 (1), 18-38",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15057347498454434780,213,2000
Assessing organizational capabilities: reviewing and guiding the development of maturity grids,"AM Maier, J Moultrie, PJ Clarkson","IEEE transactions on engineering management 59 (1), 138-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4581511276930827894,209,2011
Development of a Design Audit Tool for SMEs,"J Moultrie, PJ Clarkson, D Probert","Journal of Product Innovation Management 24 (4), 335-368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4646127994982882408,176,2007
Design as communication: exploring the validity and utility of relating intention to interpretation,"N Crilly, D Good, D Matravers, PJ Clarkson","Design Studies 29 (5), 425-457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14220690566245670789,168,2008
Shaping things: intended consumer response and the other determinants of product form,"N Crilly, J Moultrie, PJ Clarkson","Design studies 30 (3), 224-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10000910618052753561,156,2009
History of Inclusive Design in the UK,"PJ Clarkson, R Coleman","Applied ergonomics 46, 235-247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6715739828086681177,155,2015
The development of a multi-objective Tabu Search algorithm for continuous optimisation problems,"DM Jaeggi, GT Parks, T Kipouros, PJ Clarkson","European Journal of Operational Research 185 (3), 1192-1212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12501621756958632867,155,2008
