Title,Authors,Platform,Cited_url,Cited_count,Year
In situ observations of catalyst dynamics during surface-bound carbon nanotube nucleation,"S Hofmann, R Sharma, C Ducati, G Du, C Mattevi, C Cepek, M Cantoro, ...","Nano letters 7 (3), 602-608",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3225376765594417165,706,2007
Flexible electronics: the next ubiquitous platform,"A Nathan, A Ahnood, MT Cole, S Lee, Y Suzuki, P Hiralal, F Bonaccorso, ...","Proceedings of the IEEE 100 (Special Centennial Issue), 1486-1517",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=31954280675301899,596,2012
Surface diffusion: the low activation energy path for nanotube growth,"S Hofmann, G Csanyi, AC Ferrari, MC Payne, J Robertson","Physical review letters 95 (3), 036101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11706546056429502487,450,2005
Low-temperature growth of carbon nanotubes by plasma-enhanced chemical vapor deposition,"S Hofmann, C Ducati, J Robertson, B Kleinsorge","Applied Physics Letters 83 (1), 135-137",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15888725591578402234,427,2003
Catalytic chemical vapor deposition of single-wall carbon nanotubes at low temperatures,"M Cantoro, S Hofmann, S Pisana, V Scardaci, A Parvez, C Ducati, ...","Nano Letters 6 (6), 1107-1112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11770013451214718139,363,2006
Raman spectroscopy of silicon nanowires,"S Piscanec, M Cantoro, AC Ferrari, JA Zapien, Y Lifshitz, ST Lee, ...","Physical Review B 68 (24), 241312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7889161227038471252,359,2003
Gold catalyzed growth of silicon nanowires by plasma enhanced chemical vapor deposition,"S Hofmann, C Ducati, RJ Neill, S Piscanec, AC Ferrari, J Geng, ...","Journal of Applied Physics 94 (9), 6005-6012",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3895613824572657546,292,2003
In-situ X-ray photoelectron spectroscopy study of catalyst− support interactions and growth of carbon nanotube forests,"C Mattevi, CT Wirth, S Hofmann, R Blume, M Cantoro, C Ducati, C Cepek, ...","The Journal of Physical Chemistry C 112 (32), 12207-12213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13025406886704516426,269,2008
Ledge-flow-controlled catalyst interface dynamics during Si nanowire growth,"S Hofmann, R Sharma, CT Wirth, F Cervantes-Sodi, C Ducati, T Kasama, ...","Nature materials 7 (5), 372",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15281651859659934846,269,2008
In situ characterization of alloy catalysts for low-temperature graphene growth,"RS Weatherup, BC Bayer, R Blume, C Ducati, C Baehtz, R Schlogl, ...","Nano letters 11 (10), 4154-4160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2009282902961902670,229,2011
Revealing lithium–silicide phase transformations in nano-structured silicon-based lithium ion batteries via ,"K Ogata, E Salager, CJ Kerr, AE Fraser, C Ducati, AJ Morris, S Hofmann, ...","Nature communications 5, 3217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10875158105670485023,223,2014
Nanoscale zirconia as a nonmetallic catalyst for graphitization of carbon and growth of single-and multiwall carbon nanotubes,"SA Steiner III, TF Baumann, BC Bayer, R Blume, MA Worsley, ...","Journal of the American Chemical Society 131 (34), 12144-12154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13326728507723062787,213,2009
Interface dynamics and crystal phase switching in GaAs nanowires,"D Jacobsson, F Panciera, J Tersoff, MC Reuter, S Lehmann, S Hofmann, ...","Nature 531 (7594), 317",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6295937512086412140,193,2016
Direct growth of aligned carbon nanotube field emitter arrays onto plastic substrates,"S Hofmann, C Ducati, B Kleinsorge, J Robertson","Applied Physics Letters 83 (22), 4661-4663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16681123819992925668,193,2003
Observing graphene grow: catalyst–graphene interactions during scalable graphene growth on polycrystalline copper,"PR Kidambi, BC Bayer, R Blume, ZJ Wang, C Baehtz, RS Weatherup, ...","Nano letters 13 (10), 4769-4778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17930230538335597367,182,2013
State of transition metal catalysts during carbon nanotube growth,"S Hofmann, R Blume, CT Wirth, M Cantoro, R Sharma, C Ducati, ...","The Journal of Physical Chemistry C 113 (5), 1648-1656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1108062655056862829,163,2009
Metal oxide induced charge transfer doping and band alignment of graphene electrodes for efficient organic light emitting diodes,"J Meyer, PR Kidambi, BC Bayer, C Weijtens, A Kuhn, A Centeno, ...","Scientific reports 4, 5380",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10004853400405352461,162,2014
The parameter space of graphene chemical vapor deposition on polycrystalline Cu,"PR Kidambi, C Ducati, B Dlubak, D Gardiner, RS Weatherup, MB Martin, ...","The Journal of Physical Chemistry C 116 (42), 22492-22501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14246020728720799804,153,2012
Growth of ultrahigh density vertically aligned carbon nanotube forests for interconnects,"S Esconjauregui, M Fouquet, BC Bayer, C Ducati, R Smajda, S Hofmann, ...","Acs Nano 4 (12), 7431-7436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7754249620871291197,151,2010
