Title,Authors,Platform,Cited_url,Cited_count,Year
Process intensification of biodiesel production using a continuous oscillatory flow reactor,"AP Harvey, MR Mackley, T Seliger",Journal of Chemical Technology & Biotechnology: International Research in …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4963293543929884787,233,2003
Heat transfer and associated energy dissipation for oscillatory flow in baffled tubes,"MR Mackley, P Stonestreet","Chemical Engineering Science 50 (14), 2211-2224",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16100942448337594424,213,1995
"The neurotrophins BDNF, NT‐3 and NT‐4/5, but not NGF, up‐regulate the cholinergic phenotype of developing motor neurons","V Wong, R Arriaga, NY Ip, RM Lindsay","European Journal of Neuroscience 5 (5), 466-474",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6770594968823285914,206,1993
Flow induced polymer chain extension and its relation to fibrous crystallization,"MR Mackley, A Keller",Philosophical Transactions of the Royal Society of London. Series A …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13471129474945357375,179,1975
Experimental observations on flow patterns and energy losses for oscillatory flow in ducts containing sharp edges,"CR Brunold, JCB Hunns, MR Mackley, JW Thompson","Chemical Engineering Science 44 (5), 1227-1244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9777241661744318638,178,1989
Optical microstructure and viscosity enhancement for an epoxy resin matrix containing multiwall carbon nanotubes,"SS Rahatekar, KKK Koziol, SA Butler, JA Elliott, MSP Shaffer, MR Mackley, ...","Journal of Rheology 50 (5), 599-610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10524229896343096858,171,2006
Spin and dip coating of light-emitting polymer solutions: Matching experiment with modelling,"P Yimsiri, MR Mackley","Chemical Engineering Science 61 (11), 3496-3505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=644797510785588658,161,2006
Mixing and dispersion in a baffled tube for steady laminar and pulsatile flow,"MR Mackley, X Ni","Chemical Engineering Science 46 (12), 3139-3151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14749994049634293703,156,1991
Polymer chain extension produced by impinging jets and its effect on polyethylene solution,"FC Frank, A Keller, MR Mackley","Polymer 12 (7), 467-473",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17992724032085905651,156,1971
Flow induced crystallization of polyethylene melts,"MR Mackley, A Keller","Polymer 14 (1), 16-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15705180143903887564,154,1973
Mixing through oscillations and pulsations—a guide to achieving process enhancements in the chemical and process industries,"X Ni, MR Mackley, AP Harvey, P Stonestreet, MHI Baird, NVR Rao","Chemical Engineering Research and Design 81 (3), 373-383",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14869004433021049601,141,2003
A microcapillary flow disc reactor for organic synthesis,"CH Hornung, MR Mackley, IR Baxendale, SV Ley","Organic process research & development 11 (3), 399-405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7115633416271204510,140,2007
 rheo-x-ray investigation of flow-induced orientation in layered silicate–syndiotactic polypropylene nanocomposite melt,"A Lele, M Mackley, G Galgali, C Ramesh","Journal of Rheology 46 (5), 1091-1110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9261794904835799418,140,2002
Experimental heat transfer measurements for pulsatile flow in baffled tubes,"MR Mackley, GM Tweddle, ID Wyatt","Chemical Engineering Science 45 (5), 1237-1242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3060586343298708671,136,1990
Experimental residence time distribution measurements for unsteady flow in baffled tubes,"AW Dickens, MR Mackley, HR Williams","Chemical Engineering Science 44 (7), 1471-1479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5161317056226478594,128,1989
Cross-flow cake filtration mechanisms and kinetics,"MR Mackley, NE Sherman","Chemical engineering science 47 (12), 3067-3084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9734307548813886416,125,1992
Shear induced optical textures and their relaxation behaviour in thermotropic liquid crystalline polymers,"DJ Graziano, MR Mackley","Molecular Crystals and Liquid Crystals 106 (1-2), 73-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7853779822304794196,122,1984
The rheological characterization of polymeric and colloidal fluids,"MR Mackley, RTJ Marshall, J Smeulders, FD Zhao","Chemical Engineering Science 49 (16), 2551-2565",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9169753833182788465,121,1994
The multipass rheometer,"MR Mackley, RTJ Marshall, J Smeulders","Journal of Rheology 39 (6), 1293-1309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8804700837384688884,120,1995
The simulation of chaotic mixing and dispersion for periodic flows in baffled channels,"T Howes, MR Mackley, EPL Roberts","Chemical engineering science 46 (7), 1669-1677",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10028108155380989483,119,1991
Optical textures observed during the shearing of thermotropic liquid-crystal polymers,"NJ Alderman, MR Mackley","Faraday discussions of the Chemical Society 79, 149-160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=676140278532552343,119,1985
Operation and optimization of an oscillatory flow continuous reactor,"AP Harvey, MR Mackley, P Stonestreet","Industrial & Engineering Chemistry Research 40 (23), 5371-5377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4952693966724004230,111,2001
Enhancement of gas-liquid mass transfer using oscillatory flow in a baffled tube,"MR Hewgill, MR Mackley, AB Pandit, SS Pannu","Chemical Engineering Science 48 (4), 799-809",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12310251708649151931,111,1993
Rheological characterization of the time and strain dependence for polyisobutylene solutions,"RF Liang, MR Mackley","Journal of non-newtonian fluid mechanics 52 (3), 387-405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13776223386822499191,108,1994
Experimental fluid dispersion measurements in periodic baffled tube arrays,"MR Mackley, X Ni","Chemical Engineering Science 48 (18), 3293-3305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12811333293450546409,107,1993
