Title,Authors,Platform,Cited_url,Cited_count,Year
Planck 2015 results-XX. Constraints on inflation,"PAR Ade, N Aghanim, M Arnaud, F Arroja, M Ashdown, J Aumont, ...","Astronomy & Astrophysics 594, A20","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13263346436804951033,5715330693348122479,9252417457546752469",2417,2016
: an efficient and robust Bayesian inference tool for cosmology and particle physics,"F Feroz, MP Hobson, M Bridges","Monthly Notices of the Royal Astronomical Society 398 (4), 1601-1614",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13324138061021498972,1604,2009
Planck 2013 results. I. Overview of products and scientific results,"PAR Ade, N Aghanim, MIR Alves, C Armitage-Caplan, M Arnaud, ...","Astronomy & Astrophysics 571, A1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2460750132897826205,10327757148256768912",1331,2014
Multimodal nested sampling: an efficient and robust alternative to Markov Chain Monte Carlo methods for astronomical data analyses,"F Feroz, MP Hobson","Monthly Notices of the Royal Astronomical Society 384 (2), 449-463",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2995078240056681944,1038,2008
Parameter estimation for compact binaries with ground-based gravitational-wave observations using the LALInference software library,"J Veitch, V Raymond, B Farr, W Farr, P Graff, S Vitale, B Aylott, ...","Physical Review D 91 (4), 042003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10997605022452812522,461,2015
Planck 2015 results-xiv. dark energy and modified gravity,"PAR Ade, N Aghanim, M Arnaud, M Ashdown, J Aumont, C Baccigalupi, ...","Astronomy & Astrophysics 594, A14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17926313192297334386,14583797686412969980,16888722258360300713,15917792436135918869,12586255891153635639",403,2016
The impact of priors and observables on parameter inferences in the constrained MSSM,"R Trotta, F Feroz, M Hobson, L Roszkowski, RR de Austri","Journal of High Energy Physics 2008 (12), 024",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=834691227595773169,262,2008
Importance nested sampling and the MultiNest algorithm,"F Feroz, MP Hobson, E Cameron, AN Pettitt",arXiv preprint arXiv:1306.2144,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8791335631659500140,231,2013
The arcminute microkelvin imager,"JTL Zwart, RW Barker, P Biddulph, D Bly, RC Boysen, AR Brown, ...","Monthly Notices of the Royal Astronomical Society 391 (4), 1545-1558",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13613966537040062686,177,2008
Fitting the phenomenological MSSM,"SS AbdusSalam, BC Allanach, F Quevedo, F Feroz, M Hobson","Physical Review D 81 (9), 095012",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15497053323744850236,163,2010
Search for gravitational waves associated with gamma-ray bursts during LIGO science run 6 and Virgo science runs 2 and 3,"J Abadie, BP Abbott, R Abbott, TD Abbott, M Abernathy, T Accadia, ...","The Astrophysical Journal 760 (1), 12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10439378156585384043,157,2012
Parameter estimation for compact binary coalescence signals with the first generation gravitational-wave detector network,"J Aasi, J Abadie, BP Abbott, R Abbott, TD Abbott, M Abernathy, T Accadia, ...","Physical Review D 88 (6), 062001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8252836202709144376,143,2013
All-sky search for gravitational-wave bursts in the second joint LIGO-Virgo run,"J Abadie, BP Abbott, R Abbott, TD Abbott, M Abernathy, T Accadia, ...","Physical Review D 85 (12), 122007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=398329049874609945,141,2012
Planck 2015 results-XXIV. Cosmology from Sunyaev-Zeldovich cluster counts,"PAR Ade, N Aghanim, M Arnaud, M Ashdown, J Aumont, C Baccigalupi, ...","Astronomy & Astrophysics 594, A24","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=81415544625215638,12061904777619915526,14113935950551714013",132,2016
Global Fits of the cMSSM and NUHM including the LHC Higgs discovery and new XENON100 constraints,"C Strege, G Bertone, F Feroz, M Fornasa, RR de Austri, R Trotta","Journal of Cosmology and Astroparticle Physics 2013 (04), 013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14415182755630867020,129,2013
Improved upper limits on the stochastic gravitational-wave background from 2009–2010 Ligo and Virgo data,"J Aasi, BP Abbott, R Abbott, T Abbott, MR Abernathy, T Accadia, ...","Physical review letters 113 (23), 231101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6974052862827252632,114,2014
Einstein@ Home all-sky search for periodic gravitational waves in LIGO S5 data,"J Aasi, J Abadie, BP Abbott, R Abbott, TD Abbott, M Abernathy, T Accadia, ...","Physical Review D 87 (4), 042001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8472210814620541227,112,2013
Bayesian selection of sign μ within mSUGRA in global fits including WMAP5 results,"F Feroz, BC Allanach, M Hobson, SS AbdusSalam, R Trotta, AM Weber","Journal of High Energy Physics 2008 (10), 064",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11026990179633321420,102,2008
Challenges of profile likelihood evaluation in multi-dimensional SUSY scans,"F Feroz, K Cranmer, M Hobson, RR de Austri, R Trotta","Journal of High Energy Physics 2011 (6), 42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=729235040540981886,92,2011
Planck early results. VIII. The all-sky early Sunyaev-Zeldovich cluster sample,"PAR Ade, N Aghanim, M Arnaud, M Ashdown, J Aumont, C Baccigalupi, ...","Astronomy & Astrophysics 536, A8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14056382658590527906,13276456124837857235,13766158668906280394,16301980363280120329",87,2011
S,"P Graff, F Feroz, MP Hobson, A Lasenby","Monthly Notices of the Royal Astronomical Society 441 (2), 1741-1759",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2639247557162041654,80,2014
: a Bayesian approach to pulsar timing analysis,"L Lentati, P Alexander, MP Hobson, F Feroz, R van Haasteren, KJ Lee, ...","Monthly Notices of the Royal Astronomical Society 437 (3), 3004-3023",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17156201885580395670,79,2013
Bayesian analysis of cosmic ray propagation: evidence against homogeneous diffusion,"G Jóhannesson, RR de Austri, AC Vincent, IV Moskalenko, E Orlando, ...","The Astrophysical Journal 824 (1), 16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16533288592077660137,74,2016
First all-sky search for continuous gravitational waves from unknown sources in binary systems,"J Aasi, BP Abbott, R Abbott, T Abbott, MR Abernathy, T Accadia, ...","Physical Review D 90 (6), 062010",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14239659482738855146,70,2014
Upper limits on a stochastic gravitational-wave background using LIGO and Virgo interferometers at 600–1000 Hz,"J Abadie, BP Abbott, R Abbott, TD Abbott, M Abernathy, T Accadia, ...","Physical Review D 85 (12), 122001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5596891509094983920,66,2012
Search for gravitational waves from intermediate mass binary black holes,"J Abadie, BP Abbott, R Abbott, TD Abbott, M Abernathy, T Accadia, ...","Physical Review D 85 (10), 102004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17338833737454721519,63,2012
Bayesian modelling of clusters of galaxies from multifrequency-pointed Sunyaev–Zel'dovich observations,"F Feroz, MP Hobson, JTL Zwart, RDE Saunders, KJB Grainge","Monthly Notices of the Royal Astronomical Society 398 (4), 2049-2060",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6745814033207609325,61,2009
Use of the MULTINEST algorithm for gravitational wave data analysis,"F Feroz, JR Gair, MP Hobson, EK Porter","Classical and Quantum Gravity 26 (21), 215003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17982134639947268192,59,2009
First low-latency LIGO+ Virgo search for binary inspirals and their electromagnetic counterparts,"J Abadie, BP Abbott, R Abbott, TD Abbott, M Abernathy, T Accadia, ...","Astronomy & Astrophysics 541, A155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16988005716319726012,57,2012
The NINJA-2 project: detecting and characterizing gravitational waveforms modelled using numerical binary black hole simulations,"J Aasi, BP Abbott, R Abbott, T Abbott, MR Abernathy, T Accadia, ...","Classical and Quantum Gravity 31 (11), 115004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3475630452687547824,56,2014
