Title,Authors,Platform,Cited_url,Cited_count,Year
CLINICAL PERSPECTIVE,"MW Lorenz, HS Markus, ML Bots, M Rosvall, M Sitzer","Circulation 115 (4), 459-467",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=582367453392951132,3110,2007
Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis,"S Sawcer, G Hellenthal, M Pirinen, CCA Spencer, NA Patsopoulos, ...","Nature 476 (7359), 214","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7783309922267322453,10176934200630863715,7840243314164267502",1908,2011
Guidelines for management of ischaemic stroke and transient ischaemic attack 2008,"European Stroke Organisation (ESO) Executive Committee, ...","Cerebrovascular diseases 25 (5), 457-507","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=333315728087676164,1084530903305502179",1804,2008
The clinical importance of white matter hyperintensities on brain magnetic resonance imaging: systematic review and meta-analysis,"S Debette, HS Markus","Bmj 341, c3666",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2367999427939773336,1416,2010
Carotid artery stenting compared with endarterectomy in patients with symptomatic carotid stenosis (International Carotid Stenting Study): an interim analysis of a randomised …,International Carotid Stenting Study investigators,"The Lancet 375 (9719), 985-997",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12942540228206100910,1230,2010
Dual antiplatelet therapy with clopidogrel and aspirin in symptomatic carotid stenosis evaluated using doppler embolic signal detection: the Clopidogrel and Aspirin for …,"HS Markus, DW Droste, M Kaps, V Larrue, KR Lees, M Siebler, ...","Circulation 111 (17), 2233-2240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15054246389081958206,812,2005
Evidence for cortical “disconnection” as a mechanism of age-related cognitive decline,"M O’Sullivan, DK Jones, PE Summers, RG Morris, SCR Williams, ...","Neurology 57 (4), 632-638",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5739077480446077032,795,2001
Carotid intima-media thickening indicates a higher vascular risk across a wide age range: prospective data from the Carotid Atherosclerosis Progression Study (CAPS),"MW Lorenz, S von Kegler, H Steinmetz, HS Markus, M Sitzer","Stroke 37 (1), 87-92","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5969016142800696780,9621758865234442319",767,2006
A genome-wide association study identifies new psoriasis susceptibility loci and an interaction between ,"A Strange, F Capon, CCA Spencer, J Knight, ME Weale, MH Allen, ...","Nature genetics 42 (11), 985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16537887036069621542,756,2010
Identification of 15 new psoriasis susceptibility loci highlights the role of innate immunity,"LC Tsoi, SL Spain, J Knight, E Ellinghaus, PE Stuart, F Capon, J Ding, ...","Nature genetics 44 (12), 1341",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8303963561660281951,673,2012
Interaction between ,"DM Evans, CCA Spencer, JJ Pointon, Z Su, D Harvey, G Kochan, ...","Nature genetics 43 (8), 761",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15181160161524906119,646,2011
Consensus on microembolus detection by TCD,"EB Ringelstein, DW Droste, VL Babikian, DH Evans, DG Grosset, M Kaps, ...","Stroke 29, 725-729",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2784684174134275284,602,1998
Severely impaired cerebrovascular reactivity predicts stroke and TIA risk in patients with carotid artery stenosis and occlusion,"H Markus, M Cullinane","Brain 124 (3), 457-467",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13755029421920488786,580,2001
Genetics and ischaemic stroke,"A Hassan, HS Markus","Brain 123 (9), 1784-1812",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3887464364532859314,521,2000
A sequence variant in ,"DF Gudbjartsson, H Holm, S Gretarsdottir, G Thorleifsson, GB Walters, ...","Nature genetics 41 (8), 876",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18349141904261008726,465,2009
"Genome-wide association study of ulcerative colitis identifies three new susceptibility loci, including the ","JC Barrett, JC Lee, CW Lees, NJ Prescott, CA Anderson, A Phillips, ...","Nature genetics 41 (12), 1330",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1977462714897574668,447,2009
"Estimation of cerebrovascular reactivity using transcranial Doppler, including the use of breath-holding as the vasodilatory stimulus.","HS Markus, MJ Harrison","Stroke 23 (5), 668-673",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11929760068136189955,437,1992
Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE collaboration): a meta-analysis of genome-wide association studies,"M Traylor, M Farrall, EG Holliday, C Sudlow, JC Hopewell, YC Cheng, ...","The Lancet Neurology 11 (11), 951-962",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1277812461394543900,432,2012
Diffusion tensor MRI correlates with executive dysfunction in patients with ischaemic leukoaraiosis,"M O’Sullivan, RG Morris, B Huckstep, DK Jones, SCR Williams, ...","Journal of Neurology, Neurosurgery & Psychiatry 75 (3), 441-447",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9566352576046373309,422,2004
Markers of endothelial dysfunction in lacunar infarction and ischaemic leukoaraiosis,"A Hassan, BJ Hunt, M O’Sullivan, K Parmar, JM Bamford, D Briley, ...","Brain 126 (2), 424-432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15015816502558856825,422,2003
"Homocysteine is a risk factor for cerebral small vessel disease, acting via endothelial dysfunction","A Hassan, BJ Hunt, M O’Sullivan, R Bell, R D’Souza, S Jeffery, ...","Brain 127 (1), 212-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11085674441209927050,416,2004
Asymptomatic embolisation for prediction of stroke in the Asymptomatic Carotid Emboli Study (ACES): a prospective observational study,"HS Markus, A King, M Shipley, R Topakian, M Cullinane, S Reihill, ...","The Lancet Neurology 9 (7), 663-671",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7538722824015016251,392,2010
White matter damage on diffusion tensor imaging correlates with age-related cognitive decline,"RA Charlton, TR Barrick, DJ McIntyre, Y Shen, M O'sullivan, FA Howe, ...","Neurology 66 (2), 217-222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5639193591942554992,392,2006
"Clopidogrel plus aspirin versus aspirin alone for reducing embolisation in patients with acute symptomatic cerebral or carotid artery stenosis (CLAIR study): a randomised, open …","KSL Wong, C Chen, J Fu, HM Chang, NC Suwanwela, YN Huang, Z Han, ...","The Lancet Neurology 9 (5), 489-497",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7671317016426488118,387,2010
Analysis of shared heritability in common disorders of the brain,"V Anttila, B Bulik-Sullivan, HK Finucane, RK Walters, J Bras, L Duncan, ...","Science 360 (6395), eaap8757",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1633313540292930296,378,2018
Asymptomatic embolization predicts stroke and TIA risk in patients with carotid artery stenosis,"J Molloy, HS Markus","Stroke 30 (7), 1440-1443",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1061584892589747055,373,1999
Common variants near ,"K Zhou, C Bellenguez, CCA Spencer, AJ Bennett, RL Coleman, ...","Nature genetics 43 (2), 117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13906338576769480024,348,2011
Diagnostic strategies in CADASIL,"HS Markus, RJ Martin, MA Simpson, YB Dong, N Ali, AH Crosby, ...","Neurology 59 (8), 1134-1138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8199821231639865192,348,2002
Patterns of cerebral blood flow reduction in patients with ischemic leukoaraiosis,"M O’sullivan, DJ Lythgoe, AC Pereira, PE Summers, JM Jarosz, ...","Neurology 59 (3), 321-326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1878498102731927201,333,2002
MRI hyperintensities of the temporal lobe and external capsule in patients with CADASIL,"M O’Sullivan, JM Jarosz, RJ Martin, N Deasy, JF Powell, HS Markus","Neurology 56 (5), 628-634",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8149290531652329857,327,2001
Characterization of white matter damage in ischemic leukoaraiosis with diffusion tensor MRI,"DK Jones, D Lythgoe, MA Horsfield, A Simmons, SCR Williams, ...","Stroke 30 (2), 393-397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5052255872910188703,314,1999
Genome-wide association study identifies a variant in ,"C Bellenguez, S Bevan, A Gschwendtner, CCA Spencer, AI Burgess, ...","Nature genetics 44 (3), 328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1655922751905091551,309,2012
Effect of rosiglitazone on common carotid intima-media thickness progression in coronary artery disease patients without diabetes mellitus,"JS Sidhu, Z Kaposzta, HS Markus, JC Kaski","Arteriosclerosis, thrombosis, and vascular biology 24 (5), 930-934","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11937851437744637000,5385972019414112093",305,2004
Angiotensin-converting enzyme gene deletion polymorphism: a new risk factor for lacunar stroke but not carotid atheroma,"HS Markus, J Barley, R Lunt, JM Bland, S Jeffery, ND Carter, MM Brown","Stroke 26 (8), 1329-1333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13211517986947085268,305,1995
