Title,Authors,Platform,Cited_url,Cited_count,Year
"The Hellenistic Philosophers: Volume 2, Greek and Latin Texts with Notes and Bibliography","AA Long, DN Sedley",Cambridge University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=818438614688940285,9552676021445369297,14282187712099511452",2481,1987
Lucretius and the transformation of Greek wisdom,DN Sedley,Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5269137533019391070,414,2003
Plato's Cratylus,D Sedley,Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=30465976028314762,351,2003
Creationism and its Critics in Antiquity,D Sedley,Univ of California Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12143482222117050604,349,2007
The skeptical tradition,D Sedley,University of California Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7233175698501721098,307,1983
The Midwife of Platonism: text and subtext in Plato's Theaetetus,D Sedley,Oxford University Press on Demand,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3982287742211392245,301,2004
The ideal of godlikeness,D Sedley,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4438344472468498264,242,1999
Diodorus Cronus and hellenistic philosophy,D Sedley,"The Cambridge Classical Journal 23, 74-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15224247382118854362,182,1977
The Ophrastus Characters,J Diggle,Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9367058049981247000,176,2004
Philosophical allegiance in the Greco-Roman world,D Sedley,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9229580807640084735,158,1989
The Stoic criterion of identity,D Sedley,"Phronesis 27 (3), 255-275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11566963127063614601,148,1982
The motivation of Greek skepticism,D Sedley,The skeptical tradition,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8272149996442633356,146,1983
Is Aristotle's teleology anthropocentric?,D Sedley,"Phronesis 36 (2), 179-196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9197774214469683996,145,1991
Epicurus,DN Sedley,"The Classical Review 29 (1), 82-84","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1197002481288921466,10424035801743270513,13791243597779978833",141,1979
Platonic causes,D Sedley,"Phronesis 43 (2), 114-132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6563525505053657420,139,1998
""" Becoming Like God"" in the"" Timaeus"" and Aristotle",D Sedley,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1650434767988263646,110,1997
Plato’s Auctoritas and the Rebirth of the Commentary Tradition,D Sedley,"Barnes and Griffin (eds.), 110-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15057707148621156353,90,1997
Papers in Hellenistic philosophy,"J Brunschwig, B Jacques",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7909927661387150591,90,1994
