Title,Authors,Platform,Cited_url,Cited_count,Year
"Societal differences in organizing manufacturing units: A comparison of France, West Germany, and Great Britain","M Maurice, A Sorge, M Warner","Organization studies 1 (1), 59-86",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5465828534423306629,664,1980
Human resources management,EB Series,,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1936475100052206759,5558764131060425496,12867181463951319615",367,1987
The management of human resources in Chinese industry,M Warner,St. Martin's Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10299915943689352025,366,1995
Human resource management ‘with Chinese characteristics’,M Warner,"International Journal of Human Resource Management 4 (1), 45-65","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5486098612476138926,4454337476582244402",276,1993
"Comparative factory organisation: an Anglo-German comparison of manufacturing, management and manpower","A Sorge, M Warner",Gower Publishing Company,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16609876484353325706,276,1986
Perioperative pulmonary aspiration in infants and children,"MA Warner, ME Warner, DO Warner, LO Warner, JE Warner",Anesthesiology: The Journal of the American Society of Anesthesiologists 90 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13961874505539083342,263,1999
Towards an organizational study of trade unions,"J Child, R Loveridge, M Warner","Sociology 7 (1), 71-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8976028471493229806,249,1973
The end of the'iron rice-bowl': whither Chinese human resource management?,"DZ Ding, K Goodall, M Warner","International journal of human resource management 11 (2), 217-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6203037994479279623,247,2000
"Human resources in Sino-foreign joint ventures: selected case studies in Shanghai, compared with Beijing","K Goodall, M Warner","International Journal of Human Resource Management 8 (5), 569-594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16747975178038073007,236,1997
China's trade unions and management,"N Hong, M Warner",Springer,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3788533798980274194,233,1998
Microelectronics and manpower in manufacturing: applications of computer numerical control in Great Britain and West Germany,A Sorge,Gower Publishing Company,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2729233641377318023,17030626230373928917",209,1983
International human resource management,"H Harris, C Brewster, P Sparrow",CIPD Publishing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8001143202817693134,206,2003
Comparative union democracy: Organization and opposition in British and American unions,JD Edelstein,Routledge,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4386789541545897868,13813507544929639766",194,2017
Human resource management with ‘Asian’characteristics: a hybrid people-management system in East Asia,"Y Zhu, M Warner, C Rowley","The international journal of human resource management 18 (5), 745-768",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14041968449747960222,194,2007
Local content policies in the oil and gas sector,"S Tordo, M Warner, O Manzano, Y Anouti",The World Bank,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=554206095765686428,181,2013
‘Late development’experience and the evolution of transnational firms in the People's Republic of China,"M Warner, N Sek Hong, X Xiaojun","Asia Pacific business review 10 (3-4), 324-345",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15687427356363564537,180,2004
Reassessing human resource management ‘with Chinese characteristics’: An overview: Introduction,M Warner,"The international journal of human resource management 19 (5), 771-801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18399830138992843650,169,2008
Managing a global workforce,"CM Vance, Y Paik",Routledge,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=628348835953354840,6995550592363126615",166,2015
Managing across cultures: Issues and perspectives,"P Joynt, M Warner",Cengage Learning EMEA,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14934649160295197641,166,2002
Strategic human resource management in western multinationals in China: The differentiation of practices across different ownership forms,"WH Braun, M Warner","Personnel Review 31 (5), 553-579",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17604893713335217001,158,2002
How Chinese managers learn: Management and industrial training in China,M Warner,Springer,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6356923698289711410,2254257580866211037",157,2016
"Towards an Asian model of human resource management? A comparative analysis of China, Japan and South Korea","C Rowley, J Benson, M Warner","The International Journal of Human Resource Management 15 (4-5), 917-933",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10910241482404196074,153,2004
Human resource management in China revisited: introduction,M Warner,"The International Journal of Human Resource Management 15 (4-5), 617-634",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=128357241578183889,143,2004
of Book: International Encyclopedia of Business and Management,C Crouch,Thomson Learning,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2944947898482535256,5265612987427374067,15000262186524827495",138,2002
China's labour-management system reforms: Breaking the ‘Three Old Irons’(1978–1999),"DZ Ding, M Warner","Asia Pacific journal of management 18 (3), 315-334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2667516009340908181,135,2001
Collective contracts in Chinese enterprises: A new brand of collective bargaining under ‘market socialism’?,"M Warner, N Sek‐Hong","British journal of industrial relations 37 (2), 295-314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11709357968239902656,133,1999
Managing in virtual organizations,M Witzel,Cengage Learning EMEA,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9305140967370802740,132,2004
The impact of economic reform on the role of trade unions in Chinese enterprises,"DZ Ding, K Goodall, M Warner","International journal of human resource management 13 (3), 431-449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15549231437247364146,132,2002
Business systems,R Whitley,Manchester Business School,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12049385504447214466,11808863655309693666,18063186475950127059",127,1994
Key factors influencing HRM practices of overseas subsidiaries in China's transition economy,"JU Farley, S Hoenig, JZ Yang","The international journal of human resource management 15 (4-5), 688-704",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11058965595341939814,126,2004
In search of Confucian HRM: theory and practice in Greater China and beyond,M Warner,"Confucian HRM in Greater China, 9-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13379010201593933370,125,2014
To what extent can management practices be transferred between countries?: The case of human resource management in Vietnam,"C Rowley, T Quang, M Warner","Journal of world business 42 (1), 113-127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11063202567921273165,122,2007
Culture and management in Asia,M Warner,Routledge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4298397414296492361,119,2014
The dependence of China’s economic growth on exports and investment,"A Zhu, DM Kotz","Review of Radical Political Economics 43 (1), 9-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16039563933832693682,116,2011
‘Making sense’of HRM in China: setting the scene,M Warner,"The International Journal of Human Resource Management 20 (11), 2169-2193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2270869782078401796,114,2009
Human resources in the People's Republic of China: the ‘three systems’ reforms,M Warner,"Human Resource Management Journal 6 (2), 32-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13005882742235371309,111,1996
Education and society in Hong Kong and Macao: Comparative perspectives on continuity and change,"M Bray, R Koo",Springer Science & Business Media,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16580414117527256691,17068311057215975839,2770264511751423305",110,2006
Culture and management in China,"J Child, M Warner","Culture and management in Asia 25, 47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8948894408046373441,109,2003
"Globalization, labour markets and human resources in Asia-Pacific economies: an overview",M Warner,"International Journal of Human Resource Management 13 (3), 384-398",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17707809932151785362,109,2002
Changing patterns of human resource management in contemporary China: WTO accession and enterprise responses,"Y Zhu, M Warner","Industrial relations journal 35 (4), 311-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6402941019294569398,105,2004
‘Consensus’ participation: an example for protected areas planning,M Warner,Public Administration and Development: The International Journal of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4906007872530332877,103,1997
Managing across cultures: Issues and perspectives,"M Warner, P Joynt",Thomson learning,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2131586611754478582,101,2003
"Chinese enterprise reform, human resources and the 1994 Labour Law",M Warner,"The International Journal of Human Resource Management 7 (4), 779-796",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2565444695346731496,100,1996
"Understanding management in China: Past, present and future",M Warner,Routledge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7367114138865056554,99,2013
The IEBM handbook of human resource management,"M Poole, M Warner",International Thomson Business,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10629920886886297974,99,1998
Management‐labour relations in the new Chinese economy,M Warner,"Human Resource Management Journal 7 (4), 30-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17046019520872051317,99,1997
"Japanese culture, Western management: Taylorism and human resources in Japan",M Warner,"Organization Studies 15 (4), 509-533",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3671292889674464698,93,1994
German management,"M Warner, A Campbell","Management in Western Europe. Society, Culture and Organization in Twelve …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3241041867576486988,92,1993
Changing workplace relations in the Chinese economy,M Warner,Springer,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7007209519909367326,88,2000
Management decision-making in Chinese enterprises,Y Lu,Springer,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8940168252972442898,85,1997
"Economic reforms, industrial relations and human resources in the People's Republic of China: An overview",M Warner,"Industrial Relations Journal 27 (3), 195-210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17009757108768477474,83,1996
Chain dimensions and interaction parameters in neutron scattering from polymer blends with a labeled component,"M Warner, JS Higgins, AJ Carter","Macromolecules 16 (12), 1931-1935",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=65043897479216944,83,1983
An emerging model of employment relations in China: a divergent path from the Japanese?,"Y Zhu, M Warner","International business review 9 (3), 345-361",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12729730998824340674,81,2000
A new form of Chinese human resource management? Personnel and labour‐management relations in Chinese township and village enterprises: A case‐study approach,"DZ Ding, G Lan, M Warner","Industrial Relations Journal 32 (4), 328-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4045971652911329027,79,2001
‘Re‐inventing’China’s Industrial Relations at Enterprise‐Level: an Empirical Field‐Study in Four Major Cities,"DZ Ding, M Warner","Industrial Relations Journal 30 (3), 243-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1559999518968123825,79,1999
Management training and development in China: Educating managers in a globalized economy,"M Warner, K Goodall",Routledge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16215446162997212845,78,2009
Guest editors' introduction growth and globalization: Evolution of human resource management practices in Asia,"A Yeung, M Warner, C Rowley",Human Resource Management: Published in Cooperation with the School of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=228479898017850888,77,2008
Introduction: the Asia-Pacific HRM model revisited,M Warner,"International Journal of Human Resource Management 11 (2), 171-182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1713050789643180767,77,2000
"Kafka, Weber and organization theory",M Warner,"Human Relations 60 (7), 1019-1038",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11473640836086909299,76,2007
Management reforms in China,M Warner,Burns & Oates,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15103411811972028377,76,1987
"Enterprise Reform, Labor–Management Relations, and Human Resource Management in a Multinational Context: Empirical Evidence from Sino—Foreign Joint Ventures","K Goodall, M Warner","International Studies of Management & Organization 29 (3), 21-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15003429067264419038,75,1999
China's HRM revisited: a step-wise path to convergence?,M Warner,"Asia Pacific Business Review 9 (4), 15-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=761889480351561897,73,2003
China's HRM in Transitio: Towards Relative Convergence?,M Warner,"Asia Pacific Business Review 3 (4), 19-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15644737990599995439,73,1997
