Title,Authors,Platform,Cited_url,Cited_count,Year
Cultures in chimpanzees,"A Whiten, J Goodall, WC McGrew, T Nishida, V Reynolds, Y Sugiyama, ...","Nature 399 (6737), 682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16400404760734859604,2454,1999
Chimpanzee material culture: implications for human evolution,"WC McGrew, WC McGrew",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17909264945311737358,1736,1992
Bonobo: The forgotten ape,"FBM Waal, F Lanting",Univ of California Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14930851572905360253,9109387454757937833",826,1998
The raw and the stolen: cooking and the ecology of human origins,"RW Wrangham, JH Jones, G Laden, D Pilbeam, NL Conklin-Brittain, ...","Current anthropology 40 (5), 567-594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8927350519142348826,779,1999
ethological study of children's behavior,WC McGrew,Academic Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4533785420289551191,659,1972
Intergroup aggression in chimpanzees and humans [and comments and replies],"JH Manson, RW Wrangham, JL Boone, B Chapais, RIM Dunbar, ...","Current anthropology 32 (4), 369-390","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18181834816522834275,14579650358672180221",540,1991
The cultured chimpanzee: reflections on cultural primatology,"WC McGrew, WC McGrew",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1744553474941520974,531,2004
Evidence for a social custom in wild chimpanzees?,"WC McGrew, CEG Tutin","Man, 234-251",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12090315692916564567,499,1978
On the other hand: current issues in and meta‐analysis of the behavioral laterality of hand function in nonhuman primates,"WC McGrew, LF Marchant",American Journal of Physical Anthropology: The Official Publication of the …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11045837422144225077,484,1997
Hominid use of fire in the Lower and Middle Pleistocene: A review of the evidence [and comments and replies],"SR James, RW Dennell, AS Gilbert, HT Lewis, JAJ Gowlett, TF Lynch, ...","Current Anthropology 30 (1), 1-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6184622601061954239,467,1989
Charting cultural variation in chimpanzees,"CEG Tutin, WC McGrew, RW Wrangham","Behaviour 138 (11-12), 1481-1516","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6750989057327334993,11191789943323903029",461,2001
Chimpanzee cultures.,"RW Wrangham, WC McGrew, F de Waal, PG Heltne",Harvard University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11247642975760491829,426,1994
Social conventions in wild white-faced capuchin monkeys: evidence for traditions in a neotropical primate,"S Perry, M Baker, L Fedigan, J GrosLouis, K Jack, KC MacKinnon, ...","Current Anthropology 44 (2), 241-268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11480493450101181143,331,2003
Chimpanzee and red colobus: the ecology of predator and prey,"CB Stanford, RW Wrangham",Harvard University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7496756427647362077,5378897179246262923",321,1998
An ape's view of the Oldowan,"T Wynn, WC McGrew","Man, 383-398",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12710001600706616730,321,1989
"Chimpanzees, tools, and termites: cross-cultural comparisons of Senegal, Tanzania, and Rio Muni","WC McGrew, CEG Tutin, PJ Baldwin","Man, 185-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17561281383882942944,298,1979
Culture in nonhuman primates?,WC McGrew,"Annual review of anthropology 27 (1), 301-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4381575502187203706,287,1998
Tool use by wild chimpanzees in feeding upon driver ants,WC McGrew,"Journal of Human Evolution 3 (6), 501-508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7316358813061543217,261,1974
In quest of the sacred baboon: A scientist's journey,H Kummer,Princeton University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17955179830619345603,259,1997
"Foraging profiles of sympatric lowland gorillas and chimpanzees in the Lope Reserve, Gabon","CEG Tutin, M Fernandez, ME Rogers, EA Williamson, WC McGrew",Philosophical Transactions of the Royal Society of London. Series B …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9059315793946976748,250,1991
"Chimpanzees in a hot, dry and open habitat: Mt. Assirik, Senegal, West Africa","WC McGrew, PJ Baldwin, CEG Tutin","Journal of Human Evolution 10 (3), 227-244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7458664881092922719,234,1981
Evolutionary implications of sex differences in chimpanzee predation and tool use,WS McGrew,The great apes,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10413123762616058207,226,1979
Is human handedness universal? Ethological analyses from three traditional cultures,"LF Marchant, WC McGrew, I Eibl‐Eibesfeldt","Ethology 101 (3), 239-258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3286603149158883323,215,1995
Ethogram and ethnography of Mahale chimpanzees,"T Nishida, T Kano, J Goodall, WC McGrew, M Nakamura","Anthropological Science 107 (2), 141-188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16352758381798879112,214,1999
Hominid dietary selection before fire [and Comments and Reply],"AB Stahl, RIM Dunbar, K Homewood, F Ikawa-Smith, A Kortlandt, ...","Current Anthropology 25 (2), 151-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=210803875822736688,208,1984
Primate archaeology,"M Haslam, A Hernandez-Aguilar, V Ling, S Carvalho, I de La Torre, ...","Nature 460 (7253), 339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13024124775753723101,200,2009
Great ape societies.,"WC McGrew, LF Marchant, TE Nishida",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1109997268951935602,197,1996
Laterality of limb function in wild chimpanzees of Gombe National Park: comprehensive study of spontaneous activities,"LF Marchant, WC McGrew","Journal of Human Evolution 30 (5), 427-443",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16819458248584120678,196,1996
Why don't chimpanzees in Gabon crack nuts?,"WC McGrew, RM Ham, LJT White, CEG Tutin, M Fernandez","International Journal of Primatology 18 (3), 353-374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17811755627610400448,191,1997
Food-sharing in primates: a critical review,"ATC Feistner, WC McGrew",Perspectives in primate biology 3 (21-36),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7616700210915248882,180,1989
Diet of wild chimpanzees (,"WC McGrew, PJ Baldwin, CEG Tutin","American Journal of Primatology 16 (3), 213-226",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14277788560306970436,170,1988
"Wide-ranging chimpanzees at Mt. Assirik, Senegal","PJ Baldwin, WC McGrew, CEG Tutin","International Journal of Primatology 3 (4), 367-385",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12202546237983926951,163,1982
Sex and age differences in preferences and tactics of mate attraction: Analysis of published advertisements,"IA Greenlees, WC McGrew","Ethology and Sociobiology 15 (2), 59-72",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12618874708803981647,162,1994
Menstrual synchrony in female undergraduates living on a coeducational campus,"CA Graham, WC McGrew","Psychoneuroendocrinology 5 (3), 245-252","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11122934401670140790,14599108068648642382",161,1980
Understanding culture across species,"RW Byrne, PJ Barnard, I Davidson, VM Janik, WC McGrew, Á Miklósi, ...","Trends in cognitive Sciences 8 (8), 341-346",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17201659295471615386,155,2004
Laterality of hand use pays off in foraging success for wild chimpanzees,"WC McGrew, LF Marchant","Primates 40 (3), 509-513",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11990835836576579584,153,1999
