Title,Authors,Platform,Cited_url,Cited_count,Year
Measuring behaviour: an introductory guide,"P Martin, PPG Bateson, P Bateson",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10208094966663072573,7115,1993
Developmental plasticity and human health,"P Bateson, D Barker, T Clutton-Brock, D Deb, B D'Udine, RA Foley, ...","Nature 430 (6998), 419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12911113402354173854,1598,2004
Mate choice,PPG Bateson,Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3825176934109077329,665,1983
The characteristics and context of imprinting,PPG Bateson,"Biological Reviews 41 (2), 177-217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5163662103247352353,613,1966
How do sensitive periods arise and what are they for?,P Bateson,"Animal Behaviour 27, 470-486",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12074074383519480153,558,1979
Optimal outbreeding,P Bateson,"Mate choice 257, 277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12376910202510583998,553,1983
Sexual imprinting and optimal outbreeding,P Bateson,"Nature 273 (5664), 659-660",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6061802668751296546,469,1978
Assessment of pain in animals,P Bateson,"Animal behaviour 42 (5), 827-839",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17345591228901004450,462,1991
Growing Points Ethology,"RA Hinde, PPG Bateson",CUP Archive,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4953851844603015217,461,1976
Preferences for cousins in Japanese quail,P Bateson,"Nature 295 (5846), 236-237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2383054073480217368,418,1982
Environmental influences during development and their later consequences for health and disease: implications for the interpretation of empirical studies,"PD Gluckman, MA Hanson, HG Spencer, P Bateson","Proceedings of the Royal Society B: Biological Sciences 272 (1564), 671-677",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18436598219518253015,401,2005
