Title,Authors,Platform,Cited_url,Cited_count,Year
Hybridization and speciation,"R Abbott, D Albach, S Ansell, JW Arntzen, SJE Baird, N Bierne, ...","Journal of evolutionary biology 26 (2), 229-246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2621851607298875608,1204,2013
Butterfly genome reveals promiscuous exchange of mimicry adaptations among species,"KK Dasmahapatra, JR Walters, AD Briscoe, JW Davey, A Whibley, ...","Nature 487 (7405), 94","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8717980448164358030,13802549388881240280",788,2012
Genomics and the origin of species,"O Seehausen, RK Butlin, I Keller, CE Wagner, JW Boughman, ...","Nature Reviews Genetics 15 (3), 176-192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7409671777697948443,609,2014
Reproductive isolation caused by colour pattern mimicry.,"CD Jiggins, N RE, C RL, J Mallet","Nature 411, 302-305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1087690311428284309,590,2001
Bimodal hybrid zones and speciation,"CD Jiggins, J Mallet","Trends in ecology & evolution 15 (6), 250-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12222954031129259591,577,2000
Speciation by hybridization in ,"J Mavárez, CA Salazar, E Bermingham, C Salcedo, CD Jiggins, M Linares","Nature 441 (7095), 868",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11100119303584768657,428,2006
Genome-wide evidence for speciation with gene flow in Heliconius butterflies,"SH Martin, KK Dasmahapatra, NJ Nadeau, C Salazar, JR Walters, ...","Genome research 23 (11), 1817-1828",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10636332067334788328,394,2013
Chromosomal rearrangements maintain a polymorphic supergene controlling butterfly mimicry,"M Joron, L Frezal, RT Jones, NL Chamberlain, SF Lee, CR Haag, ...","Nature 477 (7363), 203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6217568786155908156,346,2011
Limited performance of DNA barcoding in a diverse community of tropical butterflies,"M Elias, RI Hill, KR Willmott, KK Dasmahapatra, AVZ Brower, J Mallet, ...","Proceedings of the Royal Society B: Biological Sciences 274 (1627), 2881-2889",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9673262941482511958,307,2007
Linkage mapping and comparative genomics using next-generation RAD sequencing of a non-model organism,"SW Baxter, JW Davey, JS Johnston, AM Shelton, DG Heckel, CD Jiggins, ...","PloS one 6 (4), e19315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15270206331243454402,295,2011
