Title,Authors,Platform,Cited_url,Cited_count,Year
Phase transitions in ferroelastic and co-elastic crystals,E Salje,"Ferroelectrics 104 (1), 111-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12094088066320540589,1261,1990
Radiation effects in crystalline ceramics for the immobilization of high-level nuclear waste and plutonium,"WJ Weber, RC Ewing, CRA Catlow, TD De La Rubia, LW Hobbs, ...","Journal of Materials Research 13 (6), 1434-1484",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12557950772926106413,873,1998
Domain Wall Conductivity in La-Doped ,"J Seidel, P Maksymovych, Y Batra, A Katan, SY Yang, Q He, AP Baddorf, ...","Physical Review Letters 105 (19), 197603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10581474403297814555,296,2010
Elastic anomalies in minerals due to structural phase transitions,"MA Carpenter, EKH Salje","European Journal of Mineralogy, 693-812",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9780971364926216432,254,1998
Physical properties and phase transitions in WO3,"E Salje, K Viswanathan","Acta Crystallographica Section A: Crystal Physics, Diffraction, Theoretical …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2149417716252608036,250,1975
Sheet superconductivity in twin walls: experimental evidence of,"A Aird, EKH Salje","Journal of Physics: Condensed Matter 10 (22), L377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9670214580689033839,248,1998
Order-parameter saturation and low-temperature extension of Landau theory,"EKH Salje, B Wruck, H Thomas","Zeitschrift für Physik B Condensed Matter 82 (3), 399-404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1429686529252668596,243,1991
The orthorhombic phase of WO3,E Salje,Acta Crystallographica Section B: Structural Crystallography and Crystal …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11812114584166290629,241,1977
Spontaneous strain as a determinant of thermodynamic properties for phase transitions in minerals,"MA Carpenter, EKH Salje, A Graeme-Barber","European Journal of Mineralogy, 621-691",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16912678659569216706,236,1998
"Transformation processes in La Al O 3: Neutron diffraction, dielectric, thermal, optical, and Raman studies","SA Hayward, FD Morrison, SAT Redfern, EKH Salje, JF Scott, KS Knight, ...","Physical Review B 72 (5), 054110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14879069755628662902,206,2005
Calibration of excess thermodynamic properties and elastic constant variations associated with the alpha<--> beta phase transition in quartz,"MA Carpenter, EKH Salje, A Graeme-Barber, B Wruck, MT Dove, ...","American mineralogist 83 (1-2), 2-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2227422376743387680,188,1998
The crystal structure of triclinic WO3,"R Diehl, G Brandt, E Salje",Acta Crystallographica Section B: Structural Crystallography and Crystal …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7854892412963148650,184,1978
Multiferroic domain boundaries as active memory devices: trajectories towards domain boundary engineering,EKH Salje,"ChemPhysChem 11 (5), 940-950",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5451724385395763416,182,2010
Metamictization of zircon: Raman spectroscopic study,"M Zhang, EKH Salje, I Farnan, A Graeme-Barber, P Daniel, RC Ewing, ...","Journal of Physics: Condensed Matter 12 (8), 1915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5042151927617571997,176,2000
Lattice dynamics of WO3,E Salje,"Acta Crystallographica Section A: Crystal Physics, Diffraction, Theoretical …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3751018385351715630,170,1975
Direct observation of ferrielectricity at ferroelastic domain boundaries in CaTiO3 by electron microscopy,"S Van Aert, S Turner, R Delville, D Schryvers, G Van Tendeloo, EKH Salje","Advanced Materials 24 (4), 523-527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9189194289815235181,169,2012
Is “metamictization” of zircon a phase transition?,"EKH Salje, J Chrosch, RC Ewing","American Mineralogist 84 (7-8), 1107-1116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16949247634652282480,169,1999
Ferroelastic materials,EKH Salje,"Annual Review of Materials Research 42, 265-283",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15426131341220561154,167,2012
Statistical similarity between the compression of a porous material and earthquakes,"J Baró, Á Corral, X Illa, A Planes, EKH Salje, W Schranz, DE Soto-Parra, ...","Physical Review Letters 110 (8), 088702",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3083758665568575462,163,2013
Dynamical excitation and anelastic relaxation of ferroelastic domain walls in LaAlO 3,"RJ Harrison, SAT Redfern, EKH Salje","Physical Review B 69 (14), 144101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2638889836549988051,148,2004
