Title,Authors,Platform,Cited_url,Cited_count,Year
Gradient-tailored excitation for single-quantum NMR spectroscopy of aqueous solutions,"M Piotto, V Saudek, V Sklenář","Journal of biomolecular NMR 2 (6), 661-665",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10913837720288986728,3944,1992
The obesity-associated FTO gene encodes a 2-oxoglutarate-dependent nucleic acid demethylase,"T Gerken, CA Girard, YCL Tung, CJ Webby, V Saudek, KS Hewitson, ...","Science 318 (5855), 1469-1472",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15314536816825499310,1293,2007
Gradient-tailored water suppression for 1H-15N HSQC experiments optimized to retain full sensitivity,"V Sklenar, M Piotto, R Leppik, V Saudek","Journal of Magnetic Resonance 102, 241-245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8528141653984430297,1248,1993
Loss-of-function mutation in the dioxygenase-encoding FTO gene causes severe growth retardation and multiple malformations,"S Boissel, O Reish, K Proulx, H Kawagoe-Takaki, B Sedgwick, GSH Yeo, ...","The American Journal of Human Genetics 85 (1), 106-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3609867049137696848,279,2009
Sequence identification and characterization of human carnosinase and a closely related non-specific dipeptidase,"M Teufel, V Saudek, JP Ledig, A Bernhardt, S Boularand, A Carreau, ...","Journal of Biological Chemistry 278 (8), 6521-6531",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13156471709123268147,254,2003
"Endoplasmic reticulum stress-induced transcription factor, CHOP, is crucial for dendritic cell IL-23 expression","JC Goodall, C Wu, Y Zhang, L McNeill, L Ellis, V Saudek, JSH Gaston","Proceedings of the national academy of Sciences 107 (41), 17698-17703",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6901208375335170628,249,2010
"Three-dimensional structure of echistatin, the smallest active RGD protein","V Saudek, RA Atkinson, JT Pelton","Biochemistry 30 (30), 7369-7372",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13162046877287054483,233,1991
The relationship between chemical shift and secondary structure in proteins,"A Pastore, V Saudek","Journal of Magnetic Resonance (1969) 90 (1), 165-176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2931925195418779058,223,1990
Partial lipodystrophy and insulin resistant diabetes in a patient with a homozygous nonsense mutation in CIDEC,"O Rubio‐Cabezas, V Puri, I Murano, V Saudek, RK Semple, S Dash, ...","EMBO molecular medicine 1 (5), 280-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13012065374076700334,203,2009
Enzymatic cleavage of side chains of synthetic water‐soluble polymers,"J Drobnik, J Kopeček, J Labský, P Rejmanová, J Exner, V Saudek, J Kálal",Die Makromolekulare Chemie: Macromolecular Chemistry and Physics 177 (10 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3734392465138518132,134,1976
