Title,Authors,Platform,Cited_url,Cited_count,Year
"First-principles simulation: ideas, illustrations and the CASTEP code","MD Segall, PJD Lindan, MJ Probert, CJ Pickard, PJ Hasnip, SJ Clark, ...","Journal of Physics: Condensed Matter 14 (11), 2717",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13584239227269061065,8614,2002
First principles methods using CASTEP,"SJ Clark, MD Segall, CJ Pickard, PJ Hasnip, MIJ Probert, K Refson, ...","Zeitschrift für Kristallographie-Crystalline Materials 220 (5/6), 567-570","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12490838721605370244,7482136395319868287,12628683829407505438,2603833500100915698",7490,2005
"Electronic structure, properties, and phase stability of inorganic crystals: A pseudopotential plane‐wave study","V Milman, B Winkler, JA White, CJ Pickard, MC Payne, EV Akhmatskaya, ...","International Journal of Quantum Chemistry 77 (5), 895-910",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6899118545753769535,1598,2000
All-electron magnetic response with pseudopotentials: NMR chemical shifts,"CJ Pickard, F Mauri","Physical Review B 63 (24), 245101","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8036195012103047064,6238676488753813089",1326,2001
Population analysis of plane-wave electronic structure calculations of bulk materials,"MD Segall, R Shah, CJ Pickard, MC Payne","Physical Review B 54 (23), 16317",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2931953837690660015,952,1996
Calculation of NMR chemical shifts for extended systems using ultrasoft pseudopotentials,"JR Yates, CJ Pickard, F Mauri","Physical Review B 76 (2), 024401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9785136176025127975,660,2007
Ab initio random structure searching,"CJ Pickard, RJ Needs","Journal of Physics: Condensed Matter 23 (5), 053201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2561267359568243746,573,2011
Reproducibility in density functional theory calculations of solids,"K Lejaeghere, G Bihlmayer, T Björkman, P Blaha, S Blügel, V Blum, ...","Science 351 (6280), aad3000","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4090484534758909957,10384521191259913073",498,2016
Structure of phase III of solid hydrogen,"CJ Pickard, RJ Needs","Nature Physics 3 (7), 473",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2289513966751399561,477,2007
High-pressure phases of silane,"CJ Pickard, RJ Needs","Physical Review Letters 97 (4), 045504",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1863245088114026640,470,2006
Accurate first principles prediction of 17O NMR parameters in SiO2: assignment of the zeolite ferrierite spectrum,"M Profeta, F Mauri, CJ Pickard","Journal of the American Chemical Society 125 (2), 541-548",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1246553553692544992,394,2003
First-principles calculation of NMR parameters using the gauge including projector augmented wave method: a chemist’s point of view,"C Bonhomme, C Gervais, F Babonneau, C Coelho, F Pourpoint, T Azais, ...","Chemical Reviews 112 (11), 5733-5779",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8735032815720442608,357,2012
Population analysis in plane wave electronic structure calculations,"MD Segall, CJ Pickard, R Shah, MC Payne","Molecular Physics 89 (2), 571-577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4312738103683973972,356,1996
Towards crystal structure prediction of complex organic compounds–a report on the fifth blind test,"DA Bardwell, CS Adjiman, YA Arnautova, E Bartashevich, SXM Boerrigter, ...","Acta Crystallographica Section B: Structural Science 67 (6), 535-551",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1127341967529326766,338,2011
The role of the interlayer state in the electronic structure of superconducting graphite intercalated compounds,"G Csányi, PB Littlewood, AH Nevidomskyy, CJ Pickard, BD Simons","Nature Physics 1 (1), 42","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12285357090950121302,12367101413064678085",287,2005
Mechanism for linear and nonlinear optical effects in β− BaB 2 O 4 crystals,"J Lin, MH Lee, ZP Liu, C Chen, CJ Pickard","Physical Review B 60 (19), 13380","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=770679823423927863,24644051176578649",260,1999
High-pressure hydrogen sulfide from first principles: A strongly anharmonic phonon-mediated superconductor,"I Errea, M Calandra, CJ Pickard, J Nelson, RJ Needs, Y Li, H Liu, Y Zhang, ...","Physical review letters 114 (15), 157004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14530669392065394593,255,2015
Reactions of xenon with iron and nickel are predicted in the Earth's inner core,"L Zhu, H Liu, CJ Pickard, G Zou, Y Ma","Nature chemistry 6 (7), 644","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11833883979673420848,4615544656526537128",254,2014
Report on the sixth blind test of organic crystal structure prediction methods,"AM Reilly, RI Cooper, CS Adjiman, S Bhattacharya, AD Boese, ...","Acta Crystallographica Section B: Structural Science, Crystal Engineering …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13866880196738448092,232,2016
Theoretical strength and cleavage of diamond,"RH Telling, CJ Pickard, MC Payne, JE Field","Physical Review Letters 84 (22), 5160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6752523705589208081,224,2000
Chemical shift computations on a crystallographic basis: some reflections and comments,"RK Harris, P Hodgkinson, CJ Pickard, JR Yates, V Zorin","Magnetic Resonance in Chemistry 45 (S1), S174-S186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7570161419727042243,195,2007
An Investigation of Weak CH⊙⊙⊙ O Hydrogen Bonds in Maltose Anomers by a Combination of Calculation and Experimental Solid-State NMR Spectroscopy,"JR Yates, TN Pham, CJ Pickard, F Mauri, AM Amado, AM Gil, SP Brown","Journal of the American Chemical Society 127 (29), 10216-10220","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15693742401244140230,13157316363427483224",187,2005
