Title,Authors,Platform,Cited_url,Cited_count,Year
Economics of the public sector,"JE Stiglitz, EP Brown",WW Norton,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11338674382950952539,3992304579981661494",4883,1988
Kicking away the ladder: development strategy in historical perspective,HJ Chang,Anthem Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9284060698914904025,18110663906183214102,6187573226344787183,10750523596546977823",4879,2002
The political economy of industrial policy,HJ Chang,St. Martin's Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4744095141268422323,1547,1994
Bad Samaritans: The myth of free trade and the secret history of capitalism,HJ Chang,Bloomsbury Publishing USA,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10697166913114286919,1093,2010
Things they don't tell you about capitalism,HJ Chang,Bloomsbury Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5662507189471857962,872,2010
Chutando a escada,HJ Chang,Unesp,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16868401470420845998,740,2004
"Globalization, economic development and the role of the state",HJ Chang,Zed Books,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4455307993442578573,4632027426860081841",701,2003
Breaking the mould: an institutionalist political economy alternative to the neo‐liberal theory of the market and the state,HJ Chang,"Cambridge Journal of Economics 26 (5), 539-559",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1089154425000093739,577,2002
Should Industrial Policy in developing countries conform to comparative advantage or defy it? A debate between Justin Lin and Ha‐Joon Chang,"J Lin, HJ Chang","Development policy review 27 (5), 483-502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4856973961215782925,573,2009
"Institutions and economic development: theory, policy and history",HJ Chang,"Journal of Institutional Economics 7 (4), 473-498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6885290808443666793,493,2011
"Interpreting the Korean crisis: financial liberalisation, industrial policy and corporate governance","HJ Chang, HJ Park, CG Yoo","Cambridge journal of Economics 22 (6), 735-746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16851328775064149323,489,1998
Reclaiming development: an alternative economic policy manual,"HJ Chang, I Grabel",Zed Books Ltd.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10446375593909482889,470,2014
The political economy of industrial policy in Korea,HJ Chang,"Cambridge Journal of Economics 17 (2), 131-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9457738094930246575,467,1993
"The East Asian development experience: the miracle, the crisis and the future",HJ Chang,Zed Books,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13316866529988005592,448,2006
The economic theory of the developmental state,HJ Chang,"The developmental state, 182-199","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6658740200990857988,3528888575839625622",444,1999
"Bad samaritans: Rich nations, poor policies, and the threat to the developing world",HJ Chang,Random House Business,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8982751007198936257,415,2007
Korea: the misunderstood crisis,HJ Chang,"World development 26 (8), 1555-1561",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16146436926207687301,391,1998
Rethinking development economics,HJ Chang,Anthem Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2900884962085015119,349,2003
Economics: the user's guide,HJ Chang,Bloomsbury Publishing USA,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8101097511344787071,347,2014
Microfinance and the illusion of development: From hubris to nemesis in thirty years,"M Bateman, HJ Chang",World Economic Review,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10142081215107739145,306,2012
The role of institutions in economic change,"HJ Chang, P Evans","Reimagining growth: towards a renewal of development theory, 99-129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8742754603555060250,299,2005
The hazard of moral hazard: untangling the Asian crisis,HJ Chang,"World development 28 (4), 775-788",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2274303715105384873,275,2000
23 things they don't tell you about capitalism,HJ Chang,Bloomsbury Publishing USA,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16906602794122555607,271,2012
Intellectual Property Rights and Economic Development: historical lessons and emerging issues,HJ Chang,"Journal of human development 2 (2), 287-309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17740467940071941585,256,2001
"Restructuring'Korea Inc.': Financial Crisis, Corporate Reform, and Institutional Transition","JS Shin, HJ Chang",Routledge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1776671792957030435,253,2003
Understanding the relationship between institutions and economic development. Some key theoretical issues,HJ Chang,"Revista de Economía Institucional 8 (14), 125-136","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16838804154341827803,825014799626583407",246,2006
The role of the state in economic change,"HJ Chang, R Rowthorn",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14134891080965790510,243,1995
Industrial policy: can we go beyond an unproductive confrontation?,HJ Chang,"Annual World Bank Conference on Development Economics, 83-109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1787864455281419910,229,2011
"Conceptualizing capitalism: Institutions, evolution, future",GM Hodgson,University of Chicago Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8662591810231235343,8322541374474047232",227,2015
Bad Samaritans: The guilty secrets of rich nations and the threat to global prosperity,HJ Chang,Random House,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17145973057086976424,221,2008
The microfinance illusion,"M Bateman, HJ Chang",Available at SSRN 2385174,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=119075110761985975,215,2009
Retirar la escalera: la estrategia del desarrollo en perspectiva histórica,"HJ Chang, M Salomón",Los libros de la Catarata,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14120713282013335607,202,2004
New perspectives on East Asian development,"Y Akyüz, HJ Chang, R Kozul‐Wright","The Journal of Development Studies 34 (6), 4-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6183250673695234006,197,1998
Institutional change and economic development,D Nayyar,Anthem Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6681313778207995981,4950764015669411809",190,2007
Hamlet without the Prince of Denmark: How development has disappeared from today’s “development” discourse,"SR Khan, J Christiansen","Towards new developmentalism, 65-76",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13803479741102366821,183,2010
The economics and politics of regulation,HJ Chang,"Cambridge Journal of Economics 21 (6), 703-728",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3653917309601171393,181,1997
State-owned enterprise reform,HJ Chang,UN DESA Policy Note,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5121831474340812589,170,2007
