Title,Authors,Platform,Cited_url,Cited_count,Year
Global and regional mortality from 235 causes of death for 20 age groups in 1990 and 2010: a systematic analysis for the Global Burden of Disease Study 2010,"R Lozano, M Naghavi, K Foreman, S Lim, K Shibuya, V Aboyans, ...","The lancet 380 (9859), 2095-2128","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7995886040350373223,15462604868281880893,17049159289679943693",11353,2012
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","CJL Murray, T Vos, R Lozano, M Naghavi, AD Flaxman, C Michaud, ...","The lancet 380 (9859), 2197-2223","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9833098564321204388,5340747080099114032,790988979543371307",7344,2012
Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010,"T Vos, AD Flaxman, M Naghavi, R Lozano, C Michaud, M Ezzati, ...","The lancet 380 (9859), 2163-2196","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1740674040616527102,13949342953995061493,15403596161369931268,6250509346589864590",5860,2012
"The state of US health, 1990-2010: burden of diseases, injuries, and risk factors","CJL Murray, J Abraham, MK Ali, M Alvarado, C Atkinson, LM Baddour, ...","Jama 310 (6), 591-606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16602803102917676124,1282,2013
The global burden of disease study 2010: interpretation and implications for the neglected tropical diseases,"PJ Hotez, M Alvarado, MG Basáñez, I Bolliger, R Bourne, M Boussinesq, ...","PLoS neglected tropical diseases 8 (7), e2865",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8188757163390145088,573,2014
"Estimates of neonatal morbidities and disabilities at regional and global levels for 2010: introduction, methods overview, and relevant findings from the Global Burden of …","H Blencowe, T Vos, ACC Lee, R Philips, R Lozano, MR Alvarado, ...","Pediatric research 74 (S1), 4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4919626705511866443,15813626685897419447",103,2013
Bin Abdulhak A,"T Vos, AD Flaxman, M Naghavi, R Lozano, C Michaud, M Ezzati, ...","Birbeck G, Black JA, Blencowe H, Blore JD, Blyth F, Bolliger I, Bonaventure …","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18036574170778974936,5197998035429002565",78,2012
"Propuesta de implementación de un sistema de control interno basado en el modelo coso, aplicado a la empresa electro instalaciones en la ciudad de Cuenca","M Alvarado, S Tuquiñahui",Universidad Politécnica Salesiana Cuenca-Ecuador Recuperado en: http …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16164988076226403961,69,2011
Bin Abdulhak A,"CJ Murray, T Vos, R Lozano, M Naghavi, AD Flaxman, C Michaud, ...","Birbeck G, Black JA, Blencowe H, Blore JD, Blyth F, Bolliger I, Bonaventure …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16670295894551671887,55,2012
Barriers and facilitators to physical activity amongst overweight and obese women in an Afro-Caribbean population: A qualitative study,"M Alvarado, MM Murphy, C Guell","International Journal of Behavioral Nutrition and Physical Activity 12 (1), 97",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13855465838064871227,32,2015
Trends in beverage prices following the introduction of a tax on sugar-sweetened beverages in Barbados,"M Alvarado, D Kostova, M Suhrcke, I Hambleton, T Hassell, TA Samuels, ...","Preventive medicine 105, S23-S25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18371835983881108840,27,2017
