Title,Authors,Platform,Cited_url,Cited_count,Year
Metal–organic framework materials with ultrahigh surface areas: is the sky the limit?,"OK Farha, I Eryazici, NC Jeong, BG Hauser, CE Wilmer, AA Sarjeant, ...","Journal of the American Chemical Society 134 (36), 15016-15021",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3168205486619554638,983,2012
Light-harvesting metal–organic frameworks (MOFs): efficient strut-to-strut energy transfer in bodipy and porphyrin-based MOFs,"CY Lee, OK Farha, BJ Hong, AA Sarjeant, SBT Nguyen, JT Hupp","Journal of the American Chemical Society 133 (40), 15858-15861",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14731491811493760566,514,2011
Vapor-phase metalation by atomic layer deposition in a metal–organic framework,"JE Mondloch, W Bury, D Fairen-Jimenez, S Kwon, EJ DeMarco, ...","Journal of the American Chemical Society 135 (28), 10294-10297",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11679770022568570351,481,2013
Light-harvesting and ultrafast energy migration in porphyrin-based metal–organic frameworks,"HJ Son, S Jin, S Patwardhan, SJ Wezenberg, NC Jeong, M So, ...","Journal of the American Chemical Society 135 (2), 862-869",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12703325395287053294,377,2013
"Active-site-accessible, Porphyrinic metal− organic framework materials","OK Farha, AM Shultz, AA Sarjeant, SBT Nguyen, JT Hupp","Journal of the American Chemical Society 133 (15), 5652-5655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6950233610095681585,365,2011
Room-temperature ferroelectricity in supramolecular networks of charge-transfer complexes,"AS Tayi, AK Shveyd, ACH Sue, JM Szarko, BS Rolczynski, D Cao, ...","Nature 488 (7412), 485",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14719965696435161719,307,2012
Post-synthesis alkoxide formation within metal− organic framework materials: a strategy for incorporating highly coordinatively unsaturated metal ions,"KL Mulfort, OK Farha, CL Stern, AA Sarjeant, JT Hupp","Journal of the American Chemical Society 131 (11), 3866-3868",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=582222003872748589,282,2009
Opening ZIF-8: a catalytically active zeolitic imidazolate framework of sodalite topology with unsubstituted linkers,"O Karagiaridi, MB Lalonde, W Bury, AA Sarjeant, OK Farha, JT Hupp","Journal of the American Chemical Society 134 (45), 18790-18796",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11344208832950435117,249,2012
Urea metal–organic frameworks as effective and size-selective hydrogen-bond catalysts,"JM Roberts, BM Fini, AA Sarjeant, OK Farha, JT Hupp, KA Scheidt","Journal of the American Chemical Society 134 (7), 3334-3337",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5706226895830473863,227,2012
Ultrahigh surface area zirconium MOFs and insights into the applicability of the BET theory,"TC Wang, W Bury, DA Gómez-Gualdrón, NA Vermeulen, JE Mondloch, ...","Journal of the American Chemical Society 137 (10), 3585-3591",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13271857243509298570,191,2015
Post-synthesis modification of a metal–organic framework to form metallosalen-containing MOF materials,"AM Shultz, AA Sarjeant, OK Farha, JT Hupp, SBT Nguyen","Journal of the American Chemical Society 133 (34), 13252-13255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2129492061777091882,189,2011
A coordination chemistry dichotomy for icosahedral carborane-based ligands,"AM Spokoyny, CW Machan, DJ Clingerman, MS Rosen, MJ Wiester, ...","Nature chemistry 3 (8), 590",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9643797273902818406,188,2011
ExBox: a polycyclic aromatic hydrocarbon scavenger,"JC Barnes, M Juríček, NL Strutt, M Frasconi, S Sampath, MA Giesener, ...","Journal of the American Chemical Society 135 (1), 183-192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14738322845059590742,178,2012
"Gram-scale, high-yield synthesis of a robust metal–organic framework for storing methane and other gases","CE Wilmer, OK Farha, T Yildirim, I Eryazici, V Krungleviciute, AA Sarjeant, ...","Energy & Environmental Science 6 (4), 1158-1163",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2399697963983207458,177,2013
Designing higher surface area metal–organic frameworks: are triple bonds better than phenyls?,"OK Farha, CE Wilmer, I Eryazici, BG Hauser, PA Parilla, K O’Neill, ...","Journal of the American Chemical Society 134 (24), 9860-9863",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17235557554614386363,167,2012
Kinetic separation of propene and propane in metal− organic frameworks: Controlling diffusion rates in plate-shaped crystals via tuning of pore apertures and crystallite aspect …,"CY Lee, YS Bae, NC Jeong, OK Farha, AA Sarjeant, CL Stern, P Nickias, ...","Journal of the American Chemical Society 133 (14), 5228-5231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1102364747010036131,158,2011
Highly stable tetrathiafulvalene radical dimers in [3] catenanes,"JM Spruell, A Coskun, DC Friedman, RS Forgan, AA Sarjeant, A Trabolsi, ...","Nature chemistry 2 (10), 870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1917402166829058826,149,2010
Synthesis and characterization of isostructural cadmium zeolitic imidazolate frameworks via solvent-assisted linker exchange,"O Karagiaridi, W Bury, AA Sarjeant, CL Stern, OK Farha, JT Hupp","Chemical Science 3 (11), 3256-3260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18254797804861310822,137,2012
"Toluene and Ethylbenzene Aliphatic C− H Bond Oxidations Initiated by a Dicopper (II)-μ-1, 2-Peroxo Complex","HR Lucas, L Li, AAN Sarjeant, MA Vance, EI Solomon, KD Karlin","Journal of the American Chemical Society 131 (9), 3230-3245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4649533147302132732,128,2009
Turning on catalysis: incorporation of a hydrogen-bond-donating squaramide moiety into a Zr metal–organic framework,"CM McGuirk, MJ Katz, CL Stern, AA Sarjeant, JT Hupp, OK Farha, ...","Journal of the American Chemical Society 137 (2), 919-925",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2568534769388322184,127,2015
Selective DNA Strand Scission with Binuclear Copper Complexes:  Implications for an Active Cu,"S Thyagarajan, NN Murthy, AA Narducci Sarjeant, KD Karlin, SE Rokita","Journal of the American Chemical Society 128 (21), 7003-7008",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13354228744092101397,117,2006
A radically configurable six-state compound,"JC Barnes, AC Fahrenbach, D Cao, SM Dyar, M Frasconi, MA Giesener, ...","Science 339 (6118), 429-433",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14077880900079405733,112,2013
Easily synthesized naphthalene tetracarboxylic diimide semiconductors with high electron mobility in air,"KC See, C Landis, A Sarjeant, HE Katz","Chemistry of Materials 20 (11), 3609-3616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10270507081390764121,109,2008
Water‐Stable Zirconium‐Based Metal–Organic Framework Material with High‐Surface Area and Gas‐Storage Capacities,"OV Gutov, W Bury, DA Gomez‐Gualdron, V Krungleviciute, ...","Chemistry–A European Journal 20 (39), 12389-12393",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11231867771961644532,106,2014
Mechanically stabilized tetrathiafulvalene radical dimers,"A Coskun, JM Spruell, G Barin, AC Fahrenbach, RS Forgan, MT Colvin, ...","Journal of the American Chemical Society 133 (12), 4538-4547",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17504503170380264801,106,2011
Pyromellitic diimides: minimal cores for high mobility n-channel transistor semiconductors,"Q Zheng, J Huang, A Sarjeant, HE Katz","Journal of the American Chemical Society 130 (44), 14410-14411",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16291813321889476939,105,2008
Aryl hydroxylation from a mononuclear copper-hydroperoxo species,"D Maiti, HR Lucas, AAN Sarjeant, KD Karlin","Journal of the American Chemical Society 129 (22), 6998-6999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7609064397813777980,105,2007
A catenated strut in a catenated metal–organic framework,"Q Li, CH Sue, S Basu, AK Shveyd, W Zhang, G Barin, L Fang, AA Sarjeant, ...","Angewandte Chemie International Edition 49 (38), 6751-6755",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1890802834205334494,100,2010
"Selective surface and near-surface modification of a noncatenated, catalytically active metal-organic framework material based on Mn (salen) struts","AM Shultz, OK Farha, D Adhikari, AA Sarjeant, JT Hupp, SBT Nguyen","Inorganic chemistry 50 (8), 3174-3176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7188863733066180300,99,2011
"Ultraporous, water stable, and breathing zirconium-based metal–organic frameworks with ftw topology","P Deria, DA Gómez-Gualdrón, W Bury, HT Schaef, TC Wang, ...","Journal of the American Chemical Society 137 (40), 13183-13190",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=947655227664809113,95,2015
"Low-temperature-processible, transparent, and air-operable n-channel fluorinated phenylethylated naphthalenetetracarboxylic diimide semiconductors applied to flexible transistors","BJ Jung, J Sun, T Lee, A Sarjeant, HE Katz","Chemistry of Materials 21 (1), 94-101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7071782797904860026,94,2008
Opening metal–organic frameworks vol. 2: inserting longer pillars into pillared-paddlewheel structures through solvent-assisted linker exchange,"O Karagiaridi, W Bury, E Tylianakis, AA Sarjeant, JT Hupp, OK Farha","Chemistry of Materials 25 (17), 3499-3503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7252160829131365726,89,2013
Carborane-based metal–organic framework with high methane and hydrogen storage capacities,"RD Kennedy, V Krungleviciute, DJ Clingerman, JE Mondloch, Y Peng, ...","Chemistry of Materials 25 (17), 3539-3543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10236894282431086727,83,2013
"Intramolecular annulation of aromatic rings with N-sulfonyl 1, 2, 3-triazoles: divergent synthesis of 3-methylene-2, 3-dihydrobenzofurans and 3-methylene-2, 3-dihydroindoles","XY Tang, YS Zhang, L He, Y Wei, M Shi","Chemical Communications 51 (1), 133-136","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14094947457091584283,17626280765788197567",82,2015
NHC-Catalyzed/Titanium (IV)− Mediated Highly Diastereo-and Enantioselective Dimerization of Enals,"DT Cohen, B Cardinal-David, JM Roberts, AA Sarjeant, KA Scheidt","Organic letters 13 (5), 1068-1071",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12943598818806415705,81,2011
A Hafnium-Based Metal–Organic Framework as a Nature-Inspired Tandem Reaction Catalyst,"MH Beyzavi, NA Vermeulen, AJ Howarth, S Tussupbayev, AB League, ...","Journal of the American Chemical Society 137 (42), 13624-13631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5571696210551988864,77,2015
Synthesis and gas sorption properties of a metal-azolium framework (MAF) material,"JY Lee, JM Roberts, OK Farha, AA Sarjeant, KA Scheidt, JT Hupp","Inorganic chemistry 48 (21), 9971-9973",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12883308956234740316,77,2009
"Synthesis, structural characterization, and unusual field-effect behavior of organic transistor semiconductor oligomers: inferiority of oxadiazole compared with other electron …","T Lee, CA Landis, BM Dhar, BJ Jung, J Sun, A Sarjeant, HJ Lee, HE Katz","Journal of the American Chemical Society 131 (5), 1692-1705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13257863267397709971,73,2009
Flexible ferroelectric organic crystals,"M Owczarek, KA Hujsak, DP Ferris, A Prokofjevs, I Majerz, P Szklarz, ...","Nat. Commun 7, 13108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3359638750924186525,68,2016
ExCage,"EJ Dale, NA Vermeulen, AA Thomas, JC Barnes, M Juricek, AK Blackburn, ...","Journal of the American Chemical Society 136 (30), 10669-10682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11541527577867432161,67,2014
Efficient syntheses of pillar [6] arene-based hetero [4] rotaxanes using a cooperative capture strategy,"X Hou, C Ke, C Cheng, N Song, AK Blackburn, AA Sarjeant, YY Botros, ...","Chemical Communications 50 (47), 6196-6199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16939689669333223894,66,2014
Ex,"M Juríček, JC Barnes, EJ Dale, WG Liu, NL Strutt, CJ Bruns, ...","Journal of the American Chemical Society 135 (34), 12736-12746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7817791994569009098,63,2013
"Isoreticular series of (3, 24)-connected metal–organic frameworks: facile synthesis and high methane uptake properties","G Barin, V Krungleviciute, DA Gomez-Gualdron, AA Sarjeant, RQ Snurr, ...","Chemistry of Materials 26 (5), 1912-1917",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2746305150059857759,58,2014
"Heme− Copper− Dioxygen Complexes: Toward Understanding Ligand-Environmental Effects on the Coordination Geometry, Electronic Structure, and Reactivity","Z Halime, MT Kieber-Emmons, MF Qayyum, B Mondal, T Gandhi, SC Puiu, ...","Inorganic chemistry 49 (8), 3629-3645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2118520741746533129,58,2010
Amine oxidative N-dealkylation via cupric hydroperoxide Cu-OOH homolytic cleavage followed by site-specific Fenton chemistry,"S Kim, JW Ginsbach, JY Lee, RL Peterson, JJ Liu, MA Siegler, ...","Journal of the American Chemical Society 137 (8), 2867-2874",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10319026471351781242,57,2015
"A multi-state, allosterically-regulated molecular receptor with switchable selectivity","J Mendez-Arroyo, J Barroso-Flores, AM Lifschitz, AA Sarjeant, CL Stern, ...","Journal of the American Chemical Society 136 (29), 10340-10348",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6622375379819523891,56,2014
Controlling Switching in Bistable [2] Catenanes by Combining Donor–Acceptor and Radical–Radical Interactions,"Z Zhu, AC Fahrenbach, H Li, JC Barnes, Z Liu, SM Dyar, H Zhang, J Lei, ...","Journal of the American Chemical Society 134 (28), 11709-11720",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7470158730095209333,56,2012
Rational Tuning of the Thiolate Donor in Model Complexes of Superoxide Reductase: Direct Evidence for a ,"F Namuswe, GD Kasper, AAN Sarjeant, T Hayashi, CM Krest, MT Green, ...","Journal of the American Chemical Society 130 (43), 14189-14200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3925365590581945835,56,2008
Modulating the binding of polycyclic aromatic hydrocarbons inside a hexacationic cage by anion–π interactions,"N Hafezi, JM Holcroft, KJ Hartlieb, EJ Dale, NA Vermeulen, CL Stern, ...","Angewandte Chemie International Edition 54 (2), 456-461",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16869308954785626175,53,2015
Aromatizing olefin metathesis by ligand isolation inside a metal–organic framework,"NA Vermeulen, O Karagiaridi, AA Sarjeant, CL Stern, JT Hupp, OK Farha, ...","Journal of the American Chemical Society 135 (40), 14916-14919",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14632099474902226687,53,2013
Copper− Hydroperoxo-Mediated N-Debenzylation Chemistry Mimicking Aspects of Copper Monooxygenases,"D Maiti, AA Narducci Sarjeant, KD Karlin","Inorganic chemistry 47 (19), 8736-8747",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16356356825908093101,50,2008
Folding of oligoviologens induced by radical–radical interactions,"Y Wang, M Frasconi, WG Liu, Z Liu, AA Sarjeant, MS Nassar, YY Botros, ...","Journal of the American Chemical Society 137 (2), 876-885",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7966438856594831328,47,2015
Enantioselective total synthesis and studies into the configurational stability of bismurrayaquinone A,"LC Konkol, F Guo, AA Sarjeant, RJ Thomson","Angewandte Chemie International Edition 50 (42), 9931-9934",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3226018573158769041,47,2011
"A peroxynitrite complex of copper: formation from a copper–nitrosyl complex, transformation to nitrite and exogenous phenol oxidative coupling or nitration","GY Park, S Deepalatha, SC Puiu, DH Lee, B Mondal, AAN Sarjeant, ...","JBIC Journal of Biological Inorganic Chemistry 14 (8), 1301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13844819250328783491,47,2009
Two Azolium Rings Are Better Than One: A Strategy for Controlling Catenation and Morphology in Zn and Cu Metal–Organic Frameworks,"JM Roberts, OK Farha, AA Sarjeant, JT Hupp, KA Scheidt","Crystal Growth & Design 11 (11), 4747-4750",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3713374704509535288,45,2011
Heme/O,"MP Schopfer, B Mondal, DH Lee, AAN Sarjeant, KD Karlin","Journal of the American Chemical Society 131 (32), 11304-11305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10725593689125773740,43,2009
Influence of the Nitrogen Donors on Nonheme Iron Models of Superoxide Reductase: High-Spin Fe,"F Namuswe, T Hayashi, Y Jiang, GD Kasper, AAN Sarjeant, ...","Journal of the American Chemical Society 132 (1), 157-167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=24667749319979247,42,2009
Heme-copper assembly mediated reductive coupling of nitrogen monoxide (· NO),"J Wang, MP Schopfer, AAN Sarjeant, KD Karlin","Journal of the American Chemical Society 131 (2), 450-451","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3150305513410080481,1569858209820426481",41,2008
A Low-Spin Alkylperoxo− Iron (III) Complex with Weak Fe− O and O− O Bonds: Implications for the Mechanism of Superoxide Reductase,"D Krishnamurthy, GD Kasper, F Namuswe, WD Kerber, ...","Journal of the American Chemical Society 128 (44), 14222-14223",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3528538039875088434,41,2006
Copper(I)/O,"Y Lee, GY Park, HR Lucas, PL Vajda, K Kamaraj, MA Vance, AE Milligan, ...","Inorganic chemistry 48 (23), 11297-11309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17983374544828067344,38,2009
Geometric and Electronic Structure of [{Cu(MeAN)},"GY Park, MF Qayyum, J Woertink, KO Hodgson, B Hedman, ...","Journal of the American Chemical Society 134 (20), 8513-8524",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12947032051954920166,37,2012
"Reactivity study of a hydroperoxodicopper (II) complex: hydroxylation, dehydrogenation, and ligand cross-link reactions","L Li, AAN Sarjeant, KD Karlin","Inorganic chemistry 45 (18), 7160-7172",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11293238583248510663,37,2006
