Title,Authors,Platform,Cited_url,Cited_count,Year
Mercury CSD 2.0–new features for the visualization and investigation of crystal structures,"CF Macrae, IJ Bruno, JA Chisholm, PR Edgington, P McCabe, E Pidcock, ...","Journal of Applied Crystallography 41 (2), 466-470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5190858075072421774,6838,2008
Mercury: visualization and analysis of crystal structures,"CF Macrae, PR Edgington, P McCabe, E Pidcock, GP Shields, R Taylor, ...","Journal of Applied Crystallography 39 (3), 453-457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=476781104807228109,5544,2006
New software for searching the Cambridge Structural Database and visualizing crystal structures,"IJ Bruno, JC Cole, PR Edgington, M Kessler, CF Macrae, P McCabe, ...","Acta Crystallographica Section B: Structural Science 58 (3), 389-397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3197821483968656313,3038,2002
"Intensive lowering of LDL cholesterol with 80 mg versus 20 mg simvastatin daily in 12,064 survivors of myocardial infarction: a double-blind randomised trial.","J Armitage, L Bowman, K Wallendszus, R Bulbulia, K Rahimi, R Haynes, ...","Lancet (London, England) 376 (9753), 1658-1669",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2661773000924239485,374,2010
Report on the sixth blind test of organic crystal structure prediction methods,"AM Reilly, RI Cooper, CS Adjiman, S Bhattacharya, AD Boese, ...","Acta Crystallographica Section B: Structural Science, Crystal Engineering …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13866880196738448092,232,2016
Nearside–farside analysis of state-selected differential cross sections for reactive molecular collisions,"AJ Dobbyn, P McCabe, JNL Connor, JF Castillo","Physical Chemistry Chemical Physics 1 (6), 1115-1124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12222635078919858714,79,1999
Coupled potential-energy surfaces and quantum reactive scattering for the Cl (2 P)+ HCl→ ClH+ Cl (2 P) reaction,"CS Maierle, GC Schatz, MS Gordon, P McCabe, JNL Connor","Journal of the Chemical Society, Faraday Transactions 93 (5), 709-720",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15084417833042117363,75,1997
New software for statistical analysis of Cambridge Structural Database data,"RA Sykes, P McCabe, FH Allen, GM Battle, IJ Bruno, PA Wood","Journal of applied crystallography 44 (4), 882-886",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=505950138994044895,71,2011
Quantum scattering studies of spin–orbit effects in the Cl (2 P)+ HCl→ ClH+ Cl (2 P) reaction,"GC Schatz, P McCabe, JNL Connor","Faraday Discussions 110, 139-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17453337556482693029,67,1998
"Nearside—farside analysis of angular scattering in elastic, inelastic and reactive molecular collisions","JNL Connor, P McCabe, D Sokolovski, GC Schatz","Chemical physics letters 206 (1-4), 119-122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2549472046433855990,50,1993
Nearside–farside analysis of differential cross sections: diffraction and rainbow scattering in atom–atom and atom–molecule rotationally inelastic sudden collisions,"P McCabe, JNL Connor","The Journal of chemical physics 104 (6), 2297-2311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3769393768162907178,48,1996
Nearside–farside analysis of differential cross sections: ,"P McCabe, JNL Connor, D Sokolovski","The Journal of chemical physics 108 (14), 5695-5703",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=582589713560939368,32,1998
Computation of Jacobi functions of the second kind for use in nearside-farside scattering theory,"J Wimp, P McCabe, JNL Connor","Journal of computational and applied mathematics 82 (1-2), 447-464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11855071233087922898,31,1997
A theoretical study of the NH+ NO reaction,"KS Bradley, P McCabe, GC Schatz, SP Walch","The Journal of chemical physics 102 (17), 6696-6705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16571524474765155954,30,1995
Nearside–farside analysis of differential cross sections using Jacobi functions of the first and second kinds: Application to ,"P McCabe, JNL Connor, D Sokolovski","The Journal of Chemical Physics 114 (12), 5194-5206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16213701463660298372,27,2001
Knowledge-based libraries for predicting the geometric preferences of druglike molecules,"R Taylor, J Cole, O Korb, P McCabe","Journal of chemical information and modeling 54 (9), 2500-2514",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1144805416712476015,18,2014
Use of crystal structure informatics for defining the conformational space needed for predicting crystal structures of pharmaceutical molecules,"L Iuzzolino, AM Reilly, P McCabe, SL Price","Journal of chemical theory and computation 13 (10), 5163-5171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8369510393249643983,14,2017
