Title,Authors,Platform,Cited_url,Cited_count,Year
Raman spectrum of graphene and graphene layers,"AC Ferrari, JC Meyer, V Scardaci, C Casiraghi, M Lazzeri, F Mauri, ...","Physical review letters 97 (18), 187401","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15153365781387572527,6366332791473490456,16190228701798603700,10010255334625185185",12300,2006
Interpretation of Raman spectra of disordered and amorphous carbon,"AC Ferrari, J Robertson","Physical review B 61 (20), 14095","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9920747202741412257,14927226853170509040,7201773617998329287",10753,2000
Graphene photonics and optoelectronics,"F Bonaccorso, Z Sun, T Hasan, AC Ferrari","Nature photonics 4 (9), 611","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11020621986111744441,8210832076832528385,7489935623852434856",6041,2010
"Raman spectroscopy of graphene and graphite: disorder, electron–phonon coupling, doping and nonadiabatic effects",AC Ferrari,"Solid state communications 143 (1-2), 47-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1112928798795796577,5372,2007
High-yield production of graphene by liquid-phase exfoliation of graphite,"Y Hernandez, V Nicolosi, M Lotya, FM Blighe, Z Sun, S De, IT McGovern, ...","Nature nanotechnology 3 (9), 563",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13819057936027511300,5089,2008
Raman spectroscopy as a versatile tool for studying the properties of graphene,"AC Ferrari, DM Basko","Nature nanotechnology 8 (4), 235",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16884046842323451025,3825,2013
Control of graphene's properties by reversible hydrogenation: evidence for graphane,"DC Elias, RR Nair, TMG Mohiuddin, SV Morozov, P Blake, MP Halsall, ...","Science 323 (5914), 610-613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2812037975089866560,3816,2009
Monitoring dopants by Raman scattering in an electrochemically top-gated graphene transistor,"A Das, S Pisana, B Chakraborty, S Piscanec, SK Saha, UV Waghmare, ...","Nature nanotechnology 3 (4), 210","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4652999830875826066,1625514605736855873,16878860558205598594,12228722179386684281",2927,2008
"Resonant Raman spectroscopy of disordered, amorphous, and diamondlike carbon","AC Ferrari, J Robertson","Physical review B 64 (7), 075414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7153628505284182710,2292,2001
Quantifying defects in graphene via Raman spectroscopy at different excitation energies,"LG Cançado, A Jorio, EHM Ferreira, F Stavale, CA Achete, RB Capaz, ...","Nano letters 11 (8), 3190-3196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10693921348608609531,1996,2011
