Title,Authors,Platform,Cited_url,Cited_count,Year
Immunity after treatment of human schistosomiasis: association between IgE antibodies to adult worm antigens and resistance to reinfection,"DW Dunne, AE Butterworth, AJC Fulford, H Curtis Kariuki, JG Langley, ...","European journal of immunology 22 (6), 1483-1494",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4478416814111575298,436,1992
Changes in malaria indices between 1999 and 2007 in The Gambia: a retrospective analysis,"SJ Ceesay, C Casals-Pascual, J Erskine, SE Anya, NO Duah, AJC Fulford, ...","The lancet 372 (9649), 1545-1554",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14889028009323625751,428,2008
Maternal nutrition at conception modulates DNA methylation of human metastable epialleles,"P Dominguez-Salas, SE Moore, MS Baker, AW Bergen, SE Cox, RA Dyer, ...","Nature communications 5, 3746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1645653466930634484,387,2014
Critical windows for nutritional interventions against stunting,"AM Prentice, KA Ward, GR Goldberg, LM Jarjou, SE Moore, AJ Fulford, ...","The American of Clinical Nutrition 97 (5), 911-918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14272578415082263589,358,2013
Infection with ,"A Cooke, P Tonks, FM Jones, H O'SHEA, P Hutchings, AJC Fulford","Parasite immunology 21 (4), 169-176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17343880757178898560,343,1999
New loci associated with birth weight identify genetic links between intrauterine growth and adult height and metabolism,"M Horikoshi, H Yaghootkar, DO Mook-Kanamori, U Sovio, HR Taal, ...","Nature genetics 45 (1), 76",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10242140028351636961,224,2013
Widespread seasonal gene expression reveals annual differences in human immunity and physiology,"XC Dopico, M Evangelou, RC Ferreira, H Guo, ML Pekalski, DJ Smyth, ...","Nature communications 6, 7000",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7715308713788905717,222,2015
"High levels of TNF, soluble TNF receptors, soluble ICAM-1, and IFN-γ, but low levels of IL-5, are associated with hepatosplenic disease in human schistosomiasis mansoni","JK Mwatha, G Kimani, T Kamau, GG Mbugua, JH Ouma, J Mumo, ...","The Journal of Immunology 160 (4), 1992-1999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5118419510496271413,209,1998
Evolutionary origins of the obesity epidemic: natural selection of thrifty genes or genetic drift following predation release?,"AM Prentice, BJ Hennig, AJ Fulford","International journal of obesity 32 (11), 1607",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1954391362399391936,198,2008
Differential effects of seasonality on preterm birth and intrauterine growth restriction in rural Africans,"P Rayco-Solon, AJ Fulford, AM Prentice","The American journal of clinical nutrition 81 (1), 134-139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2716898329969445726,196,2005
