Title,Authors,Platform,Cited_url,Cited_count,Year
On sequential Monte Carlo sampling methods for Bayesian filtering,"A Doucet, S Godsill, C Andrieu","Statistics and computing 10 (3), 197-208",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18395722449295893269,5427,2000
The contourlet transform: an efficient directional multiresolution image representation,"MN Do, M Vetterli","IEEE Transactions on image processing 14 (12), 2091-2106","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17668527320105980571,16502575096420265322,16544947932615878325",5017,2005
An overview of existing methods and recent advances in sequential Monte Carlo,"O Cappé, SJ Godsill, E Moulines","Proceedings of the IEEE 95 (5), 899-924",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1897196075577978257,1097,2007
Monte Carlo smoothing for nonlinear time series,"SJ Godsill, A Doucet, M West","Journal of the american statistical association 99 (465), 156-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18385020788249449142,533,2004
Digital audio restoration,"S Godsill, P Rayner, O Cappé","Applications of digital signal processing to audio and acoustics, 133-194","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3987299312402654231,17986818507878207961,18003019567540633819",498,2002
Monte Carlo filtering for multi target tracking and data association,"J Vermaak, SJ Godsill, P Perez","IEEE Transactions on Aerospace and Electronic systems 41 (1), 309-332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5630453500647508545,472,2005
On the relationship between Markov chain Monte Carlo methods for model uncertainty,SJ Godsill,"Journal of computational and graphical statistics 10 (2), 230-248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13483796706365372626,278,2001
Poisson models for extended target and group tracking,"K Gilholm, S Godsill, S Maskell, D Salmond","Signal and Data Processing of Small Targets 2005 5913, 59130R",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16265491693555841882,241,2005
Particle methods for Bayesian modeling and enhancement of speech signals,"J Vermaak, C Andrieu, A Doucet, SJ Godsill","IEEE Transactions on Speech and Audio Processing 10 (3), 173-185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11155888076471939815,200,2002
A Bayesian approach for blind separation of sparse sources,"C Fevotte, SJ Godsill","IEEE Transactions on Audio, Speech, and Language Processing 14 (6), 2174-2188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2213653801463137062,194,2006
Efficient alternatives to the Ephraim and Malah suppression rule for audio signal enhancement,"PJ Wolfe, SJ Godsill","EURASIP Journal on Applied Signal Processing 2003, 1043-1051",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6821446435183190693,183,2003
Improvement strategies for Monte Carlo particle filters,"S Godsill, T Clapp","Sequential Monte Carlo methods in practice, 139-158",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12469668683703574278,178,2001
Bayesian extensions to non-negative matrix factorisation for audio signal modelling,"T Virtanen, AT Cemgil, S Godsill","2008 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11506560393491755748,164,2008
Maximum a posteriori sequence estimation using Monte Carlo particle filters,"S Godsill, A Doucet, M West","Annals of the Institute of Statistical Mathematics 53 (1), 82-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12422479345695569238,162,2001
Monte Carlo smoothing with application to audio signal enhancement,"W Fong, SJ Godsill, A Doucet, M West","IEEE transactions on signal processing 50 (2), 438-449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1356742237980265340,158,2002
Detection of abrupt spectral changes using support vector machines an application to audio signal segmentation,"M Davy, S Godsill","2002 IEEE International Conference on Acoustics, Speech, and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=694240311090183083,148,2002
Auxiliary particle implementation of probability hypothesis density filter,"N Whiteley, S Singh, S Godsill","IEEE Transactions on Aerospace and Electronic Systems 46 (3), 1437-1454",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3024350271066632889,141,2010
Overview of Bayesian sequential Monte Carlo methods for group and extended object tracking,"L Mihaylova, AY Carmi, F Septier, A Gning, SK Pang, S Godsill","Digital Signal Processing 25, 1-16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9947533798273622407,135,2014
Bayesian variable selection and regularization for time–frequency surface estimation,"PJ Wolfe, SJ Godsill, WJ Ng",Journal of the Royal Statistical Society: Series B (Statistical Methodology …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5710428969928446182,134,2004
Bayesian harmonic models for musical signal analysis,"M Davy, SJ Godsill","Bayesian Statistics 7, 105-124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8730694081227490901,123,2003
Bayesian harmonic models for musical pitch estimation and analysis,"S Godsill, M Davy","2002 IEEE International Conference on Acoustics, Speech, and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10595412390957001050,117,2002
Simple alternatives to the Ephraim and Malah suppression rule for speech enhancement,"PJ Wolfe, SJ Godsill",Proceedings of the 11th IEEE Signal Processing Workshop on Statistical …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11433094044659204497,113,2001
Bayesian analysis of polyphonic western tonal music,"M Davy, S Godsill, J Idier","The Journal of the Acoustical Society of America 119 (4), 2498-2517",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7958114388710125957,112,2006
Marginal maximum a posteriori estimation using Markov chain Monte Carlo,"A Doucet, SJ Godsill, CP Robert","Statistics and Computing 12 (1), 77-84",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17624200689061198753,112,2002
