Title,Authors,Platform,Cited_url,Cited_count,Year
Tribology: friction and wear of engineering materials,"I Hutchings, P Shipway",Butterworth-Heinemann,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5258216747391810576,3538,2017
Direct writing technology—Advances and developments,"KKB Hon, L Li, IM Hutchings","CIRP Annals 57 (2), 601-620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4934307604053947970,448,2008
Transitions between two-body and three-body abrasive wear: influence of test conditions in the microscale abrasive wear test,"RI Trezona, DN Allsopp, IM Hutchings","Wear 225, 205-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12288273647052665823,417,1999
A model for the erosion of metals by spherical particles at normal incidence,IM Hutchings,"Wear 70 (3), 269-281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4377188198019677484,405,1981
Hydrodynamic lubrication of textured steel surfaces under reciprocating sliding conditions,"HL Costa, IM Hutchings","Tribology International 40 (8), 1227-1238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1481196377958574395,353,2007
"A micro-abrasive wear test, with particular application to coated systems","KL Rutherford, IM Hutchings","Surface and Coatings Technology 79 (1-3), 231-239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13197566737336909349,345,1996
Particle erosion of ductile metals: a mechanism of material removal,"IM Hutchings, RE Winter","Wear 27 (1), 121-128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2300496849183554182,290,1974
Theory and application of a micro-scale abrasive wear test,"KL Rutherford, IM Hutchings","Journal of Testing and Evaluation 25 (2), 250-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7829273463633201272,279,1997
Solid particle erosion of metals: the removal of surface material by spherical projectiles,"IM Hutchings, RE Winter, JE Field",Proceedings of the Royal Society of London. A. Mathematical and Physical …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13870745587068894587,263,1976
Wear-mode mapping for the micro-scale abrasion test,"K Adachi, IM Hutchings","Wear 255 (1-6), 23-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4468391311020706829,262,2003
Inkjet printing-the physics of manipulating liquid jets and drops,"GD Martin, SD Hoath, IM Hutchings","Journal of Physics: Conference Series 105 (1), 012001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6269128851301557634,230,2008
Numerical studies of the influence of the dynamic contact angle on a droplet impacting on a dry surface,"K Yokoi, D Vadillo, J Hinch, I Hutchings","Physics of Fluids 21 (7), 072102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17447689618820696144,200,2009
Solid particle erosion studies using single angular particles,"RE Winter, IM Hutchings","Wear 29 (2), 181-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12773445872144221612,195,1974
Progress towards standardisation of ball cratering,"MG Gee, A Gant, I Hutchings, R Bethke, K Schiffman, K Van Acker, ...","Wear 255 (1-6), 1-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6173520881962226580,194,2003
Reduction of the sliding friction of metals by the application of longitudinal or transverse ultrasonic vibration,"VC Kumar, IM Hutchings","Tribology International 37 (10), 833-840",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16619432661731145744,193,2004
Characterization of heavily boron-doped diamond films,"RJ Zhang, ST Lee, YW Lam","Diamond and Related Materials 5 (11), 1288-1294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4530453316384784932,188,1996
Wear resistance of amorphous alloys and related materials,"AL Greer, KL Rutherford, IM Hutchings","International Materials Reviews 47 (2), 87-112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8738840393053383792,186,2002
