Title,Authors,Platform,Cited_url,Cited_count,Year
"VIP21, a 21-kD membrane protein is an integral component of trans-Golgi-network-derived transport vesicles.","TV Kurzchalia, P Dupree, RG Parton, R Kellner, H Virta, M Lehnert, ...","The Journal of cell biology 118 (5), 1003-1014",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7784817396939049504,638,1992
Insights into the oxidative degradation of cellulose by a copper metalloenzyme that exploits biomass components,"RJ Quinlan, MD Sweeney, LL Leggio, H Otten, JCN Poulsen, ...","Proceedings of the National Academy of Sciences 108 (37), 15079-15084","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1576635077187237779,1592416636430799339",606,2011
Caveolae and sorting in the trans‐Golgi network of epithelial cells.,"P Dupree, RG Parton, G Raposo, TV Kurzchalia, K Simons","The EMBO journal 12 (4), 1597-1605",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1073551527787032486,537,1993
Mapping the Arabidopsis organelle proteome,"KS Lilley, C Hawes, SL Hanton, TPJ Dunkley, J Runions, S Hester, ...",Proceedings of the National Academy of Sciences of the United States of …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10821381739058258714,665805652021274387",523,2006
Analysis of detergent-resistant membranes in Arabidopsis. Evidence for plasma membrane lipid rafts,"GHH Borner, DJ Sherrier, T Weimar, LV Michaelson, ND Hawkins, ...","Plant physiology 137 (1), 104-116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10600597198187557629,478,2005
"Two-dimensional gel electrophoresis: recent advances in sample preparation, detection and quantitation","KS Lilley, A Razzaq, P Dupree","Current opinion in chemical biology 6 (1), 46-50",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8061393806309005164,370,2002
Identification of glycosylphosphatidylinositol-anchored proteins in Arabidopsis. A proteomic and genomic analysis,"GHH Borner, KS Lilley, TJ Stevens, P Dupree","Plant physiology 132 (2), 568-577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6332193614809373594,353,2003
Localization of organelle proteins by isotope tagging (LOPIT),"TPJ Dunkley, R Watson, JL Griffin, P Dupree, KS Lilley","Molecular & Cellular Proteomics 3 (11), 1128-1134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3783255209702229898,313,2004
"COBRA, an Arabidopsis extracellular glycosyl-phosphatidyl inositol-anchored protein, specifically controls highly anisotropic expansion through its involvement in cellulose …","F Roudier, AG Fernandez, M Fujita, R Himmelspach, GHH Borner, ...","The Plant Cell 17 (6), 1749-1763",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1688853487681951815,311,2005
Comparison of five xylan synthesis mutants reveals new insight into the mechanisms of xylan synthesis,"DM Brown, F Goubet, VW Wong, R Goodacre, E Stephens, P Dupree, ...","The Plant Journal 52 (6), 1154-1168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17017033450295376590,299,2007
Characterization of IRX10 and IRX10‐like reveals an essential role in glucuronoxylan biosynthesis in Arabidopsis,"DM Brown, Z Zhang, E Stephens, P Dupree, SR Turner","The Plant Journal 57 (4), 732-746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=919391210510305018,262,2009
Absence of branches from xylan in Arabidopsis gux mutants reveals potential for simplification of lignocellulosic biomass,"JC Mortimer, GP Miles, DM Brown, Z Zhang, MP Segura, T Weimar, X Yu, ...","Proceedings of the National Academy of Sciences 107 (40), 17409-17414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7760996253394061007,231,2010
Targeting of active sialyltransferase to the plant Golgi apparatus,"EGT Wee, DJ Sherrier, TA Prime, P Dupree","The Plant Cell 10 (10), 1759-1768",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13568502812887016131,213,1998
Lignocellulose degradation mechanisms across the Tree of Life,"SM Cragg, GT Beckham, NC Bruce, TDH Bugg, DL Distel, P Dupree, ...","Current Opinion in Chemical Biology 29, 108-119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1775584205544854996,204,2015
The wood from the trees: The use of timber in construction,"MH Ramage, H Burridge, M Busse-Wicher, G Fereday, T Reynolds, ...","Renewable and Sustainable Energy Reviews 68, 333-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12044565802496369361,201,2017
Prediction of glycosylphosphatidylinositol-anchored proteins in Arabidopsis. A genomic analysis,"GHH Borner, DJ Sherrier, TJ Stevens, IT Arkin, P Dupree","Plant Physiology 129 (2), 486-499",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11680698120251258767,191,2002
Lignin biosynthesis perturbations affect secondary cell wall composition and saccharification yield in Arabidopsis thaliana,"R Van Acker, R Vanholme, V Storme, JC Mortimer, P Dupree, W Boerjan","Biotechnology for biofuels 6 (1), 46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12998875905786149186,187,2013
Glycosyl transferases in family 61 mediate arabinofuranosyl transfer onto xylan in grasses,"N Anders, MD Wilkinson, A Lovegrove, J Freeman, T Tryfona, TK Pellny, ...","Proceedings of the National Academy of Sciences 109 (3), 989-993",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14246106376533185920,187,2012
