Title,Authors,Platform,Cited_url,Cited_count,Year
An energy budget for signaling in the grey matter of the brain,"D Attwell, SB Laughlin","Journal of Cerebral Blood Flow & Metabolism 21 (10), 1133-1145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14529947518700238112,2514,2001
Predictive coding: a fresh view of inhibition in the retina,"MV Srinivasan, SB Laughlin, A Dubs",Proceedings of the Royal Society of London. Series B. Biological Sciences …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10200209174632014608,940,1982
A simple coding procedure enhances a neuron's information capacity,S Laughlin,"Zeitschrift für Naturforschung c 36 (9-10), 910-912",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6006781494501321047,869,1981
Communication in neuronal networks,"SB Laughlin, TJ Sejnowski","Science 301 (5641), 1870-1874",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15125427434637218791,785,2003
The metabolic cost of neural information,"SB Laughlin, RRR van Steveninck, JC Anderson","Nature neuroscience 1 (1), 36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5180617447733767483,703,1998
Energy limitation as a selective pressure on the evolution of sensory systems,"JE Niven, SB Laughlin","Journal of Experimental Biology 211 (11), 1792-1804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8726703709401300144,637,2008
"de Ruyter van Steveninck RR, Anderson JC (1998) The metabolic cost of neural information",SB Laughlin,"Nat Neurosci 1 (1), 36-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7992497291738117442,496,0
Energy as a constraint on the coding and processing of sensory information,SB Laughlin,"Current opinion in neurobiology 11 (4), 475-480",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15858185215140946308,458,2001
Common strategies for light adaptation in the peripheral visual systems of fly and dragonfly,"SB Laughlin, RC Hardie","Journal of comparative physiology 128 (4), 319-340",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13713925764548461191,307,1978
Neural principles in the peripheral visual systems of invertebrates,S Laughlin,Handbook of sensory physiology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10811869159642273612,304,1981
The role of sensory adaptation in the retina,SB Laughlin,"Journal of Experimental Biology 146 (1), 39-62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9433184380010256275,233,1989
Colour thresholds and receptor noise: behaviour and physiology compared,"M Vorobyev, R Brandt, D Peitsch, SB Laughlin, R Menzel","Vision research 41 (5), 639-653",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5525170887238599413,231,2001
Principles of Neural Design,"P Sterling, S Laughlin",MIT Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1946167810625953818,212,2015
Fly photoreceptors demonstrate energy-information trade-offs in neural coding,"JE Niven, JC Anderson, SB Laughlin","PLoS biology 5 (4), e116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4655182983147045309,212,2007
Adaptation of the motion-sensitive neuron H1 is generated locally and governed by contrast frequency,"T Maddess, SB Laughlin",Proceedings of the Royal society of London. Series B. Biological sciences …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=655357539280206148,205,1985
ATP consumption by mammalian rod photoreceptors in darkness and in light,"H Okawa, AP Sampath, SB Laughlin, GL Fain","Current Biology 18 (24), 1917-1921",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17844203118549172143,198,2008
Fast and slow photoreceptors—a comparative study of the functional diversity of coding and conductances in the Diptera,"SB Laughlin, M Weckström","Journal of Comparative Physiology A 172 (5), 593-609",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17608328383488591493,193,1993
Structure and function of the fused rhabdom,"AW Snyder, R Menzel, SB Laughlin","Journal of comparative physiology 87 (2), 99-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15927685780568026214,186,1973
Action potential energy efficiency varies among neuron types in vertebrates and invertebrates,"B Sengupta, M Stemmler, SB Laughlin, JE Niven","PLoS computational biology 6 (7), e1000840",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13730028218815978485,185,2010
Ion-channel noise places limits on the miniaturization of the brain’s wiring,"AA Faisal, JA White, SB Laughlin","Current Biology 15 (12), 1143-1149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11830991412840931631,181,2005
Phototransduction and the evolution of photoreceptors,"GL Fain, R Hardie, SB Laughlin","Current Biology 20 (3), R114-R124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5429504293019898338,178,2010
Stochastic simulations on the reliability of action potential propagation in thin axons,"AA Faisal, SB Laughlin","PLoS computational biology 3 (5), e79",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=635155752138929172,171,2007
The rate of information transfer at graded-potential synapses,"RRR Van Steveninck, SB Laughlin","Nature 379 (6566), 642",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6302670428153564111,166,1996
Spatial information capacity of compound eyes,"AW Snyder, DG Stavenga, SB Laughlin","Journal of Comparative Physiology 116 (2), 183-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16736637847227620936,164,1977
"Matching coding, circuits, cells, and molecules to signals: general principles of retinal design in the fly's eye",SB Laughlin,"Progress in retinal and eye research 13 (1), 165-196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16322893786863692372,161,1994
Accuracy of velocity estimation by Reichardt correlators,"RO Dror, DC O’carroll, SB Laughlin","JOSA A 18 (2), 241-252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3034560589966286815,156,2001
Insect motion detectors matched to visual ecology,"DC O'Carroll, NJ Bidweii, SB Laughlin, EJ Warrant","Nature 382 (6586), 63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6579305728415617115,156,1996
Synaptic limitations to contrast coding in the retina of the blowfly ,"SB Laughlin, J Howard, B Blakeslee",Proceedings of the Royal society of London. Series B. Biological sciences …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3473390830181613618,155,1987
