Title,Authors,Platform,Cited_url,Cited_count,Year
The parameterization reduction of soft sets and its applications,"D Chen, ECC Tsang, DS Yeung, X Wang","Computers & Mathematics with Applications 49 (5-6), 757-763",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15144826350874891173,765,2005
Antibody formulation,"XM Lam, JQ Oeswein, B Ongpipattanakul, Z Shahrokh, SX Wang, ...","US Patent 6,171,586",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15485050094339429934,538,2001
On the generalization of fuzzy rough sets,"DS Yeung, D Chen, ECC Tsang, JWT Lee, W Xizhao","IEEE Transactions on fuzzy systems 13 (3), 343-361",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13468194621656652870,392,2005
Improving fuzzy c-means clustering based on feature-weight learning,"X Wang, Y Wang, L Wang","Pattern recognition letters 25 (10), 1123-1132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5447672950909433872,362,2004
Fuzziness based semi-supervised learning approach for intrusion detection system,"RAR Ashfaq, XZ Wang, JZ Huang, H Abbas, YL He","Information Sciences 378, 484-497",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15289749035891971021,259,2017
Attributes reduction using fuzzy rough sets,"ECC Tsang, D Chen, DS Yeung, XZ Wang, JWT Lee","IEEE Transactions on Fuzzy systems 16 (5), 1130-1141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15660342865370693385,259,2008
Improving Generalization of Fuzzy IF--THEN Rules by Maximizing Fuzzy Entropy,"XZ Wang, CR Dong","IEEE Transactions on fuzzy systems 17 (3), 556-567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2811450303156071722,199,2008
Learning fuzzy rules from fuzzy samples based on rough set technique,"X Wang, ECC Tsang, S Zhao, D Chen, DS Yeung","Information sciences 177 (20), 4493-4514",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12668624024458870240,189,2007
A study on relationship between generalization abilities and fuzziness of base classifiers in ensemble learning,"XZ Wang, HJ Xing, Y Li, Q Hua, CR Dong, W Pedrycz","IEEE transactions on fuzzy systems 23 (5), 1638-1654",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11179546273341658811,177,2014
On the optimization of fuzzy decision trees,"X Wang, B Chen, G Qian, F Ye","Fuzzy sets and systems 112 (1), 117-125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11510145613826010659,177,2000
Localized generalization error model and its application to architecture selection for radial basis function neural network,"DS Yeung, WWY Ng, D Wang, ECC Tsang, XZ Wang","IEEE Transactions on Neural Networks 18 (5), 1294-1305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17084845732255101832,168,2007
A comparative study on heuristic algorithms for generating fuzzy decision trees,"XZ Wang, DS Yeung, ECC Tsang","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 31 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12145896295538912477,168,2001
Induction of multiple fuzzy decision trees based on rough set technique,"XZ Wang, JH Zhai, SX Lu","Information Sciences 178 (16), 3188-3202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2453912290726127966,164,2008
Maximum ambiguity-based sample selection in fuzzy decision tree induction,"XZ Wang, LC Dong, JH Yan","IEEE Transactions on Knowledge and Data Engineering 24 (8), 1491-1505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11108636267816174127,157,2011
Fuzziness based sample categorization for classifier performance improvement,"XZ Wang, RAR Ashfaq, AM Fu","Journal of Intelligent & Fuzzy Systems 29 (3), 1185-1196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12113853466385884171,145,2015
Particle swarm optimization for determining fuzzy measures from data,"XZ Wang, YL He, LC Dong, HY Zhao","Information Sciences 181 (19), 4230-4252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1228101454252766646,120,2011
Improving performance of similarity-based clustering by feature weight learning,"DS Yeung, XZ Wang","IEEE transactions on pattern analysis and machine intelligence 24 (4), 556-561",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17870743595927766983,115,2002
Dynamic ensemble extreme learning machine based on sample entropy,"J Zhai, H Xu, X Wang","Soft Computing 16 (9), 1493-1502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9893180157132794628,108,2012
A review on neural networks with random weights,"W Cao, X Wang, Z Ming, J Gao","Neurocomputing 275, 278-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11078688824967607620,106,2018
Building a rule-based classifier—A fuzzy-rough set approach,"S Zhao, ECC Tsang, D Chen, X Wang","IEEE Transactions on Knowledge and Data Engineering 22 (5), 624-638",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8500639010525574960,105,2009
An optimized tongue image color correction scheme,"X Wang, D Zhang","IEEE Transactions on information technology in biomedicine 14 (6), 1355-1364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18032093843476424503,100,2010
Fuzzy nonlinear regression analysis using a random weight network,"YL He, XZ Wang, JZ Huang","Information Sciences 364, 222-240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17156107832633016265,98,2016
Upper integral network with extreme learning mechanism,"X Wang, A Chen, H Feng","Neurocomputing 74 (16), 2520-2525",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4875486636491385884,95,2011
Network intrusion detection in covariance feature space,"S Jin, DS Yeung, X Wang","Pattern Recognition 40 (8), 2185-2197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17088580988650906040,95,2007
OWA operator based link prediction ensemble for social network,"Y He, JNK Liu, Y Hu, X Wang","Expert Systems with Applications 42 (1), 21-50",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13282562461088258916,91,2015
Iteration algorithms for solving a system of fuzzy linear equations,"X Wang, Z Zhong, M Ha","Fuzzy Sets and Systems 119 (1), 121-128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8839344441715916978,88,2001
Feature selection using localized generalization error for supervised classification problems using RBFNN,"WWY Ng, DS Yeung, M Firth, ECC Tsang, XZ Wang","Pattern Recognition 41 (12), 3706-3719",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6080854193382362273,83,2008
Improving learning accuracy of fuzzy decision trees by hybrid neural networks,"ECC Tsang, XZ Wang, DS Yeung","IEEE transactions on Fuzzy Systems 8 (5), 601-614",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4016710320523522766,80,2000
Non-naive bayesian classifiers for classification problems with continuous attributes,"XZ Wang, YL He, DD Wang","IEEE transactions on cybernetics 44 (1), 21-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15925801912847757977,78,2013
Transferring Case Knowledge To Adaptation Knowledge: An Approach for Case‐Base Maintenance,"SCK Shiu, DS Yeung, CH Sun, XZ Wang","Computational Intelligence 17 (2), 295-314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11611661047761935471,77,2001
A genetic algorithm for solving the inverse problem of support vector machines,"XZ Wang, Q He, DG Chen, D Yeung","Neurocomputing 68, 225-238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12704746373570119818,72,2005
FRSVMs: Fuzzy rough set based support vector machines,"D Chen, Q He, X Wang","Fuzzy Sets and Systems 161 (4), 596-607",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4890630562543711707,68,2010
OFFSS: optimal fuzzy-valued feature subset selection,"ECC Tsang, DS Yeung, XZ Wang","IEEE transactions on fuzzy systems 11 (2), 202-213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12223947584771741883,68,2003
Structured large margin machines: sensitive to data distributions,"DS Yeung, D Wang, WWY Ng, ECC Tsang, X Wang","Machine Learning 68 (2), 171-200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7071312959896673159,67,2007
Learning optimization in simplifying fuzzy rules,"X Wang, J Hong","Fuzzy sets and systems 106 (3), 349-356",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8405154550623976792,66,1999
Feature selection based on neighborhood discrimination index,"C Wang, Q Hu, X Wang, D Chen, Y Qian, Z Dong","IEEE transactions on neural networks and learning systems 29 (7), 2986-2999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2943366883677448545,65,2017
