Title,Authors,Platform,Cited_url,Cited_count,Year
Densely connected convolutional networks,"G Huang, Z Liu, L van der Maaten, KQ Weinberger","IEEE Conference on Pattern Recognition and Computer Vision (CVPR), 4700-4708","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4205512852566836101,2506333358829297044",6748,2017
Trends in extreme learning machines: A review,"G Huang, GB Huang, S Song, K You","Neural Networks 61, 32-48","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8209712180523251501,8368003674169971774",926,2015
Deep Networks with Stochastic Depth,"G Huang, Y Sun, Z Liu, D Sedra, KQ Weinberger","European Conference on Computer Vision (ECCV), 646-661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9293307870467438191,705,2016
Semi-supervised and unsupervised extreme learning machines,"G Huang, S Song, JND Gupta, C Wu","IEEE Transactions on Cybernetics 44 (12), 2405 - 2417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13365802263213236968,489,2014
Learning efficient convolutional networks through network slimming,"Z Liu, J Li, Z Shen, G Huang, S Yan, C Zhang","IEEE International Conference on Computer Vision (ICCV), 2736-2744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6535994235718327488,324,2017
"Snapshot ensembles: Train 1, get M for free","G Huang, Y Li, G Pleiss, Z Liu, JE Hopcroft, KQ Weinberger",International Conference on Learning Representations (ICLR),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13258787322136448860,202,2017
CondenseNet: An Efficient DenseNet using Learned Group Convolutions,"G Huang, S Liu, L van der Maaten, KQ Weinberger","IEEE Conference on Pattern Recognition and Computer Vision (CVPR) 3 (12), 11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=962038121370501229,179,2017
Multi-scale dense networks for resource efficient image classification,"G Huang, D Chen, T Li, F Wu, L van der Maaten, KQ Weinberger",International Conference on Learning Representations (ICLR),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8749554166283747056,11927587842303545175",154,2018
Rethinking the value of network pruning,"Z Liu, M Sun, T Zhou, G Huang, T Darrell",International Conference on Learning Representations (ICLR),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3601827758437367761,103,2018
Supervised word mover's distance,"G Huang, C Guo, MJ Kusner, Y Sun, F Sha, KQ Weinberger","Advances in Neural Information Processing Systems (NIPS), 4862-4870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9307065558981927940,78,2016
