Title,Authors,Platform,Cited_url,Cited_count,Year
Machine learning paradigms for next-generation wireless networks,"C Jiang, H Zhang, Y Ren, Z Han, KC Chen, L Hanzo","IEEE Wireless Communications 24 (2), 98-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15269319990627334709,369,2016
Information Security in Big Data: Privacy and Data Mining,"L Xu, C Jiang, J Wang, J Yuan, Y Ren",IEEE Access 2 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1365198495887620265,342,2014
Resource Allocation in Spectrum-Sharing OFDMA Femtocells With Heterogeneous Services,"H Zhang, C Jiang, NC Beaulieu, X Chu, X Wen, M Tao","IEEE Transactions on Communications 62 (7), 2366-2377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13230384648517826648,319,2014
Resource allocation for cognitive small cell networks: A cooperative bargaining game theoretic approach,"H Zhang, C Jiang, NC Beaulieu, X Chu, X Wang, TQS Quek","IEEE Transactions on Wireless Communications 14 (6), 3481-3493",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9857599204670798888,304,2015
Energy efficient user association and power allocation in millimeter-wave-based ultra dense networks with energy harvesting base stations,"H Zhang, S Huang, C Jiang, K Long, VCM Leung, HV Poor","IEEE Journal on Selected Areas in Communications 35 (9), 1936-1947",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16102996447384986048,243,2017
Interference-limited resource optimization in cognitive femtocells with fairness and imperfect spectrum sensing,"H Zhang, C Jiang, X Mao, HH Chen","IEEE Transactions on Vehicular Technology 65 (3), 1761-1771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=111680856489668731,219,2015
Cooperative Interference Mitigation and Handover Management for Heterogeneous Cloud Small Cell Networks,"H Zhang, C Jiang, J Cheng, V Leung","IEEE Wireless Communications 22 (3), 92-99",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6426372400980453668,179,2015
Renewal-Theoretical Dynamic Spectrum Access in Cognitive Radio Networks with Unknown Primary Behavior,"C Jiang, Y Chen, KJ Liu, Y Ren","Selected Areas in Communications, IEEE Journal on, 31(3), 2013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14511908954506901114,160,2013
Joint spectrum sensing and access evolutionary game in cognitive radio networks,"C Jiang, Y Chen, Y Gao, R Liu","Wireless Communications, IEEE Transactions on 12 (5), 2470-2483",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3351928052196604292,156,2013
Time-Reversal Wireless Paradigm for Green Internet of Things: An Overview,"Y Chen, F Han, YH Yang, H Ma, Y Han, C Jiang, HQ Lai, D Claffey, ...","Internet of Things Journal, IEEE 1 (1), 81-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14480178376387216461,140,2014
Taking drones to the next level: Cooperative distributed unmanned-aerial-vehicular networks for small and mini drones,"J Wang, C Jiang, Z Han, Y Ren, RG Maunder, L Hanzo","Ieee vehIcular technology magazIne 12 (3), 73-82","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16364404428313496597,13046479059433891256",130,2017
Evolutionary dynamics of information diffusion over social networks,"C Jiang, Y Chen, KJR Liu","Signal Processing, IEEE Transactions on 62 (17), 4573-4586",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12826326844625030677,110,2014
Graphical evolutionary game for information diffusion over social networks,"C Jiang, Y Chen, K Liu","IEEE Journal of Selected Topics in Signal Processing 8 (4), 524-536",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6442783018549184503,102,2014
"Energy-efficient non-cooperative cognitive radio networks: micro, meso, and macro views","C Jiang, H Zhang, Y Ren, HH Chen","IEEE Communications Magazine 52 (7), 14-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2576192098951355809,100,2014
Signalling cost evaluation of handover management schemes in LTE-advanced femtocell,"H Zhang, W Ma, W Li, W Zheng, X Wen, C Jiang","2011 IEEE 73rd vehicular technology conference (VTC Spring), 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12398513941658470844,86,2011
A practical semidynamic clustering scheme using affinity propagation in cooperative picocells,"H Zhang, H Liu, C Jiang, X Chu, A Nallanathan, X Wen","IEEE Transactions on Vehicular Technology 64 (9), 4372-4377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3655299488189923360,56,2014
Non-orthogonal multiple access based integrated terrestrial-satellite networks,"X Zhu, C Jiang, L Kuang, N Ge, J Lu","IEEE Journal on Selected Areas in Communications 35 (10), 2253-2267",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15062406483764708749,55,2017
Distributed adaptive networks: A graphical evolutionary game-theoretic view,"C Jiang, Y Chen, KJR Liu","IEEE Transactions on Signal Processing 61 (22), 5675-5688",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16470989093341064536,54,2013
Self-organization in disaster-resilient heterogeneous small cell networks,"H Zhang, C Jiang, RQ Hu, Y Qian","IEEE Network 30 (2), 116-121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1555909071714159231,53,2016
Network association strategies for an energy harvesting aided super-WiFi network relying on measured solar activity,"J Wang, C Jiang, Z Han, Y Ren, L Hanzo","IEEE Journal on Selected Areas in Communications 34 (12), 3785-3797",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11821877473712714485,52,2016
