Title,Authors,Platform,Cited_url,Cited_count,Year
Molecular ecological network analyses,"Y Deng, YH Jiang, Y Yang, Z He, F Luo, J Zhou","BMC bioinformatics 13 (1), 113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15008658279729359319,408,2012
Reproducibility and quantitation of amplicon sequencing-based detection,"J Zhou, L Wu, Y Deng, X Zhi, YH Jiang, Q Tu, J Xie, JD Van Nostrand, ...","The ISME journal 5 (8), 1303",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4417116873186868404,309,2011
Metabolic engineering of Clostridium cellulolyticum for production of isobutanol from cellulose,"W Higashide, Y Li, Y Yang, JC Liao","Appl. Environ. Microbiol. 77 (8), 2727-2733",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6202817884986509921,246,2011
Phylogenetic molecular ecological network of soil microbial communities in response to elevated CO2,"J Zhou, Y Deng, F Luo, Z He, Y Yang","MBio 2 (4), e00122-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15532872377371040683,228,2011
"Stochasticity, succession, and environmental perturbations in a fluidic ecosystem","J Zhou, Y Deng, P Zhang, K Xue, Y Liang, JD Van Nostrand, Y Yang, Z He, ...","Proceedings of the National Academy of Sciences 111 (9), E836-E845",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11628586951568729361,219,2014
High-throughput metagenomic technologies for complex microbial community analysis: open and closed formats,"J Zhou, Z He, Y Yang, Y Deng, SG Tringe, L Alvarez-Cohen","MBio 6 (1), e02288-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9543372215785282514,196,2015
Modular organization of protein interaction networks,"F Luo, Y Yang, CF Chen, R Chang, J Zhou, RH Scheuermann","Bioinformatics 23 (2), 207-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3621282393877373129,194,2006
Constructing gene co-expression networks and predicting functions of unknown genes by random matrix theory,"F Luo, Y Yang, J Zhong, H Gao, L Khan, DK Thompson, J Zhou","BMC bioinformatics 8 (1), 299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16986580490642040105,180,2007
Nopp140 functions as a molecular link between the nucleolus and the coiled bodies,"C Isaac, Y Yang, UT Meier","The Journal of cell biology 142 (2), 319-329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11087687260465437428,161,1998
The microbial gene diversity along an elevation gradient of the Tibetan grassland,"Y Yang, Y Gao, S Wang, D Xu, H Yu, L Wu, Q Lin, Y Hu, X Li, Z He, ...","The ISME journal 8 (2), 430-440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1512408745840684674,143,2014
Responses of the functional structure of soil microbial community to livestock grazing in the T ibetan alpine grassland,"Y Yang, L Wu, Q Lin, M Yuan, D Xu, H Yu, Y Hu, J Duan, X Li, Z He, K Xue, ...","Global change biology 19 (2), 637-648",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16732970491678979650,129,2013
Temperature mediates continental-scale diversity of microbes in forest soils,"J Zhou, Y Deng, L Shen, C Wen, Q Yan, D Ning, Y Qin, K Xue, L Wu, Z He, ...","Nature communications 7, 12083",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10378249198761407779,126,2016
