Title,Authors,Platform,Cited_url,Cited_count,Year
Application of distinct element method in dynamic analysis of high rock slopes and blocky structures,"Z Chuhan, OA Pekau, J Feng, W Guanglun","Soil Dynamics and Earthquake Engineering 16 (6), 385-394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8897229634615565436,121,1997
Modeling of alkali-silica reaction in concrete: a review,"JW Pan, YT Feng, JT Wang, QC Sun, CH Zhang, DRJ Owen","Frontiers of Structural and Civil Engineering 6 (1), 1-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4418829051374712003,78,2012
Non‐linear seismic response of arch dams with contraction joint opening and joint reinforcements,"C Zhang, Y Xu, G Wang, F Jin","Earthquake engineering & structural dynamics 29 (10), 1547-1566",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2653599134468043099,73,2000
堆石混凝土及堆石混凝土大坝,金峰， 安雪晖， 石建军， 张楚汉,"水利学报 36 (011), 1347-1352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5305985877536190140,67,2005
Experimental study of the interfacial transition zone (ITZ) of model rock-filled concrete (RFC),"Y Xie, DJ Corr, F Jin, H Zhou, SP Shah","Cement and Concrete Composites 55, 223-231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6728446661322126726,59,2015
A comparative study of the different procedures for seismic cracking analysis of concrete dams,"J Pan, C Zhang, Y Xu, F Jin","Soil Dynamics and Earthquake Engineering 31 (11), 1594-1606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17788237290255003246,56,2011
Time domain procedure of FE‐BE‐IBE coupling for seismic interaction of arch dams and canyons,"Z Chuhan, J Feng, OA Pekau","Earthquake engineering & structural dynamics 24 (12), 1651-1666",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3807043749620209217,55,1995
基于 ABAQUS 平台的扩展有限元法,方修君， 金峰,"工程力学 24 (7), 6-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16822991626008787218,52,2007
Practical procedure for predicting non-uniform temperature on the exposed face of arch dams,"F Jin, Z Chen, J Wang, J Yang","Applied thermal engineering 30 (14-15), 2146-2156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=176739801969379034,47,2010
Thermal analysis of mass concrete embedded with double-layer staggered heterogeneous cooling water pipes,"J Yang, Y Hu, Z Zuo, F Jin, Q Li","Applied Thermal Engineering 35, 145-156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8067267036854252287,46,2012
Comparative study procedure for the safety evaluation of high arch dams,"J Feng, H Wei, J Pan, Y Jian, J Wang, C Zhang","Computers and Geotechnics 38 (3), 306-317",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4769687890105281964,43,2011
Time-domain analysis of gravity dam–reservoir interaction using high-order doubly asymptotic open boundary,"X Wang, F Jin, S Prempramote, C Song","Computers & structures 89 (7-8), 668-680",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15020856875763219605,42,2011
自密实混凝土充填堆石体试验研究,安雪晖， 金峰， 石建军,"混凝土, 3-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13342825956798737718,41,2005
"Rock-filled concrete, the new norm of SCC in hydraulic engineering in China","X An, Q Wu, F Jin, M Huang, H Zhou, C Chen, C Liu","Cement and Concrete Composites 54, 89-99",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6782062244976785363,35,2014
Earthquake damage analysis of arch dams considering dam–water–foundation interaction,"JT Wang, DD Lv, F Jin, CH Zhang","Soil Dynamics and Earthquake Engineering 49, 64-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=157007967266403383,33,2013
Nonlinear earthquake analysis of high arch dam–water–foundation rock systems,"J Wang, C Zhang, F Jin","Seismic Safety Evaluation of Concrete Dams, 311-340",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8388728426684926783,33,2013
用于接触面模拟的非线性薄层单元,邵炜， 金峰， 王光纶,"清华大学学报: 自然科学版 39 (002), 34-38",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3104016707612229471,33,1999
Creep modeling in excavation analysis of a high rock slope,"J Feng, Z Chuhan, W Gang, W Guanglun","Journal of Geotechnical and Geoenvironmental Engineering 129 (9), 849-857",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8365878870991625843,32,2003
