Title,Authors,Platform,Cited_url,Cited_count,Year
Base-isolation design practice in Japan: introduction to the post-Kobe approach,"P Pan, DAN Zamfirescu, M Nakashima, N Nakayasu, H Kashiwa","Journal of Earthquake Engineering 9 (01), 147-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17129179744796214495,118,2005
Experimental tests on reinforced concrete columns under biaxial quasi-static loading,"F Qiu, W Li, P Pan, J Qian","Engineering Structures 24 (4), 419-428",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15400356494072787482,103,2002
Online hybrid test by internet linkage of distributed test‐analysis domains,"P Pan, M Tada, M Nakashima","Earthquake Engineering & Structural Dynamics 34 (11), 1407-1425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4561045237601004404,92,2005
Development of peer‐to‐peer (P2P) internet online hybrid test system,"P Pan, H Tomofuji, T Wang, M Nakashima, M Ohsaki, KM Mosalam","Earthquake engineering & structural dynamics 35 (7), 867-890",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1175819426209180782,80,2006
Online test using displacement–force mixed control,"P Pan, M Nakashima, H Tomofuji","Earthquake engineering & structural dynamics 34 (8), 869-888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11821249759343130741,70,2005
On‐line hybrid test combining with general‐purpose finite element software,"T Wang, M Nakashima, P Pan","Earthquake engineering & structural dynamics 35 (12), 1471-1488",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7467704951192447183,47,2006
Development of a buckling restrained shear panel damper,"K Deng, P Pan, W Li, Y Xue","Journal of Constructional Steel Research 106, 311-321",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10157291511632688276,38,2015
Shape optimization of reduced beam section under cyclic loads,"M Ohsaki, H Tagawa, P Pan","Journal of Constructional Steel Research 65 (7), 1511-1519",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11116346668928376496,37,2009
Shape optimization design of steel shear panel dampers,"K Deng, P Pan, J Sun, J Liu, Y Xue","Journal of Constructional Steel Research 99, 187-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7532099297016826934,36,2014
Collapse simulation of a four‐story steel moment frame by a distributed online hybrid test,"T Wang, J McCormick, N Yoshitake, P Pan, Y Murata, M Nakashima","Earthquake Engineering & Structural Dynamics 37 (6), 955-974",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14488695765486444637,36,2008
钢筋混凝土柱的双向拟静力实验研究,邱法维， 李文峰， 潘鹏， 钱稼茹,"建筑结构学报 22 (5), 26-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8879023123289344987,36,2001
Study of GFRP steel buckling restraint braces,"K Deng, P Pan, X Nie, X Xu, P Feng, L Ye","Journal of Composites for Construction 19 (6), 04015009",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4487917137239443630,29,2015
自复位钢框架节点有限元模拟及参数分析,"Z PAN, P PAN, L YE, F QIU","Journal of Building Structures 32 (3), 35-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2127706030758165316,29,2011
Development of crawler steel damper for bridges,"K Deng, P Pan, C Wang","Journal of Constructional Steel Research 85, 140-150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13534722549522911497,28,2013
Multiobjective heuristic approaches to seismic design of steel frames with standard sections,"M Ohsaki, T Kinoshita, P Pan","Earthquake engineering & structural dynamics 36 (11), 1481-1495",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=893980196201198339,28,2007
Shape optimization of H-beam flange for maximum plastic energy dissipation,"P Pan, M Ohsaki, H Tagawa","Journal of Structural Engineering 133 (8), 1176-1179",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9839523055429442643,28,2007
Evaluating method of element importance of structural system based on generalized structural stiffness,"LP Ye, XC Lin, Z Qu, XZ Lu, P Pan",Jianzhu Kexue Yu Gongcheng Xuebao(Journal of Architecture and Civil …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14462656777751477876,27,2010
Engineering practice of seismic isolation and energy dissipation structures in China,"P Pan, LP Ye, W Shi, HY Cao","Science China Technological Sciences 55 (11), 3036-3046",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5394297635941344207,25,2012
Numerical characteristics of peer‐to‐peer (P2P) internet online hybrid test system and its application to seismic simulation of SRC structure,"T Wang, N Yoshitake, P Pan, TH Lee, M Nakashima","Earthquake Engineering & Structural Dynamics 37 (2), 265-282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14569998515169757362,24,2008
Study on ensuring the strong column-weak beam mechanism for RC frames based on the damage analysis in the Wenchuan earthquake,"LP Ye, Z Qu, QL Ma, XC Lin, X Lu, P Pan","Build Struct 38 (11), 52-59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17901103418971122597,23,2008
A simplified model for analysis of high‐rise buildings equipped with hysteresis damped outriggers,"K Deng, P Pan, A Lam, Y Xue","The Structural Design of Tall and Special Buildings 23 (15), 1158-1170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12514094892182485093,21,2014
Test and simulation of full-scale self-centering beam-to-column connection,"K Deng, P Pan, A Lam, Z Pan, L Ye","Earthquake engineering and engineering vibration 12 (4), 599-607",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2931506166187223194,21,2013
Quasi-static test research of reinforced concrete column under biaxial loading [J],"F Qiu, W Li, P Pan, J Qian",Journal of Building Structures 5,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5013549708602742425,21,2001
Post-Kobe approach for design and construction of base-isolated buildngs,"M Nakashima, P Pan, D Zamfirescu, R Weitzmann","Journal of Japan Association for Earthquake Engineering 4 (3), 259-264",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17140560443882703140,20,2004
A distributed parameter model of a frame pin‐supported wall structure,"P Pan, S Wu, X Nie","Earthquake Engineering & Structural Dynamics 44 (10), 1643-1659",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13736099002312277567,19,2015
On the asymptotic spectral efficiency of uplink MIMO-CDMA systems over Rayleigh fading channels with arbitrary spatial correlation,"P Pan, Y Zhang, Y Sun, LL Yang","IEEE Transactions on Vehicular Technology 62 (2), 679-691",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1564689357620796288,19,2012
Study on the influence of post-yielding stiffness to the seismic response of building structures,"LP Ye, XZ Lu, QL Ma, GY Cheng, SY Song, ZW Miao, P Pan","Proc., 14th World Conf. on Earthquake Engineering",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16182593498619192764,19,2008
Fire detection algorithms for video images of large space structures,"J Hou, J Qian, W Zhang, Z Zhao, P Pan","Multimedia tools and applications 52 (1), 45-63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11784360775754701732,16,2011
Modeling and parametric study of beam-to-column connection for self-centering steel moment frames,"Z Pan, P Pan, L Ye, F Qiu","Jianzhu Jiegou Xuebao(Journal of Building Structures) 32 (3), 35-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2585094435243370108,15,2011
Analysis of the damage mechanism of a typical RC frame in Wenchuan Earthquake,"X Lin, P Pan, L Ye, X Lu, S Zhao","China Civil Engineering Journal 42 (5), 13-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10137465266873456538,15,2009
Pseudo-static collapse experiments and numerical prediction competition of RC frame structure I: RC frame experiment,"XZ Lu, LP Ye, P Pan, Z Zhao, X Ji, J Qian","Building Structure 42 (11), 19-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13746835007559340131,14,2012
Development of online hybrid testing: Theory and applications to structural engineering,"P Pan, T Wang, M Nakashima",Butterworth-Heinemann,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8499070517293679751,13,2015
Constraint approach to performance-based design of steel moment-resisting frames,"P Pan, M Ohsaki, T Kinoshita","Engineering structures 29 (2), 186-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2873298893618541974,13,2007
建筑结构拟动力实验软件的开发与应用,邱法维， 潘鹏,"建筑结构学报 21 (5), 22-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2449327531919460667,13,2000
Experimental study on slotted RC wall with steel energy dissipation links for seismic protection of buildings,"K Deng, P Pan, H Wang, S Shen","Engineering Structures 145, 1-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=550004699751643388,12,2017
Shape optimization of U-shaped damper for improving its bi-directional performance under cyclic loading,"K Deng, P Pan, Y Su, Y Xue","Engineering Structures 93, 27-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8190266767601594146,12,2015
一字形全钢防屈曲支撑耗能性能试验研究,严红， 潘鹏， 王元清,"建筑结构学报 33 (11), 142-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11057486189056761124,12,2012
Tensioning experiment on spoke structural roof of Bao'an Stadium,"Y Guo, G Tian, K Wang, B Zhang, S Zhao","Jianzhu Jiegou Xuebao(Journal of Building Structures) 32 (3), 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14921558649152818705,12,2011
Experimental study of a novel precast prestressed reinforced concrete beam-to-column joint,"H Wang, EM Marino, P Pan, H Liu, X Nie","Engineering Structures 156, 68-81",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10732226844640958320,11,2018
A modified operator splitting (OS) method for collaborative structural analysis (CSA),"M Tada, P Pan","International Journal for Numerical Methods in Engineering 72 (4), 379-396",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6959492352381350509,11,2007
Development of an energy dissipation restrainer for bridges using a steel shear panel,"K Deng, P Pan, Y Su, T Ran, Y Xue","Journal of Constructional Steel Research 101, 83-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=654858990878495101,10,2014
Development of steel dampers for bridges to allow large displacement through a vertical free mechanism,"P Pan, H Yan, T Wang, P Xu, Q Xie","Earthquake Engineering and Engineering Vibration 13 (3), 375-388",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7930991668550820775,10,2014
Fire detection algorithms in video images for high and large-span space structures,"J Hou, J Qian, Z Zhao, P Pan, W Zhang","2009 2nd International Congress on Image and Signal Processing, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6720965786252564058,10,2009
Evaluation of non-structural partition walls and suspended ceiling systems through a shake table study,"J McCormick, Y Matsuoka, P Pan, M Nakashima","Structures Congress 2008: Crossing Borders, 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=733766726292422856,10,2008
Development of a self-centering buckling restrained brace using cross-anchored pre-stressed steel strands,"H Wang, X Nie, P Pan","Journal of Constructional Steel Research 138, 621-632",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11200004930103318410,9,2017
Seismic performance of a reinforced concrete frame equipped with a double‐stage yield buckling restrained brace,"P Pan, W Li, X Nie, K Deng, J Sun","The Structural Design of Tall and Special Buildings 26 (4), e1335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14724195700798310462,9,2017
Force–displacement mixed control for collapse tests of multistory buildings using quasi‐static loading systems,"P Pan, G Zhao, X Lu, K Deng","Earthquake Engineering & Structural Dynamics 43 (2), 287-300",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8212824205994164405,9,2014
Capacity of generalised network multiple-input–multiple-output systems with multicell cooperation,"P Pan, Y Zhang, X Ju, LL Yang","IET Communications 7 (17), 1925-1937",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5622789685235244678,9,2013
Pushover analysis of RC frame rocking wall structure,"HY Cao, P Pan, LP Ye","Zhendong yu Chongji(Journal of Vibration and Shock) 30 (11), 240-244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1213282363670338593,9,2011
框架-摇摆墙结构体系中连接节点试验研究,曹海韵， 潘鹏， 吴守君， 叶列平， 曲哲,"建筑结构学报 33 (12), 38-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4142554242517079016,8,2012
Experimental study of connections of frame-rocking wall system,"H Cao, P Pan, S Wu, L Ye, Z Qu","Jianzhu Jiegou Xuebao(Journal of Building Structures) 33 (12), 38-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=804190045169541985,8,2012
Seismic performance analysis of RC frame rocking-wall structure system,"HY Cao, P Pan, LP Ye, Z Qu, MX Liu",Jianzhu Kexue Yu Gongcheng Xuebao(Journal of Architecture and Civil …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2450916127683397493,8,2011
Monotonic loading tests of ring-beam connections for steel reinforced concrete columns and RC beams,"P Pan, X Lin, A Lam, H Chen, L Ye","Journal of Structural Engineering 140 (4), 04013092",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12674779659013000143,7,2013
Experimental investigation on reparability of an infilled rocking wall frame structure,"S Wu, P Pan, X Nie, H Wang, S Shen","Earthquake Engineering & Structural Dynamics 46 (15), 2777-2792",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17731565838376726691,6,2017
Skyline‐based ground motion selection method for nonlinear time history analysis of building structures,"W Shi, P Pan, L Ye, Y Xu, C Wang","Earthquake Engineering & Structural Dynamics 42 (9), 1361-1373",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9975416138423040714,6,2013
Experimental study of viscoelastic dampers subjected to large deformation,"G Zhao, P Pan, J Qian, J Lin","Jianzhu Jiegou Xuebao(Journal of Building Structures) 33 (10), 126-133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5320951496526949283,6,2012
Collapse analysis of 4-story steel moment-resisting frames,"P Pan, M Ohsaki, J Zhang","Proc., 14th World Conf. on Earthquake Engineering",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8803247130029063593,6,2008
Research on Fire Detection and Putting out Technology for High and Large-span Space Buildings [J],"J HOU, J QIAN, Z ZHAO, P PAN",Journal of Huazhong University of Science and Technology (Urban Science …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10646569096326788651,6,2008
Online hybrid test combined with general-purpose element program,T WANG,"Journal of Structual Engineering 4, 261-268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9051663047846874753,6,2005
Experimental Study of RC Prefabricated Shear Walls with Shear Keys Affected by a Slotted Floor Slab,"SD Shen, Y Cui, P Pan, RH Gong, QS Miao, WF Li","Journal of Aerospace Engineering 32 (3), 04019013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10874535953274010484,5,2019
Experimental investigation on the effectiveness of laminated rubber bearings to isolate metro generated vibration,"P Pan, S Shen, Z Shen, R Gong","Measurement 122, 554-562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6287345237809779341,5,2018
Development of piezoelectric energy-harvesting tuned mass damper,"P Pan, DB Zhang, X Nie, HW Chen","Science China Technological Sciences 60 (3), 467-478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14198190491736238982,5,2017
Experimental study of viscoelastic dampers under large deformation,"G Zhao, P Pan, JR Qian, JS Lin","Applied Mechanics and Materials 166, 2226-2233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14862369870810019357,5,2012
Development and experimental validation of an assembled steel double-stage yield buckling restrained brace,"J Sun, P Pan, H Wang","Journal of Constructional Steel Research 145, 330-340",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11798522092603282035,4,2018
Development of a double-sliding friction damper (DSFD),"S Shen, P Pan, J Sun, R Gong, H Wang, W Li","Smart Structures and Systems 20 (2), 151-162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15965751148395543311,4,2017
Experimental study on a self‐centering coupling beam eliminating the beam elongation effect,"K Deng, P Pan, S Wu","The Structural Design of Tall and Special Buildings 25 (6), 265-277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14386628404202438087,4,2016
Experimental study of buckling-restrained braces with in-line steel core plate encased in double web wide flange steel outer unit,"H Yan, P Pan, Y Wang, T Makino, X Qi","Jianzhu Jiegou Xuebao(Journal of Building Structures) 33 (11), 142-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8276576526559744373,4,2012
黏弹性阻尼器大变形性能试验研究,赵刚， 潘鹏， 钱稼茹， 林劲松,"建筑结构学报 33 (10), 126-133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7171545549540568568,4,2012
Tests of Buckling-Restrained Braces Using Low-Yield Point Steel as Core Material,"H Yan, P Pan, YQ Wang, T Makino, X Qi","Applied Mechanics and Materials 166, 3159-3165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15208012799717751838,4,2012
Hybrid formulation of operator splitting (OS) and Newmark‐β methods for collaborative structural analysis (CSA),"P Pan, M Tada","Earthquake Engineering & Structural Dynamics 37 (7), 1117-1133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8377120561957680700,4,2008
Nonlinear multimodal pushover analysis method for spatial structures,"P PAN, M Ohsaki","International Association for Shell and Spatial Structures, 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13819560412737021392,4,2006
