Title,Authors,Platform,Cited_url,Cited_count,Year
A lithium–oxygen battery based on lithium superoxide,"J Lu, YJ Lee, X Luo, KC Lau, M Asadi, HH Wang, S Brombosz, J Wen, ...","Nature 529 (7586), 377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5758065980712563426,391,2016
Disproportionation in Li–O2 batteries based on a large surface area carbon cathode,"D Zhai, HH Wang, J Yang, KC Lau, K Li, K Amine, LA Curtiss","Journal of the American Chemical Society 135 (41), 15364-15372",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2054645680824406986,226,2013
Evidence for lithium superoxide-like species in the discharge product of a Li–O 2 battery,"J Yang, D Zhai, HH Wang, KC Lau, JA Schlueter, P Du, DJ Myers, YK Sun, ...","Physical Chemistry Chemical Physics 15 (11), 3764-3771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15751075287084189233,175,2013
Carbon coating to suppress the reduction decomposition of electrolyte on the Li4Ti5O12 electrode,"YB He, F Ning, B Li, QS Song, W Lv, H Du, D Zhai, F Su, QH Yang, F Kang","Journal of Power Sources 202, 253-261",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10927957602583470872,128,2012
Raman Evidence for Late Stage Disproportionation in a Li–O,"D Zhai, HH Wang, KC Lau, J Gao, PC Redfern, F Kang, B Li, ...","The journal of physical chemistry letters 5 (15), 2705-2710",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13744269460336243519,115,2014
Porous graphitic carbons prepared by combining chemical activation with catalytic graphitization,"D Zhai, H Du, B Li, Y Zhu, F Kang","Carbon 49 (2), 725-729",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6759279440131062709,102,2011
Interfacial Effects on Lithium Superoxide Disproportionation in Li-O,"D Zhai, KC Lau, HH Wang, J Wen, DJ Miller, J Lu, F Kang, B Li, W Yang, ...","Nano letters 15 (2), 1041-1046",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9410943289036970138,71,2015
The preparation of graphene decorated with manganese dioxide nanoparticles by electrostatic adsorption for use in supercapacitors,"D Zhai, B Li, H Du, G Gao, L Gan, Y He, Q Yang, F Kang","Carbon 50 (14), 5034-5043",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2490257978984266398,47,2012
Preparation of mesophase-pitch-based activated carbons for electric double layer capacitors with high energy density,"D Zhai, B Li, F Kang, H Du, C Xu","Microporous and Mesoporous Materials 130 (1-3), 224-228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4797864577416153482,45,2010
"A study on charge storage mechanism of α-MnO2 by occupying tunnels with metal cations (Ba2+, K+)","D Zhai, B Li, C Xu, H Du, Y He, C Wei, F Kang","Journal of Power Sources 196 (18), 7860-7867",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6128186677463310624,40,2011
Dendrite-free potassium–oxygen battery based on a liquid alloy anode,"W Yu, KC Lau, Y Lei, R Liu, L Qin, W Yang, B Li, LA Curtiss, D Zhai, ...","ACS applied materials & interfaces 9 (37), 31871-31878",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3907749359899507822,28,2017
Ce–O Covalence in Silicate Oxyapatites and Its Influence on Luminescence Dynamics,"D Zhai, L Ning, Y Huang, G Liu","The Journal of Physical Chemistry C 118 (29), 16051-16059",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7663512248065419127,24,2014
The effect of pre-carbonization of mesophase pitch-based activated carbons on their electrochemical performance for electric double-layer capacitors,"D Zhai, B Li, H Du, G Wang, F Kang","Journal of Solid State Electrochemistry 15 (4), 787-794",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14755328121720702040,23,2011
Effects of TiO2 crystal structure on the performance of Li4Ti5O12 anode material,"F Ning, YB He, B Li, H Du, D Zhai, F Kang","Journal of Alloys and Compounds 513, 524-529",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4138241801800917808,22,2012
A high-performance lithium ion oxygen battery consisting of Li2O2 cathode and lithiated aluminum anode with nafion membrane for reduced O2 crossover,"L Qin, D Zhai, W Lv, W Yang, J Huang, S Yao, J Cui, WG Chong, ...","Nano energy 40, 258-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1550289168837145903,21,2017
