Title,Authors,Platform,Cited_url,Cited_count,Year
Ambient mass spectrometry,"RG Cooks, Z Ouyang, Z Takats, JM Wiseman","Science 311 (5767), 1566-1570","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7638176266962239225,8758478513304944482",1313,2006
Paper spray for direct analysis of complex mixtures using mass spectrometry,"H Wang, J Liu, RG Cooks, Z Ouyang","Angewandte Chemie International Edition 49 (5), 877-880",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14355763043426795156,599,2010
Low-temperature plasma probe for ambient desorption ionization,"JD Harper, NA Charipar, CC Mulligan, X Zhang, RG Cooks, Z Ouyang","Analytical chemistry 80 (23), 9097-9104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16109271382396212828,588,2008
"Development, characterization, and application of paper spray ionization","J Liu, H Wang, NE Manicke, JM Lin, RG Cooks, Z Ouyang","Analytical chemistry 82 (6), 2463-2471",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11203344768633655058,511,2010
Desorption electrospray ionization and other ambient ionization methods: current progress and preview,"DR Ifa, C Wu, Z Ouyang, RG Cooks","Analyst 135 (4), 669-681",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6734337972491944183,358,2010
"Rectilinear ion trap: concepts, calculations, and analytical performance of a new mass analyzer","Z Ouyang, G Wu, Y Song, H Li, WR Plass, RG Cooks","Analytical chemistry 76 (16), 4595-4605",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8865652735401687843,275,2004
Handheld rectilinear ion trap mass spectrometer,"L Gao, Q Song, GE Patterson, RG Cooks, Z Ouyang","Analytical chemistry 78 (17), 5994-6002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18369925070306780591,272,2006
Preparing Protein Microarrays by Soft-Landing of Mass-Selected Ions,"RGC Zheng Ouyang, Zoltán Takáts, Thomas A Blake","Science 301 (5638), 1351-1354",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3919589625594012391,269,2003
Miniature mass spectrometers,"Z Ouyang, RG Cooks","Annual Review of Analytical Chemistry 2, 187-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2409263408672378272,258,2009
Direct analysis of biological tissue by paper spray mass spectrometry,"H Wang, NE Manicke, Q Yang, L Zheng, R Shi, RG Cooks, Z Ouyang","Analytical chemistry 83 (4), 1197-1201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16841677781271426572,226,2011
Miniature and fieldable mass spectrometers: recent advances,"DT Snyder, CJ Pulliam, Z Ouyang, RG Cooks","Analytical chemistry 88 (1), 2-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=497722280103995066,202,2015
Breaking the pumping speed barrier in mass spectrometry: discontinuous atmospheric pressure interface,"L Gao, RG Cooks, Z Ouyang","Analytical chemistry 80 (11), 4026-4032",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2498063799979209855,199,2008
Design and characterization of a multisource hand-held tandem mass spectrometer,"L Gao, A Sugiarto, JD Harper, RG Cooks, Z Ouyang","Analytical chemistry 80 (19), 7198-7205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1693279125175878697,198,2008
