Title,Authors,Platform,Cited_url,Cited_count,Year
Identification of pancreatic cancer stem cells,"C Li, DG Heidt, P Dalerba, CF Burant, L Zhang, V Adsay, M Wicha, ...","Cancer research 67 (3), 1030-1037",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2071827042283440972,3536,2007
Polymer blends and composites from renewable resources,"L Yu, K Dean, L Li","Progress in polymer science 31 (6), 576-602","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7731320153157284075,12365686002332384640",1901,2006
Synthesis of few-layer graphene via microwave plasma-enhanced chemical vapour deposition,"A Malesevic, R Vitchev, K Schouteden, A Volodin, L Zhang, ...","Nanotechnology 19 (30), 305604",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5359786689928467814,459,2008
Ultrafast water sensing and thermal imaging by a metal-organic framework with switchable luminescence,"L Chen, JW Ye, HP Wang, M Pan, SY Yin, ZW Wei, LY Zhang, K Wu, ...","Nature communications 8, 15985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16184105432843583309,177,2017
Selective bifunctional catalytic conversion of cellulose over reshaped Ni particles at the tip of carbon nanofibers,"S Van de Vyver, J Geboers, M Dusselier, H Schepers, T Vosch, L Zhang, ...","ChemSusChem 3 (6), 698-701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18426831361105057064,169,2010
Quantifying atmospheric nitrogen deposition through a nationwide monitoring network across China,"W Xu, XS Luo, YP Pan, L Zhang, AH Tang, JL Shen, Y Zhang, KH Li, ...","Atmospheric Chemistry and Physics 15 (21), 12345-12360",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11188384556488433411,159,2015
Nonlinear analysis of membrane elements by fixed-angle softened-truss model,TTC Hsu,"Structural Journal 94 (5), 483-492",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10198457432551823855,153,1997
TH1/TH2 functional imbalance after acute myocardial infarction: coronary arterial inflammation or myocardial inflammation,"X Cheng, YH Liao, H Ge, B Li, J Zhang, J Yuan, M Wang, Y Liu, Z Guo, ...","Journal of clinical immunology 25 (3), 246-253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13571769436932697564,145,2005
Islet microvasculature in islet hyperplasia and failure in a model of type 2 diabetes,"X Li, L Zhang, S Meshinchi, C Dias-Leme, D Raffin, JD Johnson, ...","Diabetes 55 (11), 2965-2973",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17307523066788412671,144,2006
"Transport stress in broilers: I. Blood metabolism, glycolytic potential, and meat quality","L Zhang, HY Yue, HJ Zhang, L Xu, SG Wu, HJ Yan, YS Gong, GH Qi","Poultry science 88 (10), 2033-2041",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15038666414527970156,141,2009
Multiple ephrins control cell organization in C. elegans using kinase-dependent and-independent functions of the VAB-1 Eph receptor,"X Wang, PJ Roy, SJ Holland, LW Zhang, JG Culotti, T Pawson","Molecular cell 4 (6), 903-913",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12452380757431426839,133,1999
"Mechanism of action of Pseudomonas syringae phytotoxin, syringomycin: stimulation of red beet plasma membrane ATPase activity","AP Bidwai, L Zhang, RC Bachmann, JY Takemoto","Plant physiology 83 (1), 39-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12281237760860359126,119,1987
Modeling workflow processes with colored Petri nets,"D Liu, J Wang, SCF Chan, J Sun, L Zhang","computers in industry 49 (3), 267-281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9999439408731470355,117,2002
Corrosion resistance and mechanical properties of pulse electrodeposited Ni–TiO2 composite coating for sintered NdFeB magnet,"Q Li, X Yang, L Zhang, J Wang, B Chen","Journal of Alloys and Compounds 482 (1-2), 339-344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11493723084857302502,116,2009
"Ground-level ozone in four Chinese cities: precursors, regional transport and heterogeneous processes","LK Xue, T Wang, J Gao, AJ Ding, XH Zhou, DR Blake, XF Wang, ...","Atmospheric Chemistry and Physics 14 (23), 13175-13188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4696521592835543122,115,2014
Tension stiffening in reinforced concrete membrane elements,"TTC Hsu, LX Zhang","Structural Journal 93 (1), 108-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5601582678273156390,114,1996
Circadian regulation of pineal gland rhythmicity,"J Borjigin, LS Zhang, AA Calinescu","Molecular and cellular endocrinology 349 (1), 13-19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18204429108069288976,109,2012
Rearrangement of N,"L Zhang, GS Kauffman, JA Pesti, J Yin","The Journal of Organic Chemistry 62 (20), 6918-6920","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8048620789666440639,11516695406598242476",108,1997
Identifying active sites of CoNC/CNT from pyrolysis of molecularly defined complexes for oxidative esterification and hydrogenation reactions,"T Cheng, H Yu, F Peng, H Wang, B Zhang, D Su","Catalysis Science & Technology 6 (4), 1007-1015","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3026234510814225773,12978033905142854250,438529182970254146,6007029142129055068,17378002324130090434",103,2016
"High salt primes a specific activation state of macrophages, M (Na)","WC Zhang, XJ Zheng, LJ Du, JY Sun, ZX Shen, C Shi, S Sun, Z Zhang, ...","Cell research 25 (8), 893",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17648429167799700333,103,2015
Upregulated expression of toll-like receptor 4 in monocytes correlates with severity of acute cerebral infarction,"Q Yang, J Li, F Lu, W Ai-qing, J Xiang, L Zhang, Z Huang, J Wang","Journal of Cerebral Blood Flow & Metabolism 28 (9), 1588-1596",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2840644520722587717,103,2008
Structured data and inference in DeepQA,"A Kalyanpur, BK Boguraev, S Patwardhan, JW Murdock, A Lally, C Welty, ...","IBM Journal of Research and Development 56 (3.4), 10: 1-10: 14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7059360525018407367,100,2012
Meiotic recombination break points resolve at high rates at the 5'end of a maize coding sequence.,"X Xu, AP Hsia, L Zhang, BJ Nikolau, PS Schnable","The Plant Cell 7 (12), 2151-2161",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18019717521201103860,99,1995
Variations of ground-level O,"Q Zhang, B Yuan, M Shao, X Wang, S Lu, K Lu, M Wang, L Chen, ...","Atmospheric Chemistry and Physics 14 (12), 6089-6101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3191556375802679092,98,2014
Homochiral ,"K Wu, K Li, YJ Hou, M Pan, LY Zhang, L Chen, CY Su","Nature communications 7, 10487",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2996054356934720208,96,2016
Progressive loss of Syk and abnormal proliferation in breast cancer cells,"M Moroni, V Soldatenkov, L Zhang, Y Zhang, G Stoica, E Gehan, ...","Cancer Research 64 (20), 7346-7354",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14329961512361448037,96,2004
Direct electron-beam writing of continuous spiral phase plates in negative resist with high power efficiency for optical manipulation,"WC Cheong, WM Lee, XC Yuan, LS Zhang, K Dholakia, H Wang","Applied physics letters 85 (23), 5784-5786",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11040835726743327332,88,2004
Preparation and characterization of graphene paper for electromagnetic interference shielding,"L Zhang, NT Alvarez, M Zhang, M Haase, R Malik, D Mast, V Shanov","Carbon 82, 353-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=800683353142827154,84,2015
"Growth, structure and thermal properties of chromium oxide films on Pt (111)","L Zhang, M Kuhn, U Diebold","Surface science 375 (1), 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5105982918667070241,82,1997
基于 Web 服务的企业应用集成,黄双喜， 范玉顺， 赵大哲， 梅丛银， 张力,"计算机集成制造系统 9 (010), 864-867",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13835960835182747417,81,2003
Cell-surface GRP78 facilitates colorectal cancer cell migration and invasion,"Z Li, L Zhang, Y Zhao, H Li, H Xiao, R Fu, C Zhao, H Wu, Z Li","The international journal of biochemistry & cell biology 45 (5), 987-994",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14873368182443122393,78,2013
Composition of anthocyanins in pomegranate flowers and their antioxidant activity,"L Zhang, Q Fu, Y Zhang","Food chemistry 127 (4), 1444-1449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=828576905364847518,77,2011
Three flavonoids targeting the β‐hydroxyacyl‐acyl carrier protein dehydratase from ,"L Zhang, Y Kong, D Wu, H Zhang, J Wu, J Chen, J Ding, L Hu, H Jiang, ...","Protein Science 17 (11), 1971-1978",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4506894142160761056,77,2008
A novel growth suppressor gene on chromosome 17p13. 3 with a high frequency of mutation in human hepatocellular carcinoma,"X Zhao, J Li, Y He, F Lan, L Fu, J Guo, R Zhao, Y Ye, M He, W Chong, ...","Cancer research 61 (20), 7383-7387",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10478363107757870896,76,2001
Design and fabrication of a double-axicon for generation of tailorable self-imaged three-dimensional intensity voids,"BPS Ahluwalia, WC Cheong, XC Yuan, LS Zhang, SH Tao, J Bu, H Wang","Optics letters 31 (7), 987-989",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1345290462585137695,73,2006
